0.003CR-FITTED
  QY = 12.28%
Labels,0,KONGBAI,
Type,Emission Scan,Emission Scan,
Comment,,,
Start,425.00,425.00,
Stop,830.00,830.00,
Step,0.500,0.500,
Fixed/Offset,445.00,445.00,
Xaxis,Wavelength,Wavelength,
Yaxis,Counts,Counts,
Scan Corr. by File,True,True,
Corr. by Ref. Det.,True,True,
Fixed/Offset Corr. by File,False,False,
Repeats,1,1,
Dwell Time,0.20,0.20,
Lamp,Xenon,Xenon,
Temp,0.00,0.00,
Scan Polariser,None,None,
Scan Slit,0.22002183,0.22002183,
Fixed/Offset Polariser,None,None,
Fixed/Offset Slit,2.2000229,2.2000229,
Detector,Det 1,Det 1,

425.00,1.49726617E+0,9.90617156E-1,
425.500,-4.96080101E-1,0.00000000E+0,
426.00,9.86116767E-1,0.00000000E+0,
426.500,1.48765731E+0,1.48003268E+0,
427.00,1.48351693E+0,2.46135783E+0,
427.500,9.88473296E-1,1.96218121E+0,
428.00,4.93003905E-1,0.00000000E+0,
428.500,-9.82018352E-1,2.45831609E+0,
429.00,1.96822202E+0,0.00000000E+0,
429.500,9.93177593E-1,4.90613848E-1,
430.00,1.47420454E+0,4.93589610E-1,
430.500,3.95568752E+0,4.93643135E-1,
431.00,1.48644936E+0,1.96994746E+0,
431.500,2.45789409E+0,4.94762480E-1,
432.00,0.00000000E+0,2.95298886E+0,
432.500,1.48358488E+0,1.97183657E+0,
433.00,9.87658978E-1,2.46649194E+0,
433.500,4.94595259E-1,9.92615879E-1,
434.00,0.00000000E+0,3.94857574E+0,
434.500,1.48279929E+0,9.92925465E-1,
435.00,0.00000000E+0,3.45416856E+0,
435.500,1.47788215E+0,3.94796968E+0,
436.00,4.93999928E-1,4.45075941E+0,
436.500,2.47492266E+0,2.96454549E+0,
437.00,2.47203660E+0,6.43413448E+0,
437.500,4.98333359E+0,6.95081043E+0,
438.00,8.95879269E+0,1.09909363E+1,
438.500,2.55327682E+1,2.54856911E+1,
439.00,3.40378571E+1,5.35205879E+1,
439.500,6.03012352E+1,8.39037170E+1,
440.00,8.82343292E+1,1.30624512E+2,
440.500,1.19234009E+2,2.09897354E+2,
441.00,1.86069336E+2,2.57739594E+2,
441.500,2.55609024E+2,3.54171722E+2,
442.00,3.23551819E+2,4.32622284E+2,
442.500,4.50828644E+2,6.65244263E+2,
443.00,7.97333679E+2,1.09143176E+3,
443.500,6.70248877E+3,9.51507227E+3,
444.00,2.98354590E+4,4.06622422E+4,
444.500,5.85476523E+4,7.91409688E+4,
445.00,8.62643672E+4,1.15243516E+5,
445.500,1.03697508E+5,1.38400359E+5,
446.00,9.43551484E+4,1.24736680E+5,
446.500,6.78663750E+4,8.91237422E+4,
447.00,3.98697969E+4,5.19243203E+4,
447.500,1.41271680E+4,1.83147324E+4,
448.00,1.47282617E+3,1.91783154E+3,
448.500,5.50988770E+2,7.51375610E+2,
449.00,3.75954254E+2,5.01947815E+2,
449.500,2.85401031E+2,3.97324158E+2,
450.00,2.08738052E+2,2.89315735E+2,
450.500,1.99419235E+2,2.54911209E+2,
451.00,1.43636520E+2,2.12610245E+2,
451.500,1.15230263E+2,1.51738602E+2,
452.00,8.30083466E+1,1.30002884E+2,
452.500,6.78800964E+1,9.03205032E+1,
453.00,4.67440491E+1,8.08853836E+1,
453.500,2.83703327E+1,5.16547966E+1,
454.00,2.73233070E+1,3.60966988E+1,
454.500,1.17559757E+1,1.58164339E+1,
455.00,9.99282646E+0,1.29011221E+1,
455.500,1.17277689E+1,1.46089602E+1,
456.00,9.87525654E+0,1.91284046E+1,
456.500,1.21214819E+1,1.67954788E+1,
457.00,8.09339237E+0,1.38726778E+1,
457.500,1.02949734E+1,1.20545645E+1,
458.00,7.43569851E+0,1.19336891E+1,
458.500,1.52819052E+1,1.93241520E+1,
459.00,8.48264980E+0,2.14291058E+1,
459.500,1.67844543E+1,1.63446712E+1,
460.00,1.67573051E+1,1.73556156E+1,
460.500,9.98712730E+0,1.66324329E+1,
461.00,1.04543247E+1,2.03142204E+1,
461.500,1.26919117E+1,1.64605904E+1,
462.00,1.03469143E+1,1.69179401E+1,
462.500,1.78792534E+1,1.52424259E+1,
463.00,7.55145168E+0,1.62376595E+1,
463.500,1.34009895E+1,1.61824417E+1,
464.00,1.33680010E+1,1.28171539E+1,
464.500,9.61877728E+0,1.91424751E+1,
465.00,1.27518311E+1,1.80295010E+1,
465.500,1.48297367E+1,1.74447918E+1,
466.00,1.69682198E+1,1.95731049E+1,
466.500,1.00339813E+1,2.46970177E+1,
467.00,9.96933460E+0,1.73628922E+1,
467.500,9.92047310E+0,1.66782055E+1,
468.00,2.03250046E+1,1.82962971E+1,
468.500,2.09294872E+1,1.73221836E+1,
469.00,1.35394659E+1,2.03259487E+1,
469.500,1.67033081E+1,2.65311089E+1,
470.00,1.24380054E+1,1.55638380E+1,
470.500,9.35670662E+0,1.29659863E+1,
471.00,1.71916809E+1,1.92729206E+1,
471.500,1.91978321E+1,1.97032204E+1,
472.00,1.81871052E+1,2.60723705E+1,
472.500,1.72180672E+1,3.01633606E+1,
473.00,1.87399292E+1,2.02368660E+1,
473.500,1.19633093E+1,2.13839321E+1,
474.00,2.08484859E+1,2.50708828E+1,
474.500,1.15197859E+1,3.23782845E+1,
475.00,1.45962048E+1,2.55861111E+1,
475.500,2.19920845E+1,2.08726845E+1,
476.00,1.25555086E+1,2.72542610E+1,
476.500,1.83327732E+1,1.88898983E+1,
477.00,2.05155964E+1,2.99681835E+1,
477.500,2.00436020E+1,2.20292988E+1,
478.00,1.63503113E+1,2.84497070E+1,
478.500,1.21851416E+1,2.74679012E+1,
479.00,1.69423714E+1,3.11434002E+1,
479.500,2.38654995E+1,2.91914959E+1,
480.00,2.18174896E+1,3.02794781E+1,
480.500,2.66520882E+1,3.78152008E+1,
481.00,1.38616924E+1,2.88078403E+1,
481.500,2.30923595E+1,2.88741341E+1,
482.00,2.19671612E+1,2.51483727E+1,
482.500,1.72163067E+1,2.36393566E+1,
483.00,2.16278706E+1,2.86225014E+1,
483.500,1.94518757E+1,2.66722240E+1,
484.00,2.06385326E+1,3.31703262E+1,
484.500,1.14401245E+1,1.95639420E+1,
485.00,2.56492443E+1,3.43692322E+1,
485.500,2.02645817E+1,2.63525887E+1,
486.00,2.09279156E+1,3.02267494E+1,
486.500,2.20240059E+1,2.25730247E+1,
487.00,2.17290154E+1,2.54948082E+1,
487.500,2.88173180E+1,2.67275925E+1,
488.00,1.73079338E+1,2.67829094E+1,
488.500,2.74176769E+1,2.74449406E+1,
