Labels,Zn-ZN-445-770-EX,
Type,Excitation Scan,
Comment,,
Start,280.00,
Stop,750.00,
Step,1.00,
Fixed/Offset,770.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,True,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.4999950,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.4999220,
Detector,Det2,

490.00,2.38756375E+5,
491.00,2.32834875E+5,
492.00,2.26211609E+5,
493.00,2.22105359E+5,
494.00,2.15746188E+5,
495.00,2.08208875E+5,
496.00,2.01942984E+5,
497.00,1.95160625E+5,
498.00,1.89321750E+5,
499.00,1.84700031E+5,
500.00,1.77491344E+5,
501.00,1.71777672E+5,
502.00,1.66875547E+5,
503.00,1.61618563E+5,
504.00,1.53791953E+5,
505.00,1.49589375E+5,
506.00,1.44505641E+5,
507.00,1.37967406E+5,
508.00,1.35549594E+5,
509.00,1.28165398E+5,
510.00,1.23344172E+5,
511.00,1.19066266E+5,
512.00,1.15831680E+5,
513.00,1.09599484E+5,
514.00,1.07030055E+5,
515.00,1.02072727E+5,
516.00,9.71648516E+4,
517.00,9.19032734E+4,
518.00,8.98873281E+4,
519.00,8.70080156E+4,
520.00,8.20406406E+4,
521.00,8.12934609E+4,
522.00,7.83139297E+4,
523.00,7.51706094E+4,
524.00,7.29005703E+4,
525.00,7.13039844E+4,
526.00,6.85605000E+4,
527.00,6.67456328E+4,
528.00,6.55286719E+4,
529.00,6.39264180E+4,
530.00,6.08992695E+4,
531.00,6.12101484E+4,
532.00,5.90276367E+4,
533.00,5.99452266E+4,
534.00,5.93096406E+4,
535.00,5.79669219E+4,
536.00,5.94705977E+4,
537.00,5.97266758E+4,
538.00,5.81778398E+4,
539.00,5.99272891E+4,
540.00,5.93832070E+4,
541.00,6.09803711E+4,
542.00,6.01842383E+4,
543.00,6.21403633E+4,
544.00,6.34037305E+4,
545.00,6.41612305E+4,
546.00,6.60889141E+4,
547.00,6.67905938E+4,
548.00,6.83995234E+4,
549.00,7.12477813E+4,
550.00,7.29494688E+4,
551.00,7.44235859E+4,
552.00,7.56389531E+4,
553.00,7.78200703E+4,
554.00,7.87448828E+4,
555.00,8.28543984E+4,
556.00,8.26401953E+4,
557.00,8.50224922E+4,
558.00,8.67990313E+4,
559.00,8.78920938E+4,
560.00,9.28909297E+4,
561.00,9.69750703E+4,
562.00,9.88515313E+4,
563.00,1.00825250E+5,
564.00,1.03201164E+5,
565.00,1.04991867E+5,
566.00,1.07642555E+5,
567.00,1.09949969E+5,
568.00,1.12657539E+5,
569.00,1.17187875E+5,
570.00,1.19984516E+5,
571.00,1.22368484E+5,
572.00,1.24091133E+5,
573.00,1.24337711E+5,
574.00,1.27720383E+5,
575.00,1.32661906E+5,
576.00,1.33947172E+5,
577.00,1.36217016E+5,
578.00,1.38898391E+5,
579.00,1.41612047E+5,
580.00,1.41915625E+5,
581.00,1.48731078E+5,
582.00,1.51069984E+5,
583.00,1.53659531E+5,
584.00,1.56063594E+5,
585.00,1.56925500E+5,
586.00,1.60813391E+5,
587.00,1.61730078E+5,
588.00,1.66956469E+5,
589.00,1.65032422E+5,
590.00,1.71107563E+5,
591.00,1.74009625E+5,
592.00,1.74063266E+5,
593.00,1.74714781E+5,
594.00,1.79288609E+5,
595.00,1.75535547E+5,
596.00,1.83201031E+5,
597.00,1.84769953E+5,
598.00,1.86582938E+5,
599.00,1.89745219E+5,
600.00,1.89365313E+5,
601.00,1.88806563E+5,
602.00,1.95924672E+5,
603.00,1.93855641E+5,
604.00,1.98571797E+5,
605.00,1.96243297E+5,
606.00,1.95353859E+5,
607.00,2.01039016E+5,
608.00,1.99837719E+5,
609.00,2.02174719E+5,
610.00,2.01034875E+5,
611.00,2.03568563E+5,
612.00,2.02841563E+5,
613.00,2.01929891E+5,
614.00,2.05158672E+5,
615.00,2.06640828E+5,
616.00,2.05392750E+5,
617.00,2.05521719E+5,
618.00,2.06487219E+5,
619.00,2.02950156E+5,
620.00,2.03305313E+5,
621.00,2.07863781E+5,
622.00,2.06717234E+5,
623.00,2.07277938E+5,
624.00,2.05638984E+5,
625.00,2.05387266E+5,
626.00,2.05157922E+5,
627.00,2.05576719E+5,
628.00,2.01531578E+5,
629.00,2.04190547E+5,
630.00,2.04371734E+5,
631.00,2.01410688E+5,
632.00,2.02397125E+5,
633.00,1.97375188E+5,
634.00,1.98402000E+5,
635.00,1.97599813E+5,
636.00,1.96406406E+5,
637.00,1.99791219E+5,
638.00,1.92706484E+5,
639.00,1.92118406E+5,
640.00,1.90969922E+5,
641.00,1.90433875E+5,
642.00,1.90501172E+5,
643.00,1.83312125E+5,
644.00,1.83706141E+5,
645.00,1.83582031E+5,
646.00,1.82378344E+5,
647.00,1.79119078E+5,
648.00,1.74628469E+5,
649.00,1.73764141E+5,
650.00,1.72561578E+5,
651.00,1.66492063E+5,
652.00,1.71480563E+5,
653.00,1.69632094E+5,
654.00,1.62012594E+5,
655.00,1.61303453E+5,
656.00,1.60344391E+5,
657.00,1.56223469E+5,
658.00,1.54095531E+5,
659.00,1.48759328E+5,
660.00,1.48049203E+5,
661.00,1.50240359E+5,
662.00,1.47316734E+5,
663.00,1.41278547E+5,
664.00,1.40129797E+5,
665.00,1.38713516E+5,
666.00,1.36551188E+5,
667.00,1.30157508E+5,
668.00,1.29360453E+5,
669.00,1.29835563E+5,
670.00,1.27354359E+5,
671.00,1.25210008E+5,
672.00,1.18147773E+5,
673.00,1.18334461E+5,
674.00,1.19742922E+5,
675.00,1.15154250E+5,
676.00,1.13226055E+5,
677.00,1.12356086E+5,
678.00,1.12430188E+5,
679.00,1.06563117E+5,
680.00,1.10269320E+5,
681.00,1.04254469E+5,
682.00,1.02246648E+5,
683.00,1.00602453E+5,
684.00,9.91115156E+4,
685.00,9.30748828E+4,
686.00,9.40140938E+4,
687.00,8.94328203E+4,
688.00,8.67393125E+4,
689.00,8.17706484E+4,
690.00,8.50468594E+4,
691.00,8.46223125E+4,
692.00,8.39753594E+4,
693.00,8.32692188E+4,
694.00,7.84891484E+4,
695.00,7.86687969E+4,
696.00,7.49161641E+4,
697.00,7.41569688E+4,
698.00,6.97728828E+4,
699.00,6.85739375E+4,
700.00,5.97552617E+4,
701.00,6.04396328E+4,
702.00,5.70850313E+4,
703.00,5.41941484E+4,
704.00,5.32635742E+4,
705.00,5.28815625E+4,
706.00,4.95261992E+4,
707.00,4.71709453E+4,
708.00,4.58368477E+4,
709.00,4.10229961E+4,
710.00,4.57639375E+4,
711.00,4.18432813E+4,
712.00,3.94692188E+4,
713.00,3.65484570E+4,
714.00,3.45081055E+4,
715.00,3.41176680E+4,
716.00,3.11091113E+4,
717.00,3.26281895E+4,
718.00,2.93829746E+4,
719.00,2.65391875E+4,
720.00,2.53032090E+4,
721.00,2.45989727E+4,
722.00,2.38616699E+4,
723.00,2.21031230E+4,
724.00,2.00781680E+4,
725.00,2.06302539E+4,
726.00,1.96545625E+4,
727.00,1.90814238E+4,
728.00,1.60229414E+4,
729.00,1.68524141E+4,
730.00,1.62828301E+4,
731.00,1.37730859E+4,
732.00,1.14604785E+4,
733.00,1.35406719E+4,
734.00,1.12667529E+4,
735.00,1.09308027E+4,
736.00,9.61825586E+3,
737.00,8.94977441E+3,
738.00,1.10151230E+4,
739.00,9.76271387E+3,
740.00,6.53038818E+3,
741.00,7.61848975E+3,
742.00,7.42404834E+3,
743.00,8.46660840E+3,
744.00,7.57461035E+3,
745.00,5.77498779E+3,
746.00,5.58780615E+3,
747.00,6.06287207E+3,
748.00,5.20841846E+3,
749.00,5.72219824E+3,
750.00,6.28580908E+3,
