Labels,Ge-Sn-760-ex,
Type,Excitation Scan,
Comment,,
Start,280.00,
Stop,750.00,
Step,1.00,
Fixed/Offset,760.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,True,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.4999950,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.4999220,
Detector,Det2,

490.00,8.92671172E+4,
491.00,8.67285703E+4,
492.00,8.33357891E+4,
493.00,8.04548281E+4,
494.00,7.71203281E+4,
495.00,7.39336484E+4,
496.00,7.08359922E+4,
497.00,6.85120625E+4,
498.00,6.66221484E+4,
499.00,6.30157344E+4,
500.00,6.04954375E+4,
501.00,5.58975625E+4,
502.00,5.43410039E+4,
503.00,5.22272656E+4,
504.00,4.81727969E+4,
505.00,4.64369922E+4,
506.00,4.27535625E+4,
507.00,4.20006719E+4,
508.00,3.91386953E+4,
509.00,3.61379883E+4,
510.00,3.58163008E+4,
511.00,3.32418086E+4,
512.00,3.12542188E+4,
513.00,3.06195605E+4,
514.00,2.76938965E+4,
515.00,2.61385449E+4,
516.00,2.35875410E+4,
517.00,2.27018105E+4,
518.00,2.10929238E+4,
519.00,2.01479063E+4,
520.00,1.99425059E+4,
521.00,1.85831523E+4,
522.00,1.76348633E+4,
523.00,1.71653496E+4,
524.00,1.57947744E+4,
525.00,1.47983682E+4,
526.00,1.42751006E+4,
527.00,1.34909785E+4,
528.00,1.28907275E+4,
529.00,1.26792666E+4,
530.00,1.22286572E+4,
531.00,1.16060469E+4,
532.00,1.14025293E+4,
533.00,1.14487588E+4,
534.00,1.15073535E+4,
535.00,1.10323984E+4,
536.00,1.03727500E+4,
537.00,1.00027578E+4,
538.00,9.96060840E+3,
539.00,1.03165400E+4,
540.00,1.05697461E+4,
541.00,1.07318926E+4,
542.00,1.06410127E+4,
543.00,1.11204932E+4,
544.00,1.07634854E+4,
545.00,1.15639805E+4,
546.00,1.14602891E+4,
547.00,1.23752588E+4,
548.00,1.24313311E+4,
549.00,1.32854502E+4,
550.00,1.30345068E+4,
551.00,1.31938496E+4,
552.00,1.40321572E+4,
553.00,1.51938594E+4,
554.00,1.47258818E+4,
555.00,1.51997070E+4,
556.00,1.54951475E+4,
557.00,1.68889063E+4,
558.00,1.74146836E+4,
559.00,1.78519180E+4,
560.00,1.92523125E+4,
561.00,1.96169668E+4,
562.00,2.11812344E+4,
563.00,2.00513027E+4,
564.00,2.27971504E+4,
565.00,2.39509297E+4,
566.00,2.48750801E+4,
567.00,2.61103418E+4,
568.00,2.63828828E+4,
569.00,2.96722480E+4,
570.00,2.96399004E+4,
571.00,3.17656719E+4,
572.00,3.15748730E+4,
573.00,3.39851367E+4,
574.00,3.43540234E+4,
575.00,3.55619375E+4,
576.00,3.69011289E+4,
577.00,3.91584453E+4,
578.00,3.80437227E+4,
579.00,4.10177500E+4,
580.00,4.26275234E+4,
581.00,4.46194570E+4,
582.00,4.73936719E+4,
583.00,4.75132305E+4,
584.00,4.77151094E+4,
585.00,4.91721680E+4,
586.00,5.26540195E+4,
587.00,5.40686563E+4,
588.00,5.55175508E+4,
589.00,5.67894141E+4,
590.00,5.92006953E+4,
591.00,6.12300117E+4,
592.00,6.19512109E+4,
593.00,6.61464219E+4,
