Labels,GA-IN-805-EX,
Type,Excitation Scan,
Comment,,
Start,280.00,
Stop,750.00,
Step,1.00,
Fixed/Offset,805.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,True,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.4999950,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.4999220,
Detector,Det2,

490.00,2.72943656E+5,
491.00,2.66412844E+5,
492.00,2.60640563E+5,
493.00,2.58355406E+5,
494.00,2.55672063E+5,
495.00,2.51515734E+5,
496.00,2.47433531E+5,
497.00,2.43101031E+5,
498.00,2.36688891E+5,
499.00,2.34837953E+5,
500.00,2.28388391E+5,
501.00,2.23344813E+5,
502.00,2.19171953E+5,
503.00,2.16295906E+5,
504.00,2.08690969E+5,
505.00,2.03167703E+5,
506.00,2.00414469E+5,
507.00,1.93563984E+5,
508.00,1.90448891E+5,
509.00,1.83547531E+5,
510.00,1.80424375E+5,
511.00,1.74269234E+5,
512.00,1.68150266E+5,
513.00,1.65427063E+5,
514.00,1.58752266E+5,
515.00,1.54617250E+5,
516.00,1.50537938E+5,
517.00,1.45890953E+5,
518.00,1.39675063E+5,
519.00,1.35907063E+5,
520.00,1.33314563E+5,
521.00,1.28340555E+5,
522.00,1.22477992E+5,
523.00,1.18792664E+5,
524.00,1.15237578E+5,
525.00,1.10188742E+5,
526.00,1.07163484E+5,
527.00,1.02728367E+5,
528.00,9.98811719E+4,
529.00,9.66038125E+4,
530.00,9.28742578E+4,
531.00,8.99971250E+4,
532.00,8.70009688E+4,
533.00,8.50567500E+4,
534.00,8.31831250E+4,
535.00,7.87389453E+4,
536.00,7.72755234E+4,
537.00,7.54203047E+4,
538.00,7.24233672E+4,
539.00,7.07414219E+4,
540.00,6.93682969E+4,
541.00,6.78857578E+4,
542.00,6.68169141E+4,
543.00,6.51083281E+4,
544.00,6.42707695E+4,
545.00,6.31963984E+4,
546.00,6.26583125E+4,
547.00,6.44746992E+4,
548.00,6.19183242E+4,
549.00,6.18699375E+4,
550.00,6.14149766E+4,
551.00,6.11580781E+4,
552.00,6.31557734E+4,
553.00,6.32012383E+4,
554.00,6.40789063E+4,
555.00,6.38066250E+4,
556.00,6.52968516E+4,
557.00,6.69171250E+4,
558.00,6.91263438E+4,
559.00,6.90120625E+4,
560.00,7.03859844E+4,
561.00,7.17227344E+4,
562.00,7.33417109E+4,
563.00,7.50802891E+4,
564.00,7.70640781E+4,
565.00,7.75681406E+4,
566.00,7.95693438E+4,
567.00,8.25043203E+4,
568.00,8.44031641E+4,
569.00,8.65271016E+4,
570.00,9.00988906E+4,
571.00,9.01414453E+4,
572.00,9.25047266E+4,
573.00,9.54565313E+4,
574.00,9.93542813E+4,
575.00,1.01347500E+5,
576.00,1.02739539E+5,
577.00,1.05435109E+5,
578.00,1.08732625E+5,
579.00,1.10700703E+5,
580.00,1.14804008E+5,
581.00,1.17309992E+5,
582.00,1.19113297E+5,
583.00,1.21267508E+5,
584.00,1.23422156E+5,
585.00,1.25315109E+5,
586.00,1.29121250E+5,
587.00,1.31011180E+5,
588.00,1.34369422E+5,
589.00,1.37626344E+5,
590.00,1.40090188E+5,
591.00,1.41794625E+5,
592.00,1.42856766E+5,
593.00,1.46296578E+5,
594.00,1.49984219E+5,
595.00,1.52644203E+5,
596.00,1.54622406E+5,
597.00,1.56179563E+5,
598.00,1.60167719E+5,
599.00,1.62632078E+5,
600.00,1.61846875E+5,
601.00,1.67947719E+5,
602.00,1.69783219E+5,
603.00,1.71461781E+5,
604.00,1.71302234E+5,
