Labels,Ge-Si-780-ex,
Type,Excitation Scan,
Comment,,
Start,280.00,
Stop,750.00,
Step,1.00,
Fixed/Offset,780.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,True,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.4999950,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.4999220,
Detector,Det2,

490.00,2.39153359E+5,
491.00,2.32102797E+5,
492.00,2.26736719E+5,
493.00,2.21643609E+5,
494.00,2.14882281E+5,
495.00,2.12109250E+5,
496.00,2.07323906E+5,
497.00,1.99851469E+5,
498.00,1.92945609E+5,
499.00,1.89321172E+5,
500.00,1.82600469E+5,
501.00,1.77287078E+5,
502.00,1.70704000E+5,
503.00,1.62324766E+5,
504.00,1.59772031E+5,
505.00,1.53139734E+5,
506.00,1.48358969E+5,
507.00,1.42161938E+5,
508.00,1.35865688E+5,
509.00,1.32433422E+5,
510.00,1.26158422E+5,
511.00,1.23842977E+5,
512.00,1.17719867E+5,
513.00,1.13653867E+5,
514.00,1.09190484E+5,
515.00,1.07027914E+5,
516.00,1.00004227E+5,
517.00,9.77172188E+4,
518.00,9.16564766E+4,
519.00,9.01893828E+4,
520.00,8.79400469E+4,
521.00,8.39677891E+4,
522.00,8.08491250E+4,
523.00,7.85036719E+4,
524.00,7.66617813E+4,
525.00,7.42741797E+4,
526.00,7.28539063E+4,
527.00,7.09795938E+4,
528.00,6.84716797E+4,
529.00,6.71139531E+4,
530.00,6.72452813E+4,
531.00,6.66924531E+4,
532.00,6.53234609E+4,
533.00,6.52443203E+4,
534.00,6.48631797E+4,
535.00,6.22779922E+4,
536.00,6.12592891E+4,
537.00,6.21716875E+4,
538.00,6.35099414E+4,
539.00,6.40821914E+4,
540.00,6.44589766E+4,
541.00,6.50995000E+4,
542.00,6.51986055E+4,
543.00,6.68696641E+4,
544.00,6.90785313E+4,
545.00,6.83533359E+4,
546.00,6.94259141E+4,
547.00,7.14735859E+4,
548.00,7.25579922E+4,
549.00,7.36670703E+4,
550.00,7.74336719E+4,
551.00,7.73316484E+4,
552.00,8.12092969E+4,
553.00,8.32863281E+4,
554.00,8.53247656E+4,
555.00,8.66292813E+4,
556.00,8.97249844E+4,
557.00,9.37421328E+4,
558.00,9.55412891E+4,
559.00,9.83281719E+4,
560.00,1.01003984E+5,
561.00,9.99789063E+4,
562.00,1.06596016E+5,
563.00,1.08512047E+5,
564.00,1.12017758E+5,
565.00,1.14391703E+5,
566.00,1.18166953E+5,
567.00,1.21502695E+5,
568.00,1.25033672E+5,
569.00,1.26534953E+5,
570.00,1.29685469E+5,
571.00,1.31488734E+5,
572.00,1.35213453E+5,
573.00,1.35548031E+5,
574.00,1.40118469E+5,
575.00,1.43421078E+5,
576.00,1.47306781E+5,
577.00,1.49486125E+5,
578.00,1.52986891E+5,
579.00,1.56223625E+5,
580.00,1.56195172E+5,
581.00,1.60743797E+5,
582.00,1.65377563E+5,
583.00,1.66935281E+5,
584.00,1.70463922E+5,
585.00,1.73371141E+5,
586.00,1.77110375E+5,
587.00,1.80303453E+5,
588.00,1.82191922E+5,
589.00,1.87308109E+5,
590.00,1.89215125E+5,
591.00,1.91939781E+5,
592.00,1.93060031E+5,
593.00,1.97004703E+5,
