0.02CR-FITTED
  QY = 32.40%
Labels,0,KONGBAI,
Type,Emission Scan,Emission Scan,
Comment,,,
Start,425.00,425.00,
Stop,830.00,830.00,
Step,0.500,0.500,
Fixed/Offset,445.00,445.00,
Xaxis,Wavelength,Wavelength,
Yaxis,Counts,Counts,
Scan Corr. by File,True,True,
Corr. by Ref. Det.,True,True,
Fixed/Offset Corr. by File,False,False,
Repeats,1,1,
Dwell Time,0.20,0.20,
Lamp,Xenon,Xenon,
Temp,0.00,0.00,
Scan Polariser,None,None,
Scan Slit,0.23999718,0.23999718,
Fixed/Offset Polariser,None,None,
Fixed/Offset Slit,2.2999973,2.2999973,
Detector,Det 1,Det 1,

425.00,0.00000000E+0,4.08875465E+0,
425.500,0.00000000E+0,9.09496248E-1,
426.00,-4.53266233E-1,8.61335182E+0,
426.500,0.00000000E+0,1.26810217E+1,
427.00,0.00000000E+0,8.61109543E+0,
427.500,0.00000000E+0,2.72238374E+0,
428.00,1.80684888E+0,9.08056915E-1,
428.500,0.00000000E+0,3.16150212E+0,
429.00,2.27352333E+0,3.15315890E+0,
429.500,1.80612350E+0,1.34698653E+0,
430.00,1.80417132E+0,4.07255077E+0,
430.500,1.36014998E+0,3.16675735E+0,
431.00,9.03848886E-1,-2.70760870E+0,
431.500,4.51543778E-1,6.32714033E+0,
432.00,1.35823715E+0,3.16966271E+0,
432.500,0.00000000E+0,5.88217497E+0,
433.00,0.00000000E+0,5.43864346E+0,
433.500,2.27469778E+0,4.98443079E+0,
434.00,0.00000000E+0,2.27285480E+0,
434.500,9.07296598E-1,5.89423037E+0,
435.00,4.54090238E-1,4.07489729E+0,
435.500,1.36787951E+0,3.62197781E+0,
436.00,0.00000000E+0,7.27153254E+0,
436.500,9.09128428E-1,1.81734848E+0,
437.00,2.27394915E+0,6.36216927E+0,
437.500,4.99856091E+0,1.41946402E+1,
438.00,7.29620790E+0,1.77679272E+1,
438.500,1.69586945E+1,3.29169388E+1,
439.00,3.12835178E+1,6.38930817E+1,
439.500,4.58013382E+1,9.05479889E+1,
440.00,8.99114304E+1,1.45808502E+2,
440.500,1.21325729E+2,2.25831848E+2,
441.00,1.70242065E+2,3.45779846E+2,
441.500,2.32628159E+2,4.46557007E+2,
442.00,3.03335571E+2,5.89306091E+2,
442.500,4.40426758E+2,8.92688904E+2,
443.00,8.07090088E+2,2.11908911E+3,
443.500,7.16506689E+3,1.77772344E+4,
444.00,2.70078496E+4,5.51371523E+4,
444.500,4.98318945E+4,9.61511797E+4,
445.00,7.27366719E+4,1.34560156E+5,
445.500,8.93563359E+4,1.55743234E+5,
446.00,8.36732813E+4,1.39869297E+5,
446.500,6.26708945E+4,1.00261188E+5,
447.00,3.95539648E+4,5.99101953E+4,
447.500,1.75399199E+4,2.32383125E+4,
448.00,2.66212622E+3,3.09429077E+3,
448.500,5.62427063E+2,9.31000305E+2,
449.00,3.88334961E+2,6.53226624E+2,
449.500,2.77873383E+2,4.27140503E+2,
450.00,2.00778015E+2,3.58896057E+2,
450.500,1.76077988E+2,2.97969910E+2,
451.00,1.49661957E+2,2.52511383E+2,
451.500,1.21837082E+2,1.86924057E+2,
452.00,7.89230957E+1,1.39081345E+2,
452.500,5.58040733E+1,1.09234802E+2,
453.00,5.99116173E+1,8.48247147E+1,
453.500,3.37559433E+1,4.33277817E+1,
454.00,2.50114803E+1,4.00393562E+1,
454.500,6.47870827E+0,2.80545368E+1,
455.00,4.86048746E+0,2.19952583E+1,
455.500,3.74450707E+0,2.20101147E+1,
456.00,9.07126904E+0,1.12038231E+1,
456.500,1.11338930E+1,2.45495358E+1,
457.00,1.16292944E+1,1.95278683E+1,
457.500,1.00287848E+1,2.89832363E+1,
458.00,1.09418783E+1,2.13893642E+1,
458.500,1.45944242E+1,1.60963669E+1,
459.00,9.84636021E+0,1.90781918E+1,
459.500,1.18695784E+1,1.59556351E+1,
460.00,1.02591496E+1,2.90344772E+1,
460.500,1.01829090E+1,1.77191982E+1,
461.00,1.16354589E+1,1.97079639E+1,
461.500,1.15148001E+1,2.00438671E+1,
462.00,9.51466656E+0,2.34244785E+1,
462.500,1.23842134E+1,2.78410206E+1,
463.00,1.04020433E+1,1.67907753E+1,
463.500,6.92148542E+0,1.72722569E+1,
464.00,1.27826986E+1,2.41195431E+1,
464.500,9.75547886E+0,2.19381866E+1,
465.00,1.26227283E+1,1.84714451E+1,
465.500,1.75210590E+1,1.70690060E+1,
466.00,1.06534023E+1,1.92656040E+1,
466.500,1.25158339E+1,1.54577293E+1,
467.00,1.78148842E+1,1.82503281E+1,
467.500,1.83102665E+1,2.20293026E+1,
468.00,1.72624722E+1,2.63909206E+1,
468.500,1.48030558E+1,2.88146782E+1,
469.00,1.00559759E+1,2.88557243E+1,
469.500,1.53284378E+1,2.91028233E+1,
470.00,1.19246454E+1,2.14972343E+1,
470.500,1.09877758E+1,3.60476685E+1,
471.00,1.14489565E+1,2.95030823E+1,
471.500,1.76924973E+1,2.94560261E+1,
472.00,1.38600664E+1,2.74862213E+1,
472.500,1.67328072E+1,3.39225159E+1,
473.00,1.33163662E+1,2.85798874E+1,
473.500,1.38151531E+1,2.91177959E+1,
474.00,1.57949219E+1,3.11532555E+1,
474.500,1.95607834E+1,2.62045803E+1,
475.00,1.33910160E+1,3.14690704E+1,
475.500,1.10369129E+1,4.12332497E+1,
476.00,1.39319162E+1,3.11970673E+1,
476.500,1.53644915E+1,1.98296566E+1,
477.00,1.68185730E+1,3.42255516E+1,
477.500,1.77855072E+1,3.42745705E+1,
478.00,1.78148727E+1,3.00284863E+1,
478.500,1.44905930E+1,3.29242897E+1,
479.00,1.88227501E+1,4.26736641E+1,
479.500,1.21334286E+1,2.51911201E+1,
480.00,1.98746929E+1,2.91035557E+1,
480.500,1.60284958E+1,2.67318420E+1,
481.00,1.62146130E+1,2.59859772E+1,
481.500,1.77167320E+1,2.46049824E+1,
482.00,1.67481937E+1,4.11660805E+1,
482.500,1.53580370E+1,3.98957863E+1,
483.00,1.67423267E+1,2.91249142E+1,
483.500,1.63555470E+1,3.06210194E+1,
484.00,1.53489456E+1,3.13696899E+1,
484.500,1.89513302E+1,3.18256454E+1,
485.00,2.44934101E+1,3.24571609E+1,
485.500,1.20542393E+1,3.51231270E+1,
486.00,1.71475964E+1,3.68370857E+1,
486.500,1.46627884E+1,2.57510433E+1,
487.00,2.69947319E+1,3.79872971E+1,
487.500,2.18991165E+1,3.25155449E+1,
488.00,1.47831421E+1,2.76233788E+1,
488.500,2.10299549E+1,3.74485970E+1,
