lif-fitted
  QY = 43.47%
Labels,0,KONGBAI-3,
Type,Emission Scan,Emission Scan,
Comment,,,
Start,425.00,425.00,
Stop,830.00,830.00,
Step,0.500,0.500,
Fixed/Offset,445.00,445.00,
Xaxis,Wavelength,Wavelength,
Yaxis,Counts,Counts,
Scan Corr. by File,True,True,
Corr. by Ref. Det.,True,True,
Fixed/Offset Corr. by File,False,False,
Repeats,1,1,
Dwell Time,0.20,0.30,
Lamp,Xenon,Xenon,
Temp,0.00,0.00,
Scan Polariser,None,None,
Scan Slit,0.23999718,0.23999718,
Fixed/Offset Polariser,None,None,
Fixed/Offset Slit,2.2999973,2.2999973,
Detector,Det 1,Det 1,

425.00,4.56520766E-1,9.11682844E-1,
425.500,9.09080982E-1,0.00000000E+0,
426.00,0.00000000E+0,0.00000000E+0,
426.500,4.54370916E-1,3.03177744E-1,
427.00,0.00000000E+0,0.00000000E+0,
427.500,4.51937169E-1,0.00000000E+0,
428.00,4.53204960E-1,0.00000000E+0,
428.500,4.54885125E-1,3.01854134E-1,
429.00,4.50588793E-1,3.02221686E-1,
429.500,4.51596320E-1,-3.01067442E-1,
430.00,0.00000000E+0,9.06517744E-1,
430.500,0.00000000E+0,3.02502126E-1,
431.00,9.11652446E-1,1.20894468E+0,
431.500,0.00000000E+0,1.81281340E+0,
432.00,0.00000000E+0,6.04952753E-1,
432.500,1.82248092E+0,6.04889810E-1,
433.00,1.82226634E+0,1.20954442E+0,
433.500,3.17962503E+0,1.21311557E+0,
434.00,9.07739460E-1,3.02766949E-1,
434.500,1.81828463E+0,2.72507071E+0,
435.00,4.55129921E-1,1.51775932E+0,
435.500,2.27897501E+0,1.51898074E+0,
436.00,1.36180878E+0,3.02609515E+0,
436.500,9.13325906E-1,2.12414646E+0,
437.00,2.28313637E+0,9.12488341E-1,
437.500,5.94344425E+0,5.78753233E+0,
438.00,9.15034103E+0,1.49922371E+1,
438.500,2.24881477E+1,3.30844193E+1,
439.00,3.61404762E+1,6.37671394E+1,
439.500,5.22392540E+1,9.71605148E+1,
440.00,9.51765976E+1,1.42900345E+2,
440.500,1.32732422E+2,2.14042038E+2,
441.00,1.74647705E+2,2.86463562E+2,
441.500,2.21262680E+2,3.97845703E+2,
442.00,3.22419830E+2,5.41492432E+2,
442.500,4.83323486E+2,7.45992126E+2,
443.00,7.74833740E+2,1.27951941E+3,
443.500,6.84842676E+3,1.16206582E+4,
444.00,2.76443574E+4,4.68625508E+4,
444.500,5.19753672E+4,8.76893750E+4,
445.00,7.63307344E+4,1.27137852E+5,
445.500,9.42671797E+4,1.56043859E+5,
446.00,8.97135781E+4,1.47087219E+5,
446.500,6.72030469E+4,1.09702727E+5,
447.00,4.22003555E+4,6.95496719E+4,
447.500,1.93289609E+4,3.13125469E+4,
448.00,3.08946143E+3,5.06953662E+3,
448.500,5.64640076E+2,1.00505817E+3,
449.00,3.93824432E+2,6.33026978E+2,
449.500,2.78193848E+2,4.98949585E+2,
450.00,2.36849640E+2,3.59156616E+2,
450.500,1.78212997E+2,3.13537079E+2,
451.00,1.49138947E+2,2.65693268E+2,
451.500,1.27377403E+2,2.07130783E+2,
452.00,9.75369339E+1,1.39611526E+2,
452.500,7.61479721E+1,1.27233360E+2,
453.00,5.19237709E+1,9.78525238E+1,
453.500,4.08230362E+1,6.27128792E+1,
454.00,2.06516438E+1,3.65876160E+1,
454.500,1.52046661E+1,2.05345612E+1,
455.00,8.66194534E+0,1.18431463E+1,
455.500,1.39893484E+1,1.25958462E+1,
456.00,7.55063343E+0,1.77904263E+1,
456.500,7.45436287E+0,1.62920780E+1,
457.00,1.11074839E+1,2.02096310E+1,
457.500,1.26758585E+1,1.33463840E+1,
458.00,7.35733414E+0,1.47864914E+1,
458.500,8.89233398E+0,1.92223721E+1,
459.00,1.39821873E+1,1.75840969E+1,
459.500,9.23665047E+0,1.99499226E+1,
460.00,1.12864027E+1,2.28450661E+1,
460.500,1.37716074E+1,1.85839539E+1,
461.00,1.56992903E+1,1.58921957E+1,
461.500,9.60198879E+0,1.97724590E+1,
462.00,1.10402107E+1,2.27617970E+1,
462.500,1.19313536E+1,1.56288157E+1,
463.00,1.14245825E+1,2.25229530E+1,
463.500,1.33748846E+1,1.84415283E+1,
464.00,8.84756184E+0,2.10567284E+1,
464.500,1.07764769E+1,2.37875805E+1,
465.00,8.28067207E+0,1.91453896E+1,
465.500,7.77972412E+0,2.17542000E+1,
466.00,1.36465521E+1,2.61708660E+1,
466.500,1.06302166E+1,1.86866913E+1,
467.00,1.34853697E+1,2.41659584E+1,
467.500,9.13801765E+0,1.53928251E+1,
468.00,1.00739918E+1,2.49934158E+1,
468.500,1.29630470E+1,2.27786579E+1,
469.00,1.14941502E+1,2.36100712E+1,
469.500,1.53390884E+1,2.49031258E+1,
470.00,1.24774780E+1,2.45712223E+1,
470.500,1.09747915E+1,2.81533566E+1,
471.00,2.20335655E+1,2.57331028E+1,
471.500,1.62800674E+1,2.39634609E+1,
472.00,1.71572990E+1,2.39185085E+1,
472.500,1.62791767E+1,2.39267635E+1,
473.00,1.92207775E+1,2.61618252E+1,
473.500,1.53324356E+1,2.32987480E+1,
474.00,1.58033342E+1,2.33436470E+1,
474.500,1.63297215E+1,2.69030724E+1,
475.00,1.38863115E+1,2.72669888E+1,
475.500,1.73996258E+1,2.14887409E+1,
476.00,1.69078560E+1,2.28409595E+1,
476.500,1.88053417E+1,2.62669907E+1,
477.00,2.32236767E+1,2.69848080E+1,
477.500,1.78678226E+1,3.12841034E+1,
478.00,2.03305130E+1,2.38983498E+1,
478.500,2.18762817E+1,2.84465332E+1,
479.00,1.45971622E+1,2.94816837E+1,
479.500,1.26828222E+1,2.88877506E+1,
480.00,1.80909443E+1,2.25397720E+1,
480.500,1.95973034E+1,3.00227585E+1,
481.00,1.23054552E+1,2.72373028E+1,
481.500,1.87219391E+1,2.82199402E+1,
482.00,1.77771111E+1,3.12278652E+1,
482.500,1.79247837E+1,3.19904194E+1,
483.00,1.33808908E+1,3.04060707E+1,
483.500,1.13817387E+1,2.51793480E+1,
484.00,1.84950275E+1,4.00987434E+1,
484.500,1.74878254E+1,2.66631184E+1,
485.00,1.45325584E+1,2.85235634E+1,
485.500,2.16391125E+1,2.75259800E+1,
486.00,2.12005463E+1,2.90798874E+1,
486.500,2.13415890E+1,3.37647591E+1,
487.00,1.52881060E+1,3.19086170E+1,
487.500,1.93398418E+1,4.08689690E+1,
488.00,2.31154766E+1,3.05062351E+1,
488.500,2.05527000E+1,3.63245850E+1,
