h3bo3-fitted-36.51%
  QY = 36.51%
Labels,h3bo3,KONGBAI-3,
Type,Emission Scan,Emission Scan,
Comment,,,
Start,425.00,425.00,
Stop,830.00,830.00,
Step,0.500,0.500,
Fixed/Offset,445.00,445.00,
Xaxis,Wavelength,Wavelength,
Yaxis,Counts,Counts,
Scan Corr. by File,True,True,
Corr. by Ref. Det.,True,True,
Fixed/Offset Corr. by File,False,False,
Repeats,1,1,
Dwell Time,0.20,0.30,
Lamp,Xenon,Xenon,
Temp,0.00,0.00,
Scan Polariser,None,None,
Scan Slit,0.23999718,0.23999718,
Fixed/Offset Polariser,None,None,
Fixed/Offset Slit,2.2999973,2.2999973,
Detector,Det 1,Det 1,

486.00,1.51540842E+1,2.90798874E+1,
486.500,1.87233696E+1,3.37647591E+1,
487.00,2.48848801E+1,3.19086170E+1,
487.500,1.78882885E+1,4.08689690E+1,
488.00,1.63706379E+1,3.05062351E+1,
488.500,1.70752697E+1,3.63245850E+1,
489.00,1.55439968E+1,2.90836201E+1,
489.500,2.44587841E+1,2.77802467E+1,
490.00,1.61724510E+1,3.58130188E+1,
490.500,1.67152042E+1,3.07071648E+1,
491.00,2.04842262E+1,4.08695755E+1,
491.500,2.10964680E+1,3.41206398E+1,
492.00,1.69177933E+1,3.46585884E+1,
492.500,1.69660854E+1,3.97564583E+1,
493.00,2.08535004E+1,3.19886379E+1,
493.500,1.92319565E+1,3.53973541E+1,
494.00,2.05475731E+1,4.11959229E+1,
494.500,2.16613522E+1,3.60013313E+1,
495.00,1.95771961E+1,2.91957912E+1,
495.500,2.32792339E+1,3.96685715E+1,
496.00,2.66651592E+1,3.98989677E+1,
496.500,1.80477810E+1,3.64822083E+1,
497.00,1.69902306E+1,3.61437645E+1,
497.500,2.08682270E+1,3.29821281E+1,
498.00,2.20081806E+1,3.82179375E+1,
498.500,2.17364616E+1,3.39316368E+1,
499.00,1.55631170E+1,2.94152470E+1,
499.500,1.73889179E+1,3.80388718E+1,
500.00,2.19588509E+1,2.94774303E+1,
500.500,2.63847942E+1,2.92556744E+1,
501.00,2.26971741E+1,3.82293167E+1,
501.500,2.15909176E+1,3.78410683E+1,
502.00,1.71511307E+1,3.34358597E+1,
502.500,2.23456593E+1,3.70779419E+1,
503.00,1.09025679E+1,3.25386467E+1,
503.500,1.66998043E+1,3.95216751E+1,
504.00,1.50510550E+1,3.27309341E+1,
504.500,2.26777935E+1,3.18309441E+1,
505.00,1.46346750E+1,4.59801407E+1,
505.500,1.76259422E+1,3.08933716E+1,
506.00,1.71115913E+1,3.20711250E+1,
506.500,2.35853577E+1,4.40878716E+1,
507.00,1.24106426E+1,4.18685684E+1,
507.500,2.02514763E+1,3.74031677E+1,
508.00,1.96291599E+1,3.09935322E+1,
508.500,2.09502506E+1,3.43517838E+1,
509.00,2.16389408E+1,3.00051174E+1,
509.500,2.11137123E+1,3.37024536E+1,
510.00,1.69636383E+1,3.91325684E+1,
510.500,2.06051064E+1,3.66377144E+1,
511.00,1.89682293E+1,3.01208019E+1,
511.500,1.89557915E+1,3.48498611E+1,
512.00,1.59932785E+1,2.95527706E+1,
512.500,1.42321863E+1,2.97623405E+1,
513.00,1.80348911E+1,3.06078663E+1,
513.500,1.80561962E+1,3.03810329E+1,
514.00,2.11863480E+1,3.00764103E+1,
514.500,1.82105770E+1,3.58923149E+1,
515.00,1.64646149E+1,3.27966728E+1,
515.500,1.90536366E+1,3.75834122E+1,
516.00,2.41176300E+1,3.54968491E+1,
516.500,1.66738987E+1,3.74226723E+1,
517.00,2.24070988E+1,3.75764618E+1,
517.500,1.61094666E+1,3.69393387E+1,
518.00,2.39877110E+1,3.53747025E+1,
518.500,2.45923882E+1,3.17394714E+1,
519.00,1.89829807E+1,3.17876434E+1,
519.500,1.77057610E+1,3.36271057E+1,
520.00,2.30835724E+1,3.41762924E+1,
520.500,2.77989826E+1,3.77908783E+1,
521.00,2.05091591E+1,3.31648026E+1,
521.500,2.06347656E+1,3.19580040E+1,
522.00,1.74235630E+1,3.30565834E+1,
522.500,2.34532471E+1,2.69219437E+1,
523.00,1.68095303E+1,3.24004250E+1,
523.500,2.09662228E+1,4.28326759E+1,
524.00,1.69627018E+1,3.52213783E+1,
524.500,1.43536739E+1,3.68730545E+1,
525.00,1.70937061E+1,3.05346851E+1,
525.500,1.51767197E+1,2.84493999E+1,
526.00,1.30701151E+1,3.08392811E+1,
526.500,1.52409840E+1,3.66846085E+1,
527.00,1.66893597E+1,2.82082596E+1,
527.500,1.96373196E+1,3.63641777E+1,
528.00,1.54229755E+1,4.03134193E+1,
528.500,1.69476719E+1,3.09533978E+1,
529.00,1.91656818E+1,3.65008812E+1,
529.500,2.06384315E+1,3.13212414E+1,
