0.002cr-35.79%
  QY = 35.79%
Labels,EmScan5,KONGBAI,
Type,Emission Scan,Emission Scan,
Comment,,,
Start,435.00,435.00,
Stop,850.00,850.00,
Step,1.00,1.00,
Fixed/Offset,455.00,455.00,
Xaxis,Wavelength,Wavelength,
Yaxis,Counts,Counts,
Scan Corr. by File,True,True,
Corr. by Ref. Det.,True,True,
Fixed/Offset Corr. by File,False,False,
Repeats,1,1,
Dwell Time,0.10,0.10,
Lamp,Xenon,Xenon,
Temp,28.450,28.450,
Scan Polariser,None,None,
Scan Slit,0.22002183,0.22002183,
Fixed/Offset Polariser,None,None,
Fixed/Offset Slit,2.2000229,2.2000229,
Detector,Det 1,Det 1,

558.00,5.71854544E+0,1.72445068E+1,
559.00,1.34791908E+1,1.91730614E+1,
560.00,2.32694054E+1,1.73994961E+1,
561.00,1.37297373E+1,1.36737938E+1,
562.00,1.78419113E+1,2.17734261E+1,
563.00,9.98842239E+0,2.40342426E+1,
564.00,1.61656971E+1,3.02241821E+1,
565.00,1.42955360E+1,2.44244919E+1,
566.00,1.64609661E+1,1.43971262E+1,
567.00,1.25181103E+1,8.31748009E+0,
568.00,8.43082619E+0,2.73063488E+1,
569.00,1.91305580E+1,2.12788582E+1,
570.00,1.49645395E+1,1.49473572E+1,
571.00,1.09199848E+1,1.95064240E+1,
572.00,1.31673040E+1,1.53155460E+1,
573.00,1.98708744E+1,1.54221725E+1,
574.00,1.11988840E+1,1.56131763E+1,
575.00,1.58599758E+1,1.12320423E+1,
576.00,1.59693165E+1,1.14079189E+1,
577.00,1.61708107E+1,1.38190670E+1,
578.00,6.98530626E+0,2.32856445E+1,
579.00,4.73175669E+0,1.40493736E+1,
580.00,1.18687115E+1,1.42486076E+1,
581.00,9.63094044E+0,1.20393438E+1,
582.00,9.76457214E+0,1.45352535E+1,
583.00,1.47121420E+1,1.21894941E+1,
584.00,1.23922920E+1,1.24045315E+1,
585.00,1.75107079E+1,9.96142197E+0,
586.00,2.52578640E+0,1.26772251E+1,
587.00,1.27743063E+1,1.28029881E+1,
588.00,2.06040668E+1,1.80577316E+1,
589.00,7.81866026E+0,1.03987284E+1,
590.00,1.06019516E+1,2.89488392E+1,
591.00,1.87312088E+1,1.86605492E+1,
592.00,1.89165611E+1,1.33706207E+1,
593.00,5.43890858E+0,1.89246120E+1,
594.00,2.75455475E+0,5.49275637E+0,
595.00,1.10539198E+1,1.11148586E+1,
596.00,2.80824590E+0,5.60120058E+0,
597.00,1.13286915E+1,8.50339413E+0,
598.00,1.14578953E+1,1.14311609E+1,
599.00,1.15700874E+1,1.15639458E+1,
600.00,2.92382693E+0,1.76007614E+1,
601.00,8.86252880E+0,5.89052105E+0,
602.00,9.02833271E+0,8.94816017E+0,
603.00,1.21614342E+1,1.51154213E+1,
604.00,1.22409029E+1,9.17469025E+0,
605.00,1.86378956E+1,1.24309206E+1,
606.00,1.56972542E+1,2.19076996E+1,
607.00,6.36517906E+0,3.17670250E+0,
608.00,3.22642112E+0,1.92645321E+1,
609.00,3.25515604E+0,6.52861166E+0,
610.00,9.84635639E+0,1.32019033E+1,
611.00,1.00082760E+1,3.34517288E+0,
612.00,1.01756458E+1,1.69009438E+1,
613.00,1.70772591E+1,6.83869362E+0,
614.00,3.47064924E+0,1.04468346E+1,
615.00,7.03530979E+0,7.00754690E+0,
616.00,7.13610315E+0,0.00000000E+0,
617.00,7.22765398E+0,1.08345089E+1,
618.00,3.64993024E+0,7.32942581E+0,
619.00,1.84911766E+1,7.39843178E+0,
620.00,7.57550383E+0,7.51636648E+0,
621.00,2.29226627E+1,3.80552840E+0,
622.00,1.15779696E+1,1.15393047E+1,
623.00,1.17492085E+1,7.83688021E+0,
624.00,1.59581308E+1,7.95273542E+0,
625.00,4.07420588E+0,8.06455421E+0,
626.00,4.09288645E+0,8.21231556E+0,
627.00,4.16000223E+0,1.66177120E+1,
628.00,1.27018089E+1,1.68592377E+1,
629.00,4.27987623E+0,2.15361214E+1,
630.00,8.73339272E+0,4.31456518E+0,
631.00,8.84784222E+0,8.81816387E+0,
632.00,4.47439718E+0,4.47123289E+0,
633.00,0.00000000E+0,1.36851673E+1,
634.00,1.38950596E+1,9.25608253E+0,
635.00,9.40530109E+0,9.39092922E+0,
636.00,1.42986069E+1,4.76646566E+0,
637.00,4.88508034E+0,1.45660105E+1,
638.00,4.93474054E+0,4.92982006E+0,
639.00,5.01289606E+0,5.00856686E+0,
640.00,0.00000000E+0,0.00000000E+0,
641.00,0.00000000E+0,5.19280243E+0,
642.00,1.57962141E+1,0.00000000E+0,
643.00,1.07265501E+1,0.00000000E+0,
644.00,1.09046326E+1,0.00000000E+0,
645.00,5.56874561E+0,1.65514126E+1,
646.00,0.00000000E+0,0.00000000E+0,
647.00,1.14991388E+1,5.75990677E+0,
648.00,0.00000000E+0,0.00000000E+0,
649.00,5.96911049E+0,1.19436522E+1,
650.00,6.08840609E+0,0.00000000E+0,
651.00,0.00000000E+0,1.23342409E+1,
652.00,1.89061699E+1,1.25759716E+1,
653.00,6.39023352E+0,6.42649555E+0,
654.00,0.00000000E+0,6.54289341E+0,
655.00,0.00000000E+0,0.00000000E+0,
656.00,6.81771564E+0,1.36138525E+1,
657.00,6.93696547E+0,6.95186234E+0,
658.00,2.85634193E+1,7.09739733E+0,
659.00,7.30371284E+0,0.00000000E+0,
660.00,0.00000000E+0,0.00000000E+0,
661.00,0.00000000E+0,0.00000000E+0,
662.00,7.85891962E+0,0.00000000E+0,
663.00,0.00000000E+0,8.05141449E+0,
664.00,1.66941395E+1,1.66201115E+1,
665.00,0.00000000E+0,8.62323093E+0,
666.00,0.00000000E+0,0.00000000E+0,
667.00,0.00000000E+0,9.08184624E+0,
668.00,0.00000000E+0,9.23050404E+0,
669.00,9.31450653E+0,1.86660690E+1,
670.00,0.00000000E+0,9.33199215E+0,
671.00,9.37343407E+0,0.00000000E+0,
672.00,0.00000000E+0,0.00000000E+0,
673.00,0.00000000E+0,2.83543625E+1,
674.00,9.43603420E+0,9.46189213E+0,
675.00,1.90450230E+1,0.00000000E+0,
676.00,0.00000000E+0,0.00000000E+0,
677.00,0.00000000E+0,0.00000000E+0,
678.00,9.59874821E+0,0.00000000E+0,
679.00,9.60944271E+0,0.00000000E+0,
