0.01cr-24.01%
  QY = 24.01%
Labels,EmScan14,KONGBAI,
Type,Emission Scan,Emission Scan,
Comment,,,
Start,435.00,435.00,
Stop,850.00,850.00,
Step,1.00,1.00,
Fixed/Offset,455.00,455.00,
Xaxis,Wavelength,Wavelength,
Yaxis,Counts,Counts,
Scan Corr. by File,True,True,
Corr. by Ref. Det.,True,True,
Fixed/Offset Corr. by File,False,False,
Repeats,1,1,
Dwell Time,0.10,0.10,
Lamp,Xenon,Xenon,
Temp,28.40,28.450,
Scan Polariser,None,None,
Scan Slit,0.22002183,0.22002183,
Fixed/Offset Polariser,None,None,
Fixed/Offset Slit,2.2000229,2.2000229,
Detector,Det 1,Det 1,

558.00,1.52356100E+1,1.72445068E+1,
559.00,2.87136192E+1,1.91730614E+1,
560.00,1.73977680E+1,1.73994961E+1,
561.00,5.86213923E+0,1.36737938E+1,
562.00,1.78332005E+1,2.17734261E+1,
563.00,1.99512081E+1,2.40342426E+1,
564.00,1.61042442E+1,3.02241821E+1,
565.00,1.83139133E+1,2.44244919E+1,
566.00,1.02486086E+1,1.43971262E+1,
567.00,1.44923210E+1,8.31748009E+0,
568.00,1.90182171E+1,2.73063488E+1,
569.00,1.27613564E+1,2.12788582E+1,
570.00,1.50178242E+1,1.49473572E+1,
571.00,8.61952400E+0,1.95064240E+1,
572.00,1.52884350E+1,1.53155460E+1,
573.00,1.32584057E+1,1.54221725E+1,
574.00,1.79120426E+1,1.56131763E+1,
575.00,1.35578966E+1,1.12320423E+1,
576.00,1.36691847E+1,1.14079189E+1,
577.00,2.51324768E+1,1.38190670E+1,
578.00,6.95822001E+0,2.32856445E+1,
579.00,4.71534634E+0,1.40493736E+1,
580.00,1.66353588E+1,1.42486076E+1,
581.00,9.62537861E+0,1.20393438E+1,
582.00,7.32636833E+0,1.45352535E+1,
583.00,7.40397167E+0,1.21894941E+1,
584.00,1.24317112E+1,1.24045315E+1,
585.00,1.25068169E+1,9.96142197E+0,
586.00,7.59712982E+0,1.26772251E+1,
587.00,1.28081131E+1,1.28029881E+1,
588.00,7.75854969E+0,1.80577316E+1,
589.00,5.22680140E+0,1.03987284E+1,
590.00,7.89697361E+0,2.89488392E+1,
591.00,2.13742485E+1,1.86605492E+1,
592.00,1.34378042E+1,1.33706207E+1,
593.00,0.00000000E+0,1.89246120E+1,
594.00,1.09695959E+1,5.49275637E+0,
595.00,2.22709732E+1,1.11148586E+1,
596.00,8.39306927E+0,5.60120058E+0,
597.00,2.82588029E+0,8.50339413E+0,
598.00,5.73282385E+0,1.14311609E+1,
599.00,0.00000000E+0,1.15639458E+1,
600.00,8.81446266E+0,1.76007614E+1,
601.00,8.86615372E+0,5.89052105E+0,
602.00,5.99360609E+0,8.94816017E+0,
603.00,9.11256599E+0,1.51154213E+1,
604.00,1.22973499E+1,9.17469025E+0,
605.00,1.86585979E+1,1.24309206E+1,
606.00,6.27222919E+0,2.19076996E+1,
607.00,2.22497330E+1,3.17670250E+0,
608.00,3.21512914E+0,1.92645321E+1,
609.00,3.24236798E+0,6.52861166E+0,
610.00,0.00000000E+0,1.32019033E+1,
611.00,6.68425608E+0,3.34517288E+0,
612.00,3.36872482E+0,1.69009438E+1,
613.00,3.42089939E+0,6.83869362E+0,
614.00,3.49024248E+0,1.04468346E+1,
615.00,7.08151913E+0,7.00754690E+0,
616.00,1.07145052E+1,0.00000000E+0,
617.00,1.07945423E+1,1.08345089E+1,
618.00,1.09870672E+1,7.32942581E+0,
619.00,0.00000000E+0,7.39843178E+0,
620.00,1.50575752E+1,7.51636648E+0,
621.00,7.59601927E+0,3.80552840E+0,
622.00,0.00000000E+0,1.15393047E+1,
623.00,7.82873440E+0,7.83688021E+0,
624.00,1.19987268E+1,7.95273542E+0,
625.00,0.00000000E+0,8.06455421E+0,
626.00,0.00000000E+0,8.21231556E+0,
627.00,8.31309032E+0,1.66177120E+1,
628.00,1.26957378E+1,1.68592377E+1,
629.00,8.56117535E+0,2.15361214E+1,
630.00,0.00000000E+0,4.31456518E+0,
631.00,4.42171097E+0,8.81816387E+0,
632.00,0.00000000E+0,4.47123289E+0,
633.00,9.13043690E+0,1.36851673E+1,
634.00,9.25362110E+0,9.25608253E+0,
635.00,4.70792389E+0,9.39092922E+0,
636.00,4.78032255E+0,4.76646566E+0,
