Labels,KONGBAI,
Type,Emission Scan,
Comment,,
Start,435.00,
Stop,850.00,
Step,1.00,
Fixed/Offset,455.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,28.450,
Scan Polariser,None,
Scan Slit,0.22002183,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.2000229,
Detector,Det 1,

435.00,0.00000000E+0,
436.00,9.41022098E-1,
437.00,0.00000000E+0,
438.00,0.00000000E+0,
439.00,9.59439337E-1,
440.00,0.00000000E+0,
441.00,1.98384142E+0,
442.00,1.00729167E+0,
443.00,2.06046057E+0,
444.00,0.00000000E+0,
445.00,3.19156456E+0,
446.00,3.23964739E+0,
447.00,4.36423302E+0,
448.00,2.77482548E+1,
449.00,4.92659836E+1,
450.00,1.46233688E+2,
451.00,2.40933807E+2,
452.00,4.15878571E+2,
453.00,2.75862183E+3,
454.00,5.64125156E+4,
455.00,1.24056164E+5,
456.00,1.03737188E+5,
457.00,3.31954844E+4,
458.00,6.80957397E+2,
459.00,3.08350250E+2,
460.00,2.06836411E+2,
461.00,1.48232697E+2,
462.00,8.91701050E+1,
463.00,6.57927628E+1,
464.00,1.43632994E+1,
465.00,2.53151741E+1,
466.00,1.00703964E+1,
467.00,1.90483570E+1,
468.00,1.59965925E+1,
469.00,1.19267330E+1,
470.00,2.27580490E+1,
471.00,2.08053551E+1,
472.00,1.58151484E+1,
473.00,1.98610935E+1,
474.00,9.96830845E+0,
475.00,1.39428549E+1,
476.00,1.99599438E+1,
477.00,1.59905958E+1,
478.00,7.04682779E+0,
479.00,1.40995722E+1,
480.00,2.11388302E+1,
481.00,2.25079918E+1,
482.00,1.43607702E+1,
483.00,2.36601505E+1,
484.00,2.06377754E+1,
485.00,2.39863052E+1,
486.00,1.05180492E+1,
487.00,2.62722225E+1,
488.00,2.65225563E+1,
489.00,2.47224026E+1,
490.00,2.48700962E+1,
491.00,2.61252842E+1,
492.00,2.30200787E+1,
493.00,2.09343414E+1,
494.00,1.78614941E+1,
495.00,1.90945473E+1,
496.00,3.18140297E+1,
497.00,2.73830662E+1,
498.00,2.17568836E+1,
499.00,2.67181301E+1,
500.00,3.03610592E+1,
501.00,1.99824123E+1,
502.00,2.85033035E+1,
503.00,2.99489727E+1,
504.00,2.87077122E+1,
505.00,2.29463100E+1,
506.00,2.42902412E+1,
507.00,2.71057434E+1,
508.00,2.61040154E+1,
509.00,2.49698677E+1,
510.00,2.64264164E+1,
511.00,2.79904976E+1,
512.00,2.29891701E+1,
513.00,1.94322529E+1,
514.00,3.12267532E+1,
515.00,2.73785496E+1,
516.00,1.97184620E+1,
517.00,1.98900948E+1,
518.00,1.73932571E+1,
519.00,2.03338642E+1,
520.00,3.54151192E+1,
521.00,2.05296993E+1,
522.00,1.80560284E+1,
523.00,3.62765350E+1,
524.00,2.80611649E+1,
525.00,2.70562210E+1,
526.00,3.29863319E+1,
527.00,2.60276184E+1,
528.00,2.19226875E+1,
529.00,2.19739342E+1,
530.00,2.82938652E+1,
531.00,1.65225201E+1,
532.00,2.25313606E+1,
533.00,2.42178669E+1,
534.00,2.14576931E+1,
535.00,2.63440075E+1,
536.00,3.44386826E+1,
537.00,1.57671728E+1,
538.00,3.01768188E+1,
539.00,4.16550446E+1,
540.00,1.77578373E+1,
541.00,2.27844944E+1,
542.00,2.29778538E+1,
543.00,1.81953964E+1,
544.00,1.67450333E+1,
545.00,2.04300613E+1,
546.00,1.70243626E+1,
547.00,1.54652014E+1,
548.00,1.21204252E+1,
549.00,5.24434233E+0,
550.00,1.23465109E+1,
551.00,1.24445467E+1,
552.00,2.33750534E+1,
553.00,1.08859148E+1,
554.00,2.75092583E+1,
555.00,1.48129139E+1,
556.00,2.23974762E+1,
557.00,2.82197990E+1,
558.00,1.72445068E+1,
559.00,1.91730614E+1,
560.00,1.73994961E+1,
561.00,1.36737938E+1,
562.00,2.17734261E+1,
563.00,2.40342426E+1,
564.00,3.02241821E+1,
565.00,2.44244919E+1,
566.00,1.43971262E+1,
567.00,8.31748009E+0,
568.00,2.73063488E+1,
569.00,2.12788582E+1,
570.00,1.49473572E+1,
571.00,1.95064240E+1,
572.00,1.53155460E+1,
573.00,1.54221725E+1,
574.00,1.56131763E+1,
575.00,1.12320423E+1,
576.00,1.14079189E+1,
577.00,1.38190670E+1,
578.00,2.32856445E+1,
579.00,1.40493736E+1,
580.00,1.42486076E+1,
581.00,1.20393438E+1,
582.00,1.45352535E+1,
583.00,1.21894941E+1,
584.00,1.24045315E+1,
585.00,9.96142197E+0,
586.00,1.26772251E+1,
587.00,1.28029881E+1,
588.00,1.80577316E+1,
589.00,1.03987284E+1,
590.00,2.89488392E+1,
591.00,1.86605492E+1,
592.00,1.33706207E+1,
593.00,1.89246120E+1,
594.00,5.49275637E+0,
595.00,1.11148586E+1,
596.00,5.60120058E+0,
597.00,8.50339413E+0,
598.00,1.14311609E+1,
599.00,1.15639458E+1,
600.00,1.76007614E+1,
601.00,5.89052105E+0,
602.00,8.94816017E+0,
603.00,1.51154213E+1,
604.00,9.17469025E+0,
605.00,1.24309206E+1,
606.00,2.19076996E+1,
607.00,3.17670250E+0,
608.00,1.92645321E+1,
609.00,6.52861166E+0,
610.00,1.32019033E+1,
611.00,3.34517288E+0,
612.00,1.69009438E+1,
613.00,6.83869362E+0,
614.00,1.04468346E+1,
615.00,7.00754690E+0,
616.00,0.00000000E+0,
617.00,1.08345089E+1,
618.00,7.32942581E+0,
619.00,7.39843178E+0,
620.00,7.51636648E+0,
621.00,3.80552840E+0,
622.00,1.15393047E+1,
623.00,7.83688021E+0,
624.00,7.95273542E+0,
625.00,8.06455421E+0,
626.00,8.21231556E+0,
627.00,1.66177120E+1,
628.00,1.68592377E+1,
629.00,2.15361214E+1,
630.00,4.31456518E+0,
631.00,8.81816387E+0,
632.00,4.47123289E+0,
633.00,1.36851673E+1,
634.00,9.25608253E+0,
635.00,9.39092922E+0,
636.00,4.76646566E+0,
637.00,1.45660105E+1,
638.00,4.92982006E+0,
639.00,5.00856686E+0,
640.00,0.00000000E+0,
641.00,5.19280243E+0,
642.00,0.00000000E+0,
643.00,0.00000000E+0,
644.00,0.00000000E+0,
645.00,1.65514126E+1,
646.00,0.00000000E+0,
647.00,5.75990677E+0,
648.00,0.00000000E+0,
649.00,1.19436522E+1,
650.00,0.00000000E+0,
651.00,1.23342409E+1,
652.00,1.25759716E+1,
653.00,6.42649555E+0,
654.00,6.54289341E+0,
655.00,0.00000000E+0,
656.00,1.36138525E+1,
657.00,6.95186234E+0,
658.00,7.09739733E+0,
659.00,0.00000000E+0,
660.00,0.00000000E+0,
661.00,0.00000000E+0,
662.00,0.00000000E+0,
663.00,8.05141449E+0,
664.00,1.66201115E+1,
665.00,8.62323093E+0,
666.00,0.00000000E+0,
667.00,9.08184624E+0,
668.00,9.23050404E+0,
669.00,1.86660690E+1,
670.00,9.33199215E+0,
671.00,0.00000000E+0,
672.00,0.00000000E+0,
673.00,2.83543625E+1,
674.00,9.46189213E+0,
675.00,0.00000000E+0,
676.00,0.00000000E+0,
677.00,0.00000000E+0,
678.00,0.00000000E+0,
679.00,0.00000000E+0,
680.00,0.00000000E+0,
681.00,0.00000000E+0,
682.00,0.00000000E+0,
683.00,0.00000000E+0,
684.00,0.00000000E+0,
685.00,0.00000000E+0,
686.00,1.02326651E+1,
687.00,1.03295069E+1,
688.00,0.00000000E+0,
689.00,0.00000000E+0,
690.00,0.00000000E+0,
691.00,0.00000000E+0,
692.00,0.00000000E+0,
693.00,0.00000000E+0,
694.00,0.00000000E+0,
695.00,0.00000000E+0,
696.00,0.00000000E+0,
697.00,0.00000000E+0,
698.00,1.16103926E+1,
699.00,1.17803984E+1,
700.00,0.00000000E+0,
701.00,0.00000000E+0,
702.00,0.00000000E+0,
703.00,1.24822006E+1,
704.00,0.00000000E+0,
705.00,0.00000000E+0,
706.00,0.00000000E+0,
707.00,1.33146124E+1,
708.00,0.00000000E+0,
709.00,0.00000000E+0,
710.00,0.00000000E+0,
711.00,1.41050415E+1,
712.00,0.00000000E+0,
713.00,0.00000000E+0,
714.00,0.00000000E+0,
715.00,1.51075573E+1,
716.00,1.53314295E+1,
717.00,1.56421986E+1,
718.00,1.58878393E+1,
719.00,0.00000000E+0,
720.00,0.00000000E+0,
721.00,0.00000000E+0,
722.00,0.00000000E+0,
723.00,0.00000000E+0,
724.00,0.00000000E+0,
725.00,0.00000000E+0,
726.00,1.84539871E+1,
727.00,0.00000000E+0,
728.00,0.00000000E+0,
729.00,0.00000000E+0,
730.00,0.00000000E+0,
731.00,0.00000000E+0,
732.00,0.00000000E+0,
733.00,0.00000000E+0,
734.00,0.00000000E+0,
735.00,0.00000000E+0,
736.00,0.00000000E+0,
737.00,0.00000000E+0,
738.00,0.00000000E+0,
739.00,0.00000000E+0,
740.00,0.00000000E+0,
741.00,0.00000000E+0,
742.00,0.00000000E+0,
743.00,0.00000000E+0,
744.00,0.00000000E+0,
745.00,2.69900932E+1,
746.00,0.00000000E+0,
747.00,0.00000000E+0,
748.00,0.00000000E+0,
749.00,0.00000000E+0,
750.00,0.00000000E+0,
751.00,0.00000000E+0,
752.00,0.00000000E+0,
753.00,0.00000000E+0,
754.00,0.00000000E+0,
755.00,0.00000000E+0,
756.00,0.00000000E+0,
757.00,0.00000000E+0,
758.00,0.00000000E+0,
759.00,0.00000000E+0,
760.00,0.00000000E+0,
761.00,0.00000000E+0,
762.00,0.00000000E+0,
763.00,0.00000000E+0,
764.00,0.00000000E+0,
765.00,0.00000000E+0,
766.00,0.00000000E+0,
767.00,0.00000000E+0,
768.00,0.00000000E+0,
769.00,0.00000000E+0,
770.00,9.23984222E+1,
771.00,0.00000000E+0,
772.00,0.00000000E+0,
773.00,4.94491158E+1,
774.00,5.06930084E+1,
775.00,0.00000000E+0,
776.00,0.00000000E+0,
777.00,0.00000000E+0,
778.00,0.00000000E+0,
779.00,0.00000000E+0,
780.00,5.81166077E+1,
781.00,1.18423424E+2,
782.00,0.00000000E+0,
783.00,0.00000000E+0,
784.00,0.00000000E+0,
785.00,0.00000000E+0,
786.00,0.00000000E+0,
787.00,1.33868683E+2,
788.00,0.00000000E+0,
789.00,0.00000000E+0,
790.00,7.19295273E+1,
791.00,0.00000000E+0,
792.00,0.00000000E+0,
793.00,0.00000000E+0,
794.00,0.00000000E+0,
795.00,0.00000000E+0,
796.00,0.00000000E+0,
797.00,0.00000000E+0,
798.00,0.00000000E+0,
799.00,0.00000000E+0,
800.00,0.00000000E+0,
801.00,0.00000000E+0,
802.00,9.16384811E+1,
803.00,0.00000000E+0,
804.00,9.54012680E+1,
805.00,0.00000000E+0,
806.00,1.99195023E+2,
807.00,0.00000000E+0,
808.00,0.00000000E+0,
809.00,0.00000000E+0,
810.00,0.00000000E+0,
811.00,1.10984024E+2,
812.00,1.13760002E+2,
813.00,0.00000000E+0,
814.00,0.00000000E+0,
815.00,0.00000000E+0,
816.00,0.00000000E+0,
817.00,0.00000000E+0,
818.00,1.34129272E+2,
819.00,0.00000000E+0,
820.00,0.00000000E+0,
821.00,0.00000000E+0,
822.00,0.00000000E+0,
823.00,0.00000000E+0,
824.00,0.00000000E+0,
825.00,0.00000000E+0,
826.00,0.00000000E+0,
827.00,1.97861084E+2,
828.00,0.00000000E+0,
829.00,0.00000000E+0,
830.00,0.00000000E+0,
831.00,2.55005768E+2,
832.00,0.00000000E+0,
833.00,0.00000000E+0,
834.00,0.00000000E+0,
835.00,0.00000000E+0,
836.00,0.00000000E+0,
837.00,0.00000000E+0,
838.00,0.00000000E+0,
839.00,0.00000000E+0,
840.00,0.00000000E+0,
841.00,1.13973877E+3,
842.00,0.00000000E+0,
843.00,0.00000000E+0,
844.00,7.58837830E+2,
845.00,8.27978760E+2,
846.00,0.00000000E+0,
847.00,0.00000000E+0,
848.00,0.00000000E+0,
849.00,0.00000000E+0,
850.00,0.00000000E+0,
