Labels,NaLu2-0,
Type,Excitation Scan,
Comment,,
Start,230.00,
Stop,750.00,
Step,1.00,
Fixed/Offset,822.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,True,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.4999950,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.4999220,
Detector,Det2,

440.00,2.34198125E+5,
441.00,2.37087609E+5,
442.00,2.36268953E+5,
443.00,2.37241500E+5,
444.00,2.39980609E+5,
445.00,2.42234828E+5,
446.00,2.39095422E+5,
447.00,2.38227313E+5,
448.00,2.42376703E+5,
449.00,2.42073000E+5,
450.00,2.37795203E+5,
451.00,2.40391281E+5,
452.00,2.36912172E+5,
453.00,2.36388859E+5,
454.00,2.36582594E+5,
455.00,2.36637891E+5,
456.00,2.37751625E+5,
457.00,2.36622703E+5,
458.00,2.32670938E+5,
459.00,2.31266578E+5,
460.00,2.31633828E+5,
461.00,2.30296234E+5,
462.00,2.27711156E+5,
463.00,2.27350406E+5,
464.00,2.25351625E+5,
465.00,2.26039813E+5,
466.00,2.23731016E+5,
467.00,2.21339188E+5,
468.00,2.18695156E+5,
469.00,2.16318656E+5,
470.00,2.16234375E+5,
471.00,2.16761750E+5,
472.00,2.16617438E+5,
473.00,2.13828938E+5,
474.00,2.12133813E+5,
475.00,2.11590391E+5,
476.00,2.08651453E+5,
477.00,2.06022031E+5,
478.00,2.02307281E+5,
479.00,2.02612625E+5,
480.00,1.99056000E+5,
481.00,1.95684281E+5,
482.00,1.93196984E+5,
483.00,1.91963922E+5,
484.00,1.89639266E+5,
485.00,1.89810813E+5,
486.00,1.85668906E+5,
487.00,1.84151688E+5,
488.00,1.81452141E+5,
489.00,1.79045203E+5,
490.00,1.77446500E+5,
491.00,1.74933844E+5,
492.00,1.70157750E+5,
493.00,1.67924266E+5,
494.00,1.67073063E+5,
495.00,1.63015734E+5,
496.00,1.57347641E+5,
497.00,1.56257125E+5,
498.00,1.54926203E+5,
499.00,1.51786641E+5,
500.00,1.47911766E+5,
501.00,1.43905656E+5,
502.00,1.39839156E+5,
503.00,1.37918500E+5,
504.00,1.34981813E+5,
505.00,1.31905703E+5,
506.00,1.27911352E+5,
507.00,1.26110438E+5,
508.00,1.21840711E+5,
509.00,1.19664758E+5,
510.00,1.16127391E+5,
511.00,1.13417375E+5,
512.00,1.11756391E+5,
513.00,1.09372852E+5,
514.00,1.04046250E+5,
515.00,1.03020258E+5,
516.00,9.93135000E+4,
517.00,9.74417422E+4,
518.00,9.48125781E+4,
519.00,9.46226953E+4,
520.00,9.17122578E+4,
521.00,8.77101563E+4,
522.00,8.63496797E+4,
523.00,8.20576172E+4,
524.00,8.14198359E+4,
525.00,7.93024688E+4,
526.00,7.73613047E+4,
527.00,7.53167031E+4,
528.00,7.26998828E+4,
529.00,7.10687969E+4,
530.00,7.02399453E+4,
531.00,6.87820547E+4,
532.00,6.86333906E+4,
533.00,6.71153750E+4,
534.00,6.56501641E+4,
535.00,6.47243398E+4,
536.00,6.43081211E+4,
537.00,6.30383711E+4,
538.00,6.14297617E+4,
539.00,6.11720703E+4,
540.00,6.03954453E+4,
541.00,6.08097070E+4,
542.00,6.00411133E+4,
543.00,6.11905391E+4,
544.00,5.96277773E+4,
545.00,5.97151992E+4,
546.00,5.84707383E+4,
547.00,6.08148359E+4,
548.00,5.91888672E+4,
549.00,6.04175313E+4,
550.00,5.94691914E+4,
551.00,6.03973086E+4,
552.00,6.33561875E+4,
553.00,6.14402852E+4,
554.00,6.26983594E+4,
555.00,6.29924688E+4,
556.00,6.56825234E+4,
557.00,6.54852656E+4,
558.00,6.61783516E+4,
559.00,6.89663047E+4,
560.00,6.88746328E+4,
561.00,6.94857891E+4,
562.00,7.10738125E+4,
563.00,7.21911172E+4,
564.00,7.45786250E+4,
