0.01CR-FITTED-44.81%
  QY = 44.81%
Labels,0,EmScan7,
Type,Emission Scan,Emission Scan,
Comment,,,
Start,435.00,435.00,
Stop,830.00,830.00,
Step,0.500,0.500,
Fixed/Offset,445.00,445.00,
Xaxis,Wavelength,Wavelength,
Yaxis,Counts,Counts,
Scan Corr. by File,True,True,
Corr. by Ref. Det.,True,True,
Fixed/Offset Corr. by File,False,False,
Repeats,1,1,
Dwell Time,0.50,0.50,
Lamp,Xenon,Xenon,
Temp,0.00,0.00,
Scan Polariser,None,None,
Scan Slit,0.23999718,0.23999718,
Fixed/Offset Polariser,None,None,
Fixed/Offset Slit,2.10,2.10,
Detector,Det 1,Det 1,

435.00,1.31114936E+0,1.30890810E+0,
435.500,2.39934230E+0,1.74249339E+0,
436.00,2.18372250E+0,3.26898789E+0,
436.500,1.97019005E+0,3.71537256E+0,
437.00,4.36293316E+0,2.41367054E+0,
437.500,6.33096647E+0,8.10301590E+0,
438.00,1.07681665E+1,1.93204746E+1,
438.500,2.06790810E+1,3.08540459E+1,
439.00,3.85839500E+1,5.21307106E+1,
439.500,6.36260490E+1,9.98540726E+1,
440.00,1.07942924E+2,1.64291077E+2,
440.500,1.54523148E+2,2.32681107E+2,
441.00,2.10699356E+2,3.18935303E+2,
441.500,2.94027740E+2,4.44778015E+2,
442.00,3.88573792E+2,5.76025452E+2,
442.500,5.64289063E+2,8.17336060E+2,
443.00,9.94157776E+2,1.46358691E+3,
443.500,7.56239648E+3,1.12720430E+4,
444.00,3.27294512E+4,4.98505742E+4,
444.500,6.55743984E+4,9.87638594E+4,
445.00,9.68068516E+4,1.44656219E+5,
445.500,1.12561766E+5,1.67669313E+5,
446.00,9.76336328E+4,1.44674328E+5,
446.500,6.68432188E+4,9.83361953E+4,
447.00,3.47502344E+4,5.09857070E+4,
447.500,9.18114063E+3,1.33428848E+4,
448.00,1.00362775E+3,1.53164319E+3,
448.500,5.64299255E+2,8.38326538E+2,
449.00,3.95043610E+2,5.84377441E+2,
449.500,2.98067444E+2,4.27066193E+2,
450.00,2.30393814E+2,3.54730255E+2,
450.500,1.99340652E+2,2.79988068E+2,
451.00,1.59505768E+2,2.24624588E+2,
451.500,1.23249229E+2,1.81711411E+2,
452.00,9.82536163E+1,1.44870941E+2,
452.500,7.89505997E+1,1.14373322E+2,
453.00,6.49177780E+1,7.91837234E+1,
453.500,3.62295494E+1,4.17436256E+1,
454.00,2.62158699E+1,2.55699482E+1,
454.500,1.50271769E+1,1.73870010E+1,
455.00,1.24091158E+1,1.81333141E+1,
455.500,1.59980593E+1,1.85726833E+1,
456.00,1.28648767E+1,2.20943356E+1,
456.500,1.27786417E+1,1.30548010E+1,
457.00,1.11937952E+1,1.81015091E+1,
457.500,1.44510241E+1,1.26641817E+1,
458.00,1.20807934E+1,1.63623257E+1,
458.500,1.24945335E+1,1.55310373E+1,
459.00,1.31466141E+1,1.99175091E+1,
459.500,1.48068857E+1,1.52960329E+1,
460.00,1.89525013E+1,1.62358475E+1,
460.500,1.75336704E+1,1.80520363E+1,
461.00,1.25814953E+1,2.06169167E+1,
461.500,1.30490141E+1,2.58279610E+1,
462.00,1.77750568E+1,1.85309658E+1,
462.500,1.26693296E+1,2.12261448E+1,
463.00,1.64294453E+1,1.99888763E+1,
463.500,1.65510921E+1,2.25051708E+1,
464.00,1.55211153E+1,2.12347317E+1,
464.500,8.95441437E+0,1.92529507E+1,
465.00,1.61315441E+1,2.08507805E+1,
465.500,1.25860682E+1,1.67709160E+1,
466.00,1.51607256E+1,2.20933876E+1,
466.500,1.55034695E+1,2.19862118E+1,
467.00,1.59911375E+1,2.82213230E+1,
467.500,2.04996662E+1,2.23938389E+1,
468.00,1.29144459E+1,2.97481976E+1,
468.500,1.84343872E+1,2.29748135E+1,
469.00,1.97775860E+1,2.23041134E+1,
469.500,1.72435532E+1,2.43665447E+1,
470.00,1.85551796E+1,2.54731503E+1,
470.500,1.49097042E+1,2.62878876E+1,
471.00,1.80721970E+1,2.45337257E+1,
471.500,1.51273565E+1,2.38790302E+1,
472.00,1.81014175E+1,2.40155258E+1,
472.500,1.56206026E+1,2.92825375E+1,
473.00,1.88178329E+1,3.20392303E+1,
473.500,2.01727676E+1,3.14557686E+1,
474.00,2.41486778E+1,2.75907154E+1,
474.500,2.32774868E+1,2.71656914E+1,
475.00,2.21090412E+1,3.20018883E+1,
475.500,1.68175430E+1,2.72546444E+1,
476.00,1.45491171E+1,2.35699425E+1,
476.500,2.01073494E+1,3.07736511E+1,
477.00,1.97303009E+1,3.20173264E+1,
477.500,1.83964195E+1,2.55672741E+1,
478.00,2.04240704E+1,2.60388165E+1,
478.500,1.85818081E+1,2.56281548E+1,
479.00,2.19333649E+1,2.70676842E+1,
479.500,1.84488125E+1,2.84487076E+1,
480.00,1.50351458E+1,2.90752468E+1,
480.500,1.74201355E+1,3.05289059E+1,
481.00,2.30777931E+1,2.90248871E+1,
481.500,2.07735767E+1,3.26312141E+1,
482.00,2.02039185E+1,3.66825409E+1,
482.500,1.83134594E+1,3.15354137E+1,
483.00,2.07225628E+1,2.92364349E+1,
483.500,2.40548191E+1,3.15090504E+1,
484.00,2.03214130E+1,3.32803459E+1,
484.500,1.63491936E+1,2.97294922E+1,
485.00,1.82333660E+1,2.88547783E+1,
485.500,2.10203724E+1,3.16382122E+1,
486.00,2.37342606E+1,3.36463699E+1,
486.500,2.16420288E+1,3.32079430E+1,
487.00,2.39356289E+1,3.31742897E+1,
487.500,2.47376881E+1,3.21074677E+1,
488.00,1.94562092E+1,4.02417641E+1,
488.500,2.19765091E+1,3.95590286E+1,
489.00,2.14544945E+1,3.27488670E+1,
489.500,2.31773319E+1,3.11988640E+1,
490.00,2.55133896E+1,3.57434158E+1,
490.500,2.33617210E+1,3.89796638E+1,
491.00,2.57275219E+1,3.93155937E+1,
491.500,1.97902756E+1,3.86305771E+1,
492.00,2.25060101E+1,3.39856987E+1,
492.500,2.80235996E+1,2.95885582E+1,
493.00,2.22189007E+1,3.32524796E+1,
493.500,2.23565884E+1,3.60242043E+1,
494.00,2.83373394E+1,3.68258133E+1,
494.500,2.04365311E+1,3.08045673E+1,
495.00,2.07784290E+1,3.63425522E+1,
495.500,2.39482861E+1,3.09938469E+1,
496.00,2.84633408E+1,3.55959091E+1,
496.500,2.46799431E+1,3.48631363E+1,
497.00,2.84417839E+1,3.90010414E+1,
497.500,2.37562904E+1,3.48545990E+1,
498.00,2.60041122E+1,4.10782700E+1,
498.500,2.02504959E+1,3.65457916E+1,
