Labels,KONGBAI-3,
Type,Emission Scan,
Comment,,
Start,435.00,
Stop,830.00,
Step,0.500,
Fixed/Offset,445.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.50,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.23999718,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.10,
Detector,Det 1,

726.500,1.71487408E+1,
727.00,3.46458168E+1,
727.500,2.63221569E+1,
728.00,2.65371342E+1,
728.500,2.67805309E+1,
729.00,4.50760345E+1,
729.500,4.11001816E+1,
730.00,-1.37930365E+1,
730.500,4.18366852E+1,
731.00,4.68796844E+1,
731.500,3.79523430E+1,
732.00,1.43625345E+1,
732.500,9.65517235E+0,
733.00,1.95788765E+1,
733.500,9.85880184E+0,
734.00,9.96872425E+0,
734.500,-5.02166319E+0,
735.00,1.01730404E+1,
735.500,1.53822908E+1,
736.00,1.04016256E+1,
736.500,-5.23346806E+0,
737.00,3.18222980E+1,
737.500,3.74423141E+1,
738.00,-5.40790033E+0,
738.500,3.82128143E+1,
739.00,-1.10194902E+1,
739.500,3.34413338E+1,
740.00,5.62799311E+0,
740.500,4.55627174E+1,
741.00,1.72582207E+1,
741.500,0.00000000E+0,
742.00,-5.85653734E+0,
742.500,2.97398949E+1,
743.00,-5.99671221E+0,
743.500,1.81798172E+1,
744.00,-1.22190552E+1,
744.500,6.18272257E+0,
745.00,0.00000000E+0,
745.500,1.89084644E+1,
746.00,6.38625431E+0,
746.500,6.46302509E+0,
747.00,3.91204109E+1,
747.500,0.00000000E+0,
748.00,0.00000000E+0,
748.500,-6.72409105E+0,
749.00,2.03727665E+1,
749.500,4.12616959E+1,
750.00,1.38740540E+1,
750.500,-7.01556110E+0,
751.00,-7.12797260E+0,
751.500,2.86911945E+1,
752.00,2.89945335E+1,
752.500,-7.34981203E+0,
753.00,3.70771713E+1,
753.500,7.50563288E+0,
754.00,-7.57868099E+0,
754.500,3.05990791E+1,
755.00,1.54762821E+1,
755.500,7.82641602E+0,
756.00,0.00000000E+0,
756.500,1.59959869E+1,
757.00,0.00000000E+0,
757.500,4.07967262E+1,
758.00,3.30218506E+1,
758.500,1.67215824E+1,
759.00,0.00000000E+0,
759.500,3.41866608E+1,
760.00,-1.73198586E+1,
760.500,2.62451019E+1,
761.00,7.95309982E+1,
761.500,2.68803730E+1,
762.00,5.44812202E+1,
762.500,6.39294968E+1,
763.00,-9.23326397E+0,
763.500,1.87011852E+1,
764.00,9.44890976E+0,
764.500,3.81197510E+1,
765.00,1.92591076E+1,
765.500,-1.95745258E+1,
766.00,9.88343716E+0,
766.500,0.00000000E+0,
767.00,-1.00987692E+1,
767.500,-2.03542385E+1,
768.00,-2.05796413E+1,
768.500,-1.04167614E+1,
769.00,4.20422401E+1,
769.500,-1.05994253E+1,
770.00,7.50853119E+1,
770.500,5.42481804E+1,
771.00,1.42183243E+2,
771.500,4.43325577E+1,
772.00,-1.11945314E+1,
772.500,4.53879585E+1,
773.00,4.57351837E+1,
773.500,2.32435760E+1,
774.00,9.37461700E+1,
774.500,1.18517799E+1,
775.00,0.00000000E+0,
775.500,-4.84039116E+1,
776.00,3.67724266E+1,
776.500,4.95752373E+1,
777.00,1.25134697E+1,
777.500,7.61242905E+1,
778.00,1.40692673E+2,
778.500,6.46115112E+1,
779.00,-1.30709686E+1,
779.500,-2.64756851E+1,
780.00,1.46805832E+2,
780.500,6.74678955E+1,
781.00,6.81932831E+1,
781.500,1.24229355E+2,
782.00,-1.39537306E+1,
782.500,0.00000000E+0,
783.00,0.00000000E+0,
783.500,8.66682129E+1,
784.00,-1.45913458E+1,
784.500,1.47240158E+2,
785.00,0.00000000E+0,
785.500,-3.00560703E+1,
786.00,-4.56184387E+1,
786.500,-3.06826687E+1,
787.00,-1.54938049E+1,
787.500,1.25360146E+2,
788.00,0.00000000E+0,
788.500,-3.21131592E+1,
789.00,0.00000000E+0,
789.500,9.85109940E+1,
790.00,1.65850182E+1,
790.500,1.68027248E+1,
791.00,-3.38534698E+1,
791.500,1.70607166E+1,
792.00,8.66035156E+1,
792.500,1.74312325E+1,
793.00,1.59044281E+2,
793.500,8.94672318E+1,
794.00,9.01673126E+1,
794.500,1.45494934E+2,
795.00,3.67688103E+1,
795.500,1.48576859E+2,
796.00,5.63102913E+1,
796.500,-3.79419403E+1,
797.00,-3.81576996E+1,
797.500,-5.79327888E+1,
798.00,9.75610352E+1,
798.500,1.57381119E+2,
799.00,0.00000000E+0,
799.500,1.20705841E+2,
800.00,1.62790115E+2,
800.500,6.17398491E+1,
801.00,1.45572815E+2,
801.500,1.26012642E+2,
