0.007CR-FITTED-32.60%
  QY = 32.60%
Labels,0,KONGBAI-2,
Type,Emission Scan,Emission Scan,
Comment,,,
Start,435.00,435.00,
Stop,830.100,830.100,
Step,0.300,0.300,
Fixed/Offset,445.00,445.00,
Xaxis,Wavelength,Wavelength,
Yaxis,Counts,Counts,
Scan Corr. by File,True,True,
Corr. by Ref. Det.,True,True,
Fixed/Offset Corr. by File,False,False,
Repeats,1,1,
Dwell Time,0.20,0.20,
Lamp,Xenon,Xenon,
Temp,0.00,0.00,
Scan Polariser,None,None,
Scan Slit,0.23999718,0.23999718,
Fixed/Offset Polariser,None,None,
Fixed/Offset Slit,2.10,2.10,
Detector,Det 1,Det 1,

435.00,-1.63278544E+0,2.15805602E+0,
435.300,5.42738855E-1,2.70876980E+0,
435.600,5.41916788E-1,0.00000000E+0,
435.900,5.42265475E-1,6.50981665E+0,
436.200,-2.17626357E+0,2.17301893E+0,
436.500,-2.16651297E+0,1.63075447E+0,
436.800,1.62915373E+0,5.95742846E+0,
437.100,-1.62825036E+0,5.43150568E+0,
437.400,5.45289099E-1,8.13079548E+0,
437.700,5.46411848E+0,8.17040539E+0,
438.00,1.26408014E+1,2.23524342E+1,
438.300,2.51961422E+1,2.82940178E+1,
438.600,2.30761757E+1,4.61784782E+1,
438.900,3.68571129E+1,6.65987320E+1,
439.200,5.76569557E+1,8.31531906E+1,
439.500,9.91846695E+1,1.13652908E+2,
439.800,1.06063087E+2,1.30521881E+2,
440.100,1.26342598E+2,1.96487732E+2,
440.400,1.82148834E+2,2.31915604E+2,
440.700,1.97114975E+2,2.73976166E+2,
441.00,2.42047058E+2,3.33794128E+2,
441.300,3.16397705E+2,4.19539673E+2,
441.600,3.75139099E+2,4.94908447E+2,
441.900,4.25953674E+2,5.30935181E+2,
442.200,5.26324341E+2,7.43472778E+2,
442.500,6.50811279E+2,8.76957153E+2,
442.800,8.85560852E+2,1.13779590E+3,
443.100,1.67950781E+3,2.74853125E+3,
443.400,6.26196436E+3,9.94922168E+3,
443.700,1.93228730E+4,2.84942637E+4,
444.00,3.87898672E+4,5.48570391E+4,
444.300,6.17364414E+4,8.45256406E+4,
444.600,8.25444219E+4,1.12360547E+5,
444.900,1.04658680E+5,1.40292203E+5,
445.200,1.21800813E+5,1.61939344E+5,
445.500,1.28692836E+5,1.67371484E+5,
445.800,1.21660227E+5,1.57342781E+5,
446.100,1.02504828E+5,1.31287094E+5,
446.400,8.18611406E+4,1.04067305E+5,
446.700,5.97885508E+4,7.47326719E+4,
447.00,3.85025195E+4,4.66258203E+4,
447.300,1.96090938E+4,2.32695684E+4,
447.600,6.08188721E+3,6.93103564E+3,
447.900,1.53691382E+3,1.89847229E+3,
448.200,8.47883301E+2,1.04551843E+3,
448.500,6.15305725E+2,8.00992004E+2,
448.800,5.36857544E+2,6.57676697E+2,
449.100,4.07159576E+2,5.36544373E+2,
449.400,3.53647675E+2,4.46254639E+2,
449.700,2.94805145E+2,3.99778473E+2,
450.00,2.52600098E+2,3.24326599E+2,
450.300,2.32454422E+2,3.15661713E+2,
450.600,1.92710785E+2,2.82758972E+2,
450.900,1.84101151E+2,2.36247345E+2,
451.200,1.42485458E+2,2.09562943E+2,
451.500,1.43566055E+2,1.73782547E+2,
451.800,1.10262108E+2,1.39011871E+2,
452.100,8.17280655E+1,1.30063812E+2,
452.400,9.79946747E+1,9.19569473E+1,
452.700,8.03768463E+1,9.33218079E+1,
453.00,6.07568092E+1,8.13153992E+1,
453.300,3.64022980E+1,6.02985764E+1,
453.600,2.28084202E+1,3.89443016E+1,
453.900,2.01535587E+1,2.91596127E+1,
454.200,1.42529793E+1,1.87322865E+1,
454.500,1.42216644E+1,2.26240673E+1,
454.800,9.02031040E+0,1.03205776E+1,
455.100,9.02712250E+0,1.99219894E+1,
455.400,8.36907482E+0,1.86342087E+1,
455.700,1.28106203E+1,1.85444412E+1,
456.00,9.56960487E+0,1.21018686E+1,
456.300,7.02208090E+0,2.16419563E+1,
456.600,1.01698780E+1,1.77999172E+1,
456.900,9.51151562E+0,1.51234293E+1,
457.200,7.59542847E+0,1.32458658E+1,
457.500,1.13341494E+1,1.57123928E+1,
457.800,9.40802002E+0,1.25151730E+1,
458.100,1.06398811E+1,1.61737480E+1,
458.400,3.12423515E+0,1.67763042E+1,
458.700,1.48789539E+1,1.80227833E+1,
459.00,6.85344791E+0,2.78591194E+1,
459.300,1.35317059E+1,2.45623264E+1,
459.600,9.24563789E+0,1.41995287E+1,
459.900,7.99087763E+0,2.01490688E+1,
460.200,9.74143600E+0,1.83273716E+1,
460.500,1.40452633E+1,1.82163181E+1,
460.800,1.33397684E+1,2.36227055E+1,
461.100,1.45324745E+1,1.80491734E+1,
461.400,1.86552105E+1,2.22381744E+1,
461.700,1.07745647E+1,1.19682856E+1,
462.00,1.25443239E+1,2.38155327E+1,
462.300,1.37446604E+1,1.90820770E+1,
462.600,9.50414944E+0,1.30434151E+1,
462.900,8.88254356E+0,1.48363352E+1,
463.200,1.95187263E+1,1.77265167E+1,
463.500,1.17797394E+1,2.64957390E+1,
463.800,1.29432726E+1,2.05958080E+1,
464.100,9.97139072E+0,2.05624905E+1,
464.400,1.51729050E+1,1.63546143E+1,
464.700,1.40337925E+1,1.69596806E+1,
465.00,1.16311035E+1,2.26909828E+1,
465.300,1.15954494E+1,2.72569904E+1,
465.600,1.04415016E+1,2.08124523E+1,
465.900,1.96331367E+1,2.89856453E+1,
466.200,1.91668377E+1,2.90505943E+1,
466.500,1.56082010E+1,2.18845043E+1,
466.800,1.95199986E+1,2.35875378E+1,
467.100,1.60675678E+1,1.73061790E+1,
467.400,1.32879257E+1,2.47005157E+1,
467.700,1.38434782E+1,1.49750872E+1,
468.00,1.60566082E+1,2.29775257E+1,
468.300,1.37492990E+1,2.57139416E+1,
468.600,1.66400757E+1,1.94653549E+1,
468.900,1.60080433E+1,2.35268211E+1,
469.200,1.54800034E+1,2.27755795E+1,
469.500,1.09001217E+1,1.76524143E+1,
469.800,1.82798958E+1,2.62952518E+1,
470.100,1.82634220E+1,1.94839497E+1,
470.400,1.59530840E+1,2.67988434E+1,
470.700,1.72066879E+1,2.67948341E+1,
471.00,2.21426182E+1,2.22280426E+1,
471.300,1.36999006E+1,2.28158569E+1,
471.600,1.31202621E+1,1.99810238E+1,
471.900,1.88789711E+1,3.06689644E+1,
472.200,1.36432304E+1,2.56740818E+1,
472.500,2.05385799E+1,2.22534161E+1,
472.800,1.71407413E+1,3.24299698E+1,
473.100,1.65622616E+1,2.96684914E+1,
