0.01cr-1%K2co3
  QY = 63.89%
Labels,EmScan25,kongbai(Multi Scans),
Type,Emission Scan,Emission Scan,
Comment,,,
Start,425.00,425.00,
Stop,850.00,850.00,
Step,1.00,1.00,
Fixed/Offset,445.00,445.00,
Xaxis,Wavelength,Wavelength,
Yaxis,Counts,Counts,
Scan Corr. by File,True,True,
Corr. by Ref. Det.,True,True,
Fixed/Offset Corr. by File,False,False,
Repeats,1,1,
Dwell Time,0.10,0.10,
Lamp,Xenon,Xenon,
Temp,29.750,28.80,
Scan Polariser,None,None,
Scan Slit,0.19999765,0.19999765,
Fixed/Offset Polariser,None,None,
Fixed/Offset Slit,2.4000206,2.4000206,
Detector,Det 1,Det 1,

548.00,4.54088545E+0,2.28339672E+1,
549.00,1.99036579E+1,1.99326839E+1,
550.00,4.65815926E+0,1.39858809E+1,
551.00,1.56103458E+1,1.58084812E+1,
552.00,1.42161589E+1,1.57828856E+1,
553.00,1.11122618E+1,2.23819160E+1,
554.00,1.11932783E+1,1.61021671E+1,
555.00,1.45719624E+1,9.75030231E+0,
556.00,6.54999781E+0,1.63324432E+1,
557.00,3.30358338E+0,9.90377426E+0,
558.00,1.17428894E+1,2.33989677E+1,
559.00,6.75146770E+0,1.01353550E+1,
560.00,1.19320154E+1,2.22023811E+1,
561.00,1.20732346E+1,8.59659195E+0,
562.00,3.47008801E+0,1.21919174E+1,
563.00,1.22845840E+1,1.05528526E+1,
564.00,1.23661509E+1,1.77447593E+0,
565.00,8.90780735E+0,7.14992619E+0,
566.00,7.21086454E+0,9.03418636E+0,
567.00,5.46368885E+0,9.11704063E+0,
568.00,1.83935452E+0,1.28266230E+1,
569.00,9.23573589E+0,7.47166061E+0,
570.00,7.51898718E+0,1.50416622E+1,
571.00,3.78343010E+0,2.10190907E+1,
572.00,1.15011282E+1,7.67945671E+0,
573.00,7.77899408E+0,3.86984992E+0,
574.00,9.77085114E+0,1.17863846E+1,
575.00,5.88976669E+0,1.78373222E+1,
576.00,9.90927982E+0,1.19949188E+1,
577.00,1.21224613E+1,8.13036728E+0,
578.00,1.42897339E+1,1.42912760E+1,
579.00,0.00000000E+0,8.25390434E+0,
580.00,1.87689056E+1,6.26589870E+0,
581.00,4.20551538E+0,1.27052517E+1,
582.00,1.27258234E+1,8.52427197E+0,
583.00,1.07191763E+1,1.07819767E+1,
584.00,6.50814009E+0,1.09270363E+1,
585.00,8.79946899E+0,1.10059366E+1,
586.00,8.86555004E+0,2.22697759E+0,
587.00,2.23483562E+0,1.79947605E+1,
588.00,0.00000000E+0,1.35043488E+1,
589.00,6.86365414E+0,9.10214329E+0,
590.00,2.31131363E+0,1.38582315E+1,
591.00,2.33554974E+1,9.36912441E+0,
592.00,7.08815336E+0,0.00000000E+0,
593.00,1.18436050E+1,2.39458394E+0,
594.00,1.44597721E+1,1.69310017E+1,
595.00,7.27384949E+0,2.67279453E+1,
596.00,9.80780792E+0,9.80982208E+0,
597.00,2.47663999E+0,-4.96667910E+0,
598.00,7.50411463E+0,1.25124788E+1,
599.00,2.53513074E+0,7.63617706E+0,
600.00,7.68900919E+0,5.16596985E+0,
601.00,7.75371885E+0,5.19834900E+0,
602.00,7.86330223E+0,7.86745739E+0,
603.00,7.94925117E+0,5.29805088E+0,
604.00,8.04334927E+0,5.36842680E+0,
605.00,8.15033436E+0,1.63024254E+1,
606.00,0.00000000E+0,2.75867653E+0,
607.00,1.10492344E+1,5.56790543E+0,
608.00,2.81196404E+0,2.54877777E+1,
609.00,2.85238194E+0,-2.84920025E+0,
610.00,0.00000000E+0,-2.88573313E+0,
611.00,1.16543388E+1,8.79519463E+0,
612.00,2.96740294E+0,0.00000000E+0,
613.00,2.99949765E+0,2.99219656E+0,
614.00,-3.03201008E+0,0.00000000E+0,
615.00,6.16687107E+0,6.14768314E+0,
616.00,6.22222900E+0,-3.11339569E+0,
617.00,9.47916698E+0,0.00000000E+0,
618.00,1.28212328E+1,1.59802217E+1,
619.00,-3.25294352E+0,3.24826264E+0,
620.00,1.97421036E+1,9.84860611E+0,
621.00,3.33064318E+0,9.99554348E+0,
622.00,1.01375494E+1,1.01829138E+1,
623.00,1.71637993E+1,1.37185555E+1,
624.00,3.48691630E+0,6.99665976E+0,
625.00,-3.52906084E+0,-7.10995293E+0,
