0.01cr-1%H3BO3-61.83%
  QY = 61.83%
Labels,EmScan30,kongbai(Multi Scans),
Type,Emission Scan,Emission Scan,
Comment,,,
Start,425.00,425.00,
Stop,850.00,850.00,
Step,1.00,1.00,
Fixed/Offset,445.00,445.00,
Xaxis,Wavelength,Wavelength,
Yaxis,Counts,Counts,
Scan Corr. by File,True,True,
Corr. by Ref. Det.,True,True,
Fixed/Offset Corr. by File,False,False,
Repeats,1,1,
Dwell Time,0.10,0.10,
Lamp,Xenon,Xenon,
Temp,30.050,28.80,
Scan Polariser,None,None,
Scan Slit,0.19999765,0.19999765,
Fixed/Offset Polariser,None,None,
Fixed/Offset Slit,2.4000206,2.4000206,
Detector,Det 1,Det 1,

547.00,1.05295105E+1,1.50998592E+1,
548.00,9.14165306E+0,2.28339672E+1,
549.00,9.23168468E+0,1.99326839E+1,
550.00,1.08418779E+1,1.39858809E+1,
551.00,7.84215641E+0,1.58084812E+1,
552.00,1.26169119E+1,1.57828856E+1,
553.00,1.74918537E+1,2.23819160E+1,
554.00,6.42679787E+0,1.61021671E+1,
555.00,9.68792534E+0,9.75030231E+0,
556.00,1.79992733E+1,1.63324432E+1,
557.00,1.15400724E+1,9.90377426E+0,
558.00,8.33177662E+0,2.33989677E+1,
559.00,5.04672194E+0,1.01353550E+1,
560.00,1.01948252E+1,2.22023811E+1,
561.00,6.84846163E+0,8.59659195E+0,
562.00,1.21830463E+1,1.21919174E+1,
563.00,8.74687767E+0,1.05528526E+1,
564.00,7.06070614E+0,1.77447593E+0,
565.00,0.00000000E+0,7.14992619E+0,
566.00,8.98850346E+0,9.03418636E+0,
567.00,7.27394962E+0,9.11704063E+0,
568.00,1.46464233E+1,1.28266230E+1,
569.00,3.69562531E+0,7.47166061E+0,
570.00,1.87516809E+0,1.50416622E+1,
571.00,5.67736340E+0,2.10190907E+1,
572.00,5.71634674E+0,7.67945671E+0,
573.00,5.79150772E+0,3.86984992E+0,
574.00,0.00000000E+0,1.17863846E+1,
575.00,7.92699814E+0,1.78373222E+1,
576.00,3.99705219E+0,1.19949188E+1,
577.00,1.20706034E+1,8.13036728E+0,
578.00,8.15644073E+0,1.42912760E+1,
579.00,4.09934807E+0,8.25390434E+0,
580.00,8.33093929E+0,6.26589870E+0,
581.00,4.19877243E+0,1.27052517E+1,
582.00,1.27081947E+1,8.52427197E+0,
583.00,0.00000000E+0,1.07819767E+1,
584.00,4.34063053E+0,1.09270363E+1,
585.00,6.53726435E+0,1.10059366E+1,
586.00,0.00000000E+0,2.22697759E+0,
587.00,6.71304893E+0,1.79947605E+1,
588.00,4.51811361E+0,1.35043488E+1,
589.00,9.10818863E+0,9.10214329E+0,
590.00,6.88618994E+0,1.38582315E+1,
591.00,6.97552013E+0,9.36912441E+0,
592.00,4.71631479E+0,0.00000000E+0,
593.00,2.36789060E+0,2.39458394E+0,
594.00,4.79359961E+0,1.69310017E+1,
595.00,2.43648982E+0,2.67279453E+1,
596.00,7.38002682E+0,9.80982208E+0,
597.00,1.48691397E+1,-4.96667910E+0,
598.00,1.25178604E+1,1.25124788E+1,
599.00,7.58727646E+0,7.63617706E+0,
600.00,2.56551218E+0,5.16596985E+0,
601.00,5.19473124E+0,5.19834900E+0,
602.00,0.00000000E+0,7.86745739E+0,
603.00,0.00000000E+0,5.29805088E+0,
604.00,2.68326759E+0,5.36842680E+0,
605.00,1.62832909E+1,1.63024254E+1,
606.00,5.48657608E+0,2.75867653E+0,
607.00,2.78504372E+0,5.56790543E+0,
608.00,0.00000000E+0,2.54877777E+1,
609.00,-2.85338807E+0,-2.84920025E+0,
610.00,5.74973822E+0,-2.88573313E+0,
611.00,2.92400455E+0,8.79519463E+0,
612.00,2.95106077E+0,0.00000000E+0,
613.00,0.00000000E+0,2.99219656E+0,
614.00,6.04616356E+0,0.00000000E+0,
615.00,3.06861711E+0,6.14768314E+0,
616.00,-3.11324358E+0,-3.11339569E+0,
617.00,3.16046500E+0,0.00000000E+0,
618.00,-3.20766401E+0,1.59802217E+1,
619.00,6.49302959E+0,3.24826264E+0,
620.00,6.59482861E+0,9.84860611E+0,
621.00,0.00000000E+0,9.99554348E+0,
622.00,1.01767225E+1,1.01829138E+1,
623.00,3.43965840E+0,1.37185555E+1,
624.00,0.00000000E+0,6.99665976E+0,
625.00,1.06040735E+1,-7.10995293E+0,
626.00,0.00000000E+0,3.58846307E+0,
627.00,-3.63631153E+0,-3.64486647E+0,
628.00,0.00000000E+0,-3.70253372E+0,
629.00,3.74451399E+0,7.49518633E+0,
630.00,3.79342413E+0,-3.79987812E+0,
631.00,0.00000000E+0,3.85587788E+0,
632.00,0.00000000E+0,3.91783047E+0,
633.00,3.99378443E+0,1.99466286E+1,
634.00,4.06109333E+0,8.13392258E+0,
635.00,-4.11285686E+0,-4.11434650E+0,
636.00,4.18296099E+0,0.00000000E+0,
637.00,-4.25639439E+0,8.54009914E+0,
638.00,4.30491829E+0,-8.70458412E+0,
639.00,4.37784767E+0,0.00000000E+0,
640.00,8.91423607E+0,4.47044230E+0,
641.00,4.53382874E+0,9.11584663E+0,
642.00,0.00000000E+0,0.00000000E+0,
643.00,-4.70724869E+0,0.00000000E+0,
644.00,0.00000000E+0,0.00000000E+0,
645.00,0.00000000E+0,4.82845545E+0,
646.00,4.94216585E+0,9.85867405E+0,
647.00,0.00000000E+0,-1.00919971E+1,
648.00,5.11670494E+0,-5.15898466E+0,
649.00,1.04309044E+1,-5.25967598E+0,
650.00,5.32516050E+0,-5.33226824E+0,
651.00,5.42585516E+0,-5.40238619E+0,
652.00,1.64769459E+1,2.76311512E+1,
653.00,0.00000000E+0,1.12727489E+1,
654.00,-5.72491455E+0,5.73876715E+0,
655.00,3.51004677E+1,5.85592699E+0,
656.00,0.00000000E+0,-5.97172499E+0,
657.00,2.44270439E+1,-6.08657694E+0,
658.00,-6.23200607E+0,6.22919703E+0,
659.00,0.00000000E+0,-1.27009640E+1,
660.00,0.00000000E+0,-1.30395861E+1,
661.00,0.00000000E+0,-6.69352627E+0,
662.00,0.00000000E+0,-6.86088943E+0,
663.00,0.00000000E+0,-7.02997398E+0,
664.00,1.46013069E+1,7.28480005E+0,
665.00,3.02246380E+1,-1.51100950E+1,
666.00,2.32989025E+1,0.00000000E+0,
667.00,1.58542595E+1,-1.59280510E+1,
668.00,8.06721497E+0,8.10572720E+0,
669.00,1.63374786E+1,0.00000000E+0,
670.00,-8.18267059E+0,0.00000000E+0,
671.00,3.27742882E+1,-8.20519638E+0,
672.00,-8.23215485E+0,-8.19811440E+0,
673.00,-8.23506260E+0,-1.65436840E+1,
674.00,2.48283958E+1,-1.65233040E+1,
675.00,4.98382225E+1,8.29272461E+0,
676.00,5.80903168E+1,-1.67053947E+1,
677.00,1.66974220E+1,8.38072681E+0,
678.00,0.00000000E+0,-8.44337368E+0,
679.00,4.22099075E+1,0.00000000E+0,
680.00,4.30979767E+1,-1.72530422E+1,
681.00,4.33783646E+1,-1.73574715E+1,
682.00,3.46889000E+1,-8.75555897E+0,
683.00,2.63513546E+1,-8.83845234E+0,
684.00,1.76247883E+1,0.00000000E+0,
685.00,4.44511337E+1,0.00000000E+0,
686.00,4.47222633E+1,8.95785522E+0,
687.00,5.38940086E+1,-1.81502018E+1,
688.00,1.81161728E+1,-9.12809277E+0,
689.00,4.59514999E+1,9.19760323E+0,
690.00,8.34810791E+1,-1.86196117E+1,
691.00,6.55625458E+1,0.00000000E+0,
692.00,6.60489578E+1,0.00000000E+0,
693.00,9.53578110E+1,-1.91848621E+1,
694.00,4.84197540E+1,-1.93893757E+1,
695.00,3.92219276E+1,-1.95850410E+1,
696.00,5.95315819E+1,-1.98847580E+1,
697.00,9.07796783E+1,-2.01386299E+1,
698.00,1.32362946E+2,-2.03424187E+1,
699.00,6.21412354E+1,-1.03388882E+1,
700.00,9.41178665E+1,-2.09333172E+1,
701.00,2.00221451E+2,-1.06330347E+1,
702.00,1.62268875E+2,-1.08143034E+1,
703.00,1.74520370E+2,-1.08983507E+1,
704.00,1.32684586E+2,0.00000000E+0,
705.00,2.24817257E+1,-2.25355434E+1,
706.00,1.37243958E+2,-2.28189163E+1,
707.00,1.38351944E+2,-2.31958294E+1,
708.00,1.29885864E+2,-2.35942917E+1,
709.00,1.19739830E+2,-1.19748039E+1,
710.00,1.34055511E+2,-1.21861477E+1,
711.00,1.23855156E+2,-2.48080044E+1,
712.00,1.13232430E+2,-1.25587416E+1,
713.00,2.55624939E+2,-1.27989140E+1,
714.00,1.30001297E+2,0.00000000E+0,
715.00,1.85181396E+2,-2.63780098E+1,
716.00,1.89016647E+2,-2.68927631E+1,
717.00,1.65100174E+2,-2.74124241E+1,
718.00,1.81156372E+2,1.39573441E+1,
719.00,2.12789734E+2,-2.84609756E+1,
720.00,1.58743225E+2,-1.44787092E+1,
721.00,1.03152695E+2,-2.93629246E+1,
722.00,2.24571793E+2,-1.50017900E+1,
723.00,2.14311752E+2,-1.53076830E+1,
724.00,2.17588699E+2,-1.55579996E+1,
725.00,2.53772125E+2,-1.58398485E+1,
726.00,1.77916199E+2,0.00000000E+0,
727.00,1.97808029E+2,-3.29551010E+1,
