0.01cr-3%LIF-46.29%
  QY = 46.29%
Labels,EmScan26,kongbai(Multi Scans),
Type,Emission Scan,Emission Scan,
Comment,,,
Start,425.00,425.00,
Stop,850.00,850.00,
Step,1.00,1.00,
Fixed/Offset,445.00,445.00,
Xaxis,Wavelength,Wavelength,
Yaxis,Counts,Counts,
Scan Corr. by File,True,True,
Corr. by Ref. Det.,True,True,
Fixed/Offset Corr. by File,False,False,
Repeats,1,1,
Dwell Time,0.10,0.10,
Lamp,Xenon,Xenon,
Temp,29.80,28.80,
Scan Polariser,None,None,
Scan Slit,0.19999765,0.19999765,
Fixed/Offset Polariser,None,None,
Fixed/Offset Slit,2.4000206,2.4000206,
Detector,Det 1,Det 1,

547.00,1.21063738E+1,1.50998592E+1,
548.00,6.07619190E+0,2.28339672E+1,
549.00,4.60295868E+0,1.99326839E+1,
550.00,9.28985214E+0,1.39858809E+1,
551.00,1.08900566E+1,1.58084812E+1,
552.00,3.16190624E+0,1.57828856E+1,
553.00,3.18741584E+0,2.23819160E+1,
554.00,6.42988396E+0,1.61021671E+1,
555.00,8.11839962E+0,9.75030231E+0,
556.00,1.14197683E+1,1.63324432E+1,
557.00,1.65979786E+1,9.90377426E+0,
558.00,8.31397820E+0,2.33989677E+1,
559.00,1.85510712E+1,1.01353550E+1,
560.00,1.19272165E+1,2.22023811E+1,
561.00,1.19394531E+1,8.59659195E+0,
562.00,1.21661787E+1,1.21919174E+1,
563.00,8.76747227E+0,1.05528526E+1,
564.00,8.83115005E+0,1.77447593E+0,
565.00,3.57748795E+0,7.14992619E+0,
566.00,1.81161861E+1,9.03418636E+0,
567.00,1.27588530E+1,9.11704063E+0,
568.00,9.18122005E+0,1.28266230E+1,
569.00,1.11664848E+1,7.47166061E+0,
570.00,1.69039631E+1,1.50416622E+1,
571.00,9.44980717E+0,2.10190907E+1,
572.00,3.83232045E+0,7.67945671E+0,
573.00,-1.93331623E+0,3.86984992E+0,
574.00,5.85551977E+0,1.17863846E+1,
575.00,1.98137975E+0,1.78373222E+1,
576.00,2.00241280E+0,1.19949188E+1,
577.00,4.01295185E+0,8.13036728E+0,
578.00,6.08970070E+0,1.42912760E+1,
579.00,2.05530524E+0,8.25390434E+0,
580.00,6.22701788E+0,6.26589870E+0,
581.00,8.38655853E+0,1.27052517E+1,
582.00,4.24032593E+0,8.52427197E+0,
583.00,6.45117569E+0,1.07819767E+1,
584.00,1.51425142E+1,1.09270363E+1,
585.00,8.76594734E+0,1.10059366E+1,
586.00,2.20329595E+0,2.22697759E+0,
587.00,4.46372938E+0,1.79947605E+1,
588.00,0.00000000E+0,1.35043488E+1,
589.00,2.27620244E+0,9.10214329E+0,
590.00,2.30825734E+0,1.38582315E+1,
591.00,4.67362118E+0,9.36912441E+0,
592.00,2.36429644E+0,0.00000000E+0,
593.00,9.49800968E+0,2.39458394E+0,
594.00,2.41738200E+0,1.69310017E+1,
595.00,7.29936886E+0,2.67279453E+1,
596.00,7.36464024E+0,9.80982208E+0,
597.00,2.47315884E+0,-4.96667910E+0,
598.00,1.49985628E+1,1.25124788E+1,
599.00,5.06134701E+0,7.63617706E+0,
600.00,0.00000000E+0,5.16596985E+0,
601.00,7.78004837E+0,5.19834900E+0,
602.00,2.63183522E+0,7.86745739E+0,
603.00,7.92507935E+0,5.29805088E+0,
604.00,-5.34847927E+0,5.36842680E+0,
605.00,5.45347548E+0,1.63024254E+1,
606.00,0.00000000E+0,2.75867653E+0,
607.00,0.00000000E+0,5.56790543E+0,
608.00,-2.81749892E+0,2.54877777E+1,
609.00,5.68399620E+0,-2.84920025E+0,
610.00,-5.75861216E+0,-2.88573313E+0,
611.00,-2.92446327E+0,8.79519463E+0,
612.00,-2.95854282E+0,0.00000000E+0,
613.00,-2.99855709E+0,2.99219656E+0,
614.00,3.02946210E+0,0.00000000E+0,
615.00,-3.08098626E+0,6.14768314E+0,
616.00,3.13038039E+0,-3.11339569E+0,
617.00,3.16508102E+0,0.00000000E+0,
618.00,0.00000000E+0,1.59802217E+1,
619.00,6.46601629E+0,3.24826264E+0,
620.00,-3.29912806E+0,9.84860611E+0,
621.00,-3.34383678E+0,9.99554348E+0,
622.00,3.38978028E+0,1.01829138E+1,
623.00,0.00000000E+0,1.37185555E+1,
624.00,0.00000000E+0,6.99665976E+0,
625.00,1.06295633E+1,-7.10995293E+0,
626.00,-3.59381175E+0,3.58846307E+0,
627.00,3.63656044E+0,-3.64486647E+0,
628.00,1.11372223E+1,-3.70253372E+0,
629.00,0.00000000E+0,7.49518633E+0,
630.00,-3.81374979E+0,-3.79987812E+0,
631.00,7.73752975E+0,3.85587788E+0,
632.00,3.91381526E+0,3.91783047E+0,
633.00,-4.00686646E+0,1.99466286E+1,
634.00,4.06696129E+0,8.13392258E+0,
635.00,-8.18693733E+0,-4.11434650E+0,
636.00,0.00000000E+0,0.00000000E+0,
637.00,0.00000000E+0,8.54009914E+0,
638.00,-4.32828474E+0,-8.70458412E+0,
639.00,0.00000000E+0,0.00000000E+0,
640.00,-4.46221972E+0,4.47044230E+0,
641.00,4.53298712E+0,9.11584663E+0,
642.00,-4.62977648E+0,0.00000000E+0,
643.00,9.43505001E+0,0.00000000E+0,
644.00,-9.51683903E+0,0.00000000E+0,
645.00,1.94148941E+1,4.82845545E+0,
646.00,4.94996309E+0,9.85867405E+0,
647.00,-1.01035938E+1,-1.00919971E+1,
