0.01cr-1%li2co3
  QY = 61.19%
Labels,EmScan22,kongbai(Multi Scans),
Type,Emission Scan,Emission Scan,
Comment,,,
Start,425.00,425.00,
Stop,850.00,850.00,
Step,1.00,1.00,
Fixed/Offset,445.00,445.00,
Xaxis,Wavelength,Wavelength,
Yaxis,Counts,Counts,
Scan Corr. by File,True,True,
Corr. by Ref. Det.,True,True,
Fixed/Offset Corr. by File,False,False,
Repeats,1,1,
Dwell Time,0.10,0.10,
Lamp,Xenon,Xenon,
Temp,29.450,28.80,
Scan Polariser,None,None,
Scan Slit,0.19999765,0.19999765,
Fixed/Offset Polariser,None,None,
Fixed/Offset Slit,2.4000206,2.4000206,
Detector,Det 1,Det 1,

548.00,1.83093548E+1,2.28339672E+1,
549.00,1.99504528E+1,1.99326839E+1,
550.00,6.18354321E+0,1.39858809E+1,
551.00,1.24606028E+1,1.58084812E+1,
552.00,9.44261837E+0,1.57828856E+1,
553.00,1.10912476E+1,2.23819160E+1,
554.00,1.12421608E+1,1.61021671E+1,
555.00,8.10219002E+0,9.75030231E+0,
556.00,1.95920391E+1,1.63324432E+1,
557.00,1.64442272E+1,9.90377426E+0,
558.00,1.48734684E+1,2.33989677E+1,
559.00,8.38382912E+0,1.01353550E+1,
560.00,1.35339212E+1,2.22023811E+1,
561.00,6.85006714E+0,8.59659195E+0,
562.00,3.44425941E+0,1.21919174E+1,
563.00,1.74246860E+0,1.05528526E+1,
564.00,8.81648731E+0,1.77447593E+0,
565.00,8.90502357E+0,7.14992619E+0,
566.00,3.59947729E+0,9.03418636E+0,
567.00,9.08266926E+0,9.11704063E+0,
568.00,1.64672756E+1,1.28266230E+1,
569.00,1.29467945E+1,7.47166061E+0,
570.00,9.36887455E+0,1.50416622E+1,
571.00,1.89649403E+0,2.10190907E+1,
572.00,5.71718216E+0,7.67945671E+0,
573.00,1.15942268E+1,3.86984992E+0,
574.00,1.93908417E+0,1.17863846E+1,
575.00,3.95135069E+0,1.78373222E+1,
576.00,5.95628023E+0,1.19949188E+1,
577.00,6.00317144E+0,8.13036728E+0,
578.00,2.03546000E+0,1.42912760E+1,
579.00,0.00000000E+0,8.25390434E+0,
580.00,8.27165222E+0,6.26589870E+0,
581.00,1.04824820E+1,1.27052517E+1,
582.00,8.47196484E+0,8.52427197E+0,
583.00,1.92952671E+1,1.07819767E+1,
584.00,2.15664697E+0,1.09270363E+1,
585.00,1.08747921E+1,1.10059366E+1,
586.00,1.10218506E+1,2.22697759E+0,
587.00,1.10942535E+1,1.79947605E+1,
588.00,6.73403883E+0,1.35043488E+1,
589.00,4.53482771E+0,9.10214329E+0,
590.00,6.91299009E+0,1.38582315E+1,
591.00,9.32181072E+0,9.36912441E+0,
592.00,2.34435153E+0,0.00000000E+0,
593.00,2.37225580E+0,2.39458394E+0,
594.00,0.00000000E+0,1.69310017E+1,
595.00,2.42222762E+0,2.67279453E+1,
596.00,4.87331676E+0,9.80982208E+0,
597.00,2.45276141E+0,-4.96667910E+0,
598.00,7.50646114E+0,1.25124788E+1,
599.00,2.53736544E+0,7.63617706E+0,
600.00,7.68577719E+0,5.16596985E+0,
601.00,7.76280355E+0,5.19834900E+0,
602.00,5.21989059E+0,7.86745739E+0,
603.00,7.96474504E+0,5.29805088E+0,
604.00,-2.66446924E+0,5.36842680E+0,
605.00,8.07952785E+0,1.63024254E+1,
606.00,5.49850082E+0,2.75867653E+0,
607.00,2.77295303E+0,5.56790543E+0,
608.00,0.00000000E+0,2.54877777E+1,
609.00,1.99196491E+1,-2.84920025E+0,
610.00,0.00000000E+0,-2.88573313E+0,
611.00,2.92426252E+0,8.79519463E+0,
