0.01cr-100%MG-89.45
  QY = 89.45%
Labels,EmScan29,kongbai(Multi Scans),
Type,Emission Scan,Emission Scan,
Comment,,,
Start,425.00,425.00,
Stop,850.00,850.00,
Step,1.00,1.00,
Fixed/Offset,445.00,445.00,
Xaxis,Wavelength,Wavelength,
Yaxis,Counts,Counts,
Scan Corr. by File,True,True,
Corr. by Ref. Det.,True,True,
Fixed/Offset Corr. by File,False,False,
Repeats,1,1,
Dwell Time,0.10,0.10,
Lamp,Xenon,Xenon,
Temp,30.050,28.80,
Scan Polariser,None,None,
Scan Slit,0.19999765,0.19999765,
Fixed/Offset Polariser,None,None,
Fixed/Offset Slit,2.4000206,2.4000206,
Detector,Det 1,Det 1,

548.00,9.15090084E+0,2.28339672E+1,
549.00,1.22947845E+1,1.99326839E+1,
550.00,1.23565722E+1,1.39858809E+1,
551.00,2.02623253E+1,1.58084812E+1,
552.00,6.29280424E+0,1.57828856E+1,
553.00,7.94610071E+0,2.23819160E+1,
554.00,8.03688145E+0,1.61021671E+1,
555.00,1.29567833E+1,9.75030231E+0,
556.00,2.28397598E+1,1.63324432E+1,
557.00,9.92376137E+0,9.90377426E+0,
558.00,5.02465630E+0,2.33989677E+1,
559.00,1.18485394E+1,1.01353550E+1,
560.00,1.69760971E+1,2.22023811E+1,
561.00,6.85200834E+0,8.59659195E+0,
562.00,1.03667707E+1,1.21919174E+1,
563.00,8.73251915E+0,1.05528526E+1,
564.00,8.81976032E+0,1.77447593E+0,
565.00,1.78984985E+1,7.14992619E+0,
566.00,9.03312302E+0,9.03418636E+0,
567.00,3.63814855E+0,9.11704063E+0,
568.00,7.35058022E+0,1.28266230E+1,
569.00,3.73675013E+0,7.47166061E+0,
570.00,1.87357330E+1,1.50416622E+1,
571.00,1.70706196E+1,2.10190907E+1,
572.00,1.52957268E+1,7.67945671E+0,
573.00,5.81017828E+0,3.86984992E+0,
574.00,9.80818844E+0,1.17863846E+1,
575.00,3.94875979E+0,1.78373222E+1,
576.00,7.96217871E+0,1.19949188E+1,
577.00,1.40754976E+1,8.13036728E+0,
578.00,1.22707348E+1,1.42912760E+1,
579.00,1.23324356E+1,8.25390434E+0,
580.00,6.21402311E+0,6.26589870E+0,
581.00,1.47155590E+1,1.27052517E+1,
582.00,2.13982677E+0,8.52427197E+0,
583.00,4.31622696E+0,1.07819767E+1,
