0.01cr-100%MG-59.91%
  QY = 59.91%
Labels,EmScan28,kongbai(Multi Scans),
Type,Emission Scan,Emission Scan,
Comment,,,
Start,425.00,425.00,
Stop,850.00,850.00,
Step,1.00,1.00,
Fixed/Offset,445.00,445.00,
Xaxis,Wavelength,Wavelength,
Yaxis,Counts,Counts,
Scan Corr. by File,True,True,
Corr. by Ref. Det.,True,True,
Fixed/Offset Corr. by File,False,False,
Repeats,1,1,
Dwell Time,0.10,0.10,
Lamp,Xenon,Xenon,
Temp,29.950,28.80,
Scan Polariser,None,None,
Scan Slit,0.19999765,0.19999765,
Fixed/Offset Polariser,None,None,
Fixed/Offset Slit,2.4000206,2.4000206,
Detector,Det 1,Det 1,

425.00,0.00000000E+0,-8.31457138E-1,
426.00,-8.28059077E-1,-8.30165863E-1,
427.00,1.65356493E+0,8.26750040E-1,
428.00,8.25543165E-1,2.47580433E+0,
429.00,-1.65572834E+0,0.00000000E+0,
430.00,1.64610350E+0,-8.27618062E-1,
431.00,3.29264283E+0,1.65370905E+0,
432.00,-8.27968776E-1,8.29793990E-1,
433.00,0.00000000E+0,3.32079458E+0,
434.00,2.48140621E+0,0.00000000E+0,
435.00,8.25690866E-1,-8.25352073E-1,
436.00,-8.27816606E-1,4.97196388E+0,
437.00,0.00000000E+0,2.48296595E+0,
438.00,3.32426500E+0,1.25468054E+1,
439.00,2.35850410E+1,3.52820091E+1,
440.00,5.56193848E+1,8.40732269E+1,
441.00,1.29850754E+2,1.82647171E+2,
442.00,2.24978043E+2,3.55461853E+2,
443.00,8.34871216E+2,1.19094666E+3,
444.00,2.67548340E+4,3.79391914E+4,
445.00,6.36924219E+4,8.93943750E+4,
446.00,6.90178906E+4,9.57432813E+4,
447.00,3.35802461E+4,4.57212969E+4,
448.00,2.95476367E+3,3.68334790E+3,
449.00,2.88001801E+2,3.70568909E+2,
450.00,1.62091690E+2,2.45358688E+2,
451.00,1.06741745E+2,1.39446243E+2,
452.00,6.84555359E+1,1.11923355E+2,
453.00,4.56849785E+1,6.39994392E+1,
454.00,1.88169422E+1,2.17570839E+1,
455.00,8.80646610E+0,1.37466850E+1,
456.00,6.79611540E+0,1.75373306E+1,
457.00,6.77204323E+0,3.86643577E+0,
458.00,5.74183226E+0,1.24190493E+1,
459.00,6.61803150E+0,1.04492083E+1,
460.00,9.23638153E+0,1.49015913E+1,
461.00,1.56088934E+1,1.38036728E+1,
462.00,1.19000587E+1,1.72846069E+1,
463.00,5.41696453E+0,1.17218275E+1,
464.00,6.24341869E+0,1.69580097E+1,
465.00,8.01643467E+0,1.68682537E+1,
466.00,1.40741186E+1,1.32616491E+1,
467.00,1.31471519E+1,1.58464098E+1,
468.00,1.04733429E+1,1.49577456E+1,
469.00,1.30934505E+1,1.13648014E+1,
470.00,1.13008442E+1,2.08966045E+1,
471.00,1.29929237E+1,1.74467831E+1,
472.00,1.38836012E+1,2.00452442E+1,
473.00,1.39432297E+1,2.17285519E+1,
474.00,1.13234072E+1,1.48587132E+1,
475.00,1.57107210E+1,2.18823071E+1,
476.00,1.13907614E+1,1.31784067E+1,
477.00,1.66892166E+1,1.94840698E+1,
478.00,1.49555941E+1,1.49998331E+1,
479.00,9.69958115E+0,2.29587460E+1,
480.00,8.83149242E+0,1.77579460E+1,
481.00,2.32041054E+1,1.34222841E+1,
482.00,8.08256626E+0,2.15792866E+1,
483.00,1.35759115E+1,2.08002586E+1,
484.00,2.36131363E+1,2.91526146E+1,
485.00,7.31036377E+0,2.10313129E+1,
486.00,2.12105713E+1,2.66774673E+1,
487.00,1.85803089E+1,2.03998623E+1,
488.00,1.49668398E+1,1.97357616E+1,
489.00,1.22131863E+1,3.29708710E+1,
490.00,1.99524155E+1,1.89963436E+1,
491.00,1.62392673E+1,3.16423969E+1,
492.00,1.06001806E+1,2.99650688E+1,
493.00,1.55222082E+1,2.43088665E+1,
494.00,1.36820822E+1,2.15372868E+1,
495.00,2.35379486E+1,2.47082405E+1,
496.00,2.46957512E+1,3.37775459E+1,
497.00,1.19823074E+1,2.41118412E+1,
498.00,2.11009293E+1,2.32528057E+1,
499.00,1.82317982E+1,2.52902966E+1,
500.00,2.74944077E+1,2.66895542E+1,
501.00,1.54677153E+1,2.68488655E+1,
502.00,1.86192379E+1,2.58494568E+1,
503.00,1.36081619E+1,2.81455364E+1,
504.00,2.30804844E+1,1.79660206E+1,
505.00,8.47702885E+0,2.12187176E+1,
506.00,2.34657135E+1,2.56337566E+1,
507.00,1.08089495E+1,2.90592232E+1,
508.00,2.71545143E+1,2.28632698E+1,
509.00,2.83630733E+1,1.53819418E+1,
510.00,3.07285919E+1,2.10492916E+1,
511.00,1.77566395E+1,2.00620346E+1,
512.00,1.00799770E+1,2.69474010E+1,
513.00,2.13905373E+1,3.29764900E+1,
514.00,1.69970131E+1,3.06947899E+1,
515.00,8.06480980E+0,2.29966640E+1,
516.00,1.15963831E+1,2.21642666E+1,
517.00,1.74351940E+1,1.75923748E+1,
518.00,2.11017151E+1,1.17697897E+1,
519.00,1.89132957E+1,2.85646992E+1,
520.00,1.55124331E+1,2.86624107E+1,
521.00,2.52686672E+1,2.05907784E+1,
522.00,1.45435209E+1,2.56785145E+1,
523.00,1.46978264E+1,1.60582523E+1,
524.00,9.86143303E+0,1.73578796E+1,
525.00,2.24285793E+1,1.87188873E+1,
526.00,1.75709820E+1,1.88559189E+1,
527.00,2.02752037E+1,2.90966034E+1,
528.00,1.14662189E+1,2.29447594E+1,
529.00,1.67098923E+1,1.93973789E+1,
530.00,1.17116442E+1,1.43166180E+1,
531.00,2.36094189E+1,1.71121216E+1,
532.00,1.05900087E+1,1.72239685E+1,
533.00,6.65900087E+0,1.73417416E+1,
534.00,2.69106522E+1,2.28606129E+1,
535.00,1.61977997E+1,2.03722973E+1,
536.00,2.44984074E+1,3.01637077E+1,
537.00,1.51679249E+1,2.35225773E+1,
538.00,1.53537207E+1,2.64592628E+1,
539.00,1.26140232E+1,2.37804642E+1,
540.00,8.48485184E+0,1.56338043E+1,
541.00,1.14268980E+1,1.28760509E+1,
542.00,1.15929270E+1,1.72913685E+1,
543.00,1.16493883E+1,2.48729725E+1,
544.00,1.61627960E+1,1.76069336E+1,
545.00,7.38632345E+0,2.07388401E+1,
546.00,8.94995117E+0,2.39708290E+1,
547.00,1.20053310E+1,1.50998592E+1,
548.00,1.06181698E+1,2.28339672E+1,
549.00,9.16150188E+0,1.99326839E+1,
550.00,9.28594017E+0,1.39858809E+1,
551.00,1.24875441E+1,1.58084812E+1,
