0.01cr-3%NH4F-55.11%
  QY = 55.11%
Labels,EmScan27,kongbai(Multi Scans),
Type,Emission Scan,Emission Scan,
Comment,,,
Start,425.00,425.00,
Stop,850.00,850.00,
Step,1.00,1.00,
Fixed/Offset,445.00,445.00,
Xaxis,Wavelength,Wavelength,
Yaxis,Counts,Counts,
Scan Corr. by File,True,True,
Corr. by Ref. Det.,True,True,
Fixed/Offset Corr. by File,False,False,
Repeats,1,1,
Dwell Time,0.10,0.10,
Lamp,Xenon,Xenon,
Temp,29.90,28.80,
Scan Polariser,None,None,
Scan Slit,0.19999765,0.19999765,
Fixed/Offset Polariser,None,None,
Fixed/Offset Slit,2.4000206,2.4000206,
Detector,Det 1,Det 1,

547.00,1.51040077E+1,1.50998592E+1,
548.00,1.06345844E+1,2.28339672E+1,
549.00,1.07532949E+1,1.99326839E+1,
550.00,1.23759232E+1,1.39858809E+1,
551.00,1.55807714E+1,1.58084812E+1,
552.00,1.10194035E+1,1.57828856E+1,
553.00,1.58726466E+0,2.23819160E+1,
554.00,1.28581295E+1,1.61021671E+1,
555.00,1.45205584E+1,9.75030231E+0,
556.00,9.80310345E+0,1.63324432E+1,
557.00,6.57314539E+0,9.90377426E+0,
558.00,1.33458471E+1,2.33989677E+1,
559.00,1.01082659E+1,1.01353550E+1,
560.00,5.10270405E+0,2.22023811E+1,
561.00,1.88257351E+1,8.59659195E+0,
562.00,8.62533474E+0,1.21919174E+1,
563.00,5.26125765E+0,1.05528526E+1,
564.00,8.83564472E+0,1.77447593E+0,
565.00,1.78222313E+1,7.14992619E+0,
566.00,1.08108988E+1,9.03418636E+0,
567.00,3.63452244E+0,9.11704063E+0,
568.00,1.83678265E+1,1.28266230E+1,
569.00,5.57367420E+0,7.47166061E+0,
570.00,1.13072004E+1,1.50416622E+1,
571.00,3.78066063E+0,2.10190907E+1,
572.00,7.66546679E+0,7.67945671E+0,
573.00,0.00000000E+0,3.86984992E+0,
574.00,1.94810772E+0,1.17863846E+1,
575.00,7.91223145E+0,1.78373222E+1,
576.00,3.99341130E+0,1.19949188E+1,
577.00,1.61982365E+1,8.13036728E+0,
578.00,8.17325974E+0,1.42912760E+1,
579.00,8.25163651E+0,8.25390434E+0,
580.00,0.00000000E+0,6.26589870E+0,
581.00,6.31984568E+0,1.27052517E+1,
582.00,6.37811565E+0,8.52427197E+0,
583.00,1.07519598E+1,1.07819767E+1,
584.00,6.51643467E+0,1.09270363E+1,
585.00,6.55053234E+0,1.10059366E+1,
586.00,1.11089497E+1,2.22697759E+0,
587.00,8.97157097E+0,1.79947605E+1,
588.00,0.00000000E+0,1.35043488E+1,
589.00,9.13898277E+0,9.10214329E+0,
590.00,2.31667614E+0,1.38582315E+1,
591.00,4.64680815E+0,9.36912441E+0,
592.00,7.06962204E+0,0.00000000E+0,
593.00,9.54123116E+0,2.39458394E+0,
594.00,-2.41384411E+0,1.69310017E+1,
595.00,2.43219352E+0,2.67279453E+1,
596.00,0.00000000E+0,9.80982208E+0,
597.00,7.44381618E+0,-4.96667910E+0,
598.00,0.00000000E+0,1.25124788E+1,
599.00,7.64511585E+0,7.63617706E+0,
600.00,2.57656002E+0,5.16596985E+0,
601.00,5.20049143E+0,5.19834900E+0,
602.00,7.90388823E+0,7.86745739E+0,
603.00,-2.65751839E+0,5.29805088E+0,
604.00,5.37684774E+0,5.36842680E+0,
605.00,0.00000000E+0,1.63024254E+1,
606.00,1.09769058E+1,2.75867653E+0,
607.00,0.00000000E+0,5.56790543E+0,
608.00,2.83924174E+0,2.54877777E+1,
609.00,0.00000000E+0,-2.84920025E+0,
610.00,0.00000000E+0,-2.88573313E+0,
611.00,2.92200065E+0,8.79519463E+0,
612.00,2.97055268E+0,0.00000000E+0,
613.00,5.99347448E+0,2.99219656E+0,
614.00,3.03224707E+0,0.00000000E+0,
615.00,3.07920432E+0,6.14768314E+0,
616.00,3.10920095E+0,-3.11339569E+0,
617.00,0.00000000E+0,0.00000000E+0,
618.00,0.00000000E+0,1.59802217E+1,
619.00,0.00000000E+0,3.24826264E+0,
620.00,6.58321238E+0,9.84860611E+0,
621.00,0.00000000E+0,9.99554348E+0,
622.00,6.77916193E+0,1.01829138E+1,
623.00,3.43699670E+0,1.37185555E+1,
624.00,6.96325827E+0,6.99665976E+0,
625.00,3.54402208E+0,-7.10995293E+0,
626.00,0.00000000E+0,3.58846307E+0,
627.00,7.26587248E+0,-3.64486647E+0,
628.00,0.00000000E+0,-3.70253372E+0,
629.00,0.00000000E+0,7.49518633E+0,
630.00,0.00000000E+0,-3.79987812E+0,
631.00,0.00000000E+0,3.85587788E+0,
632.00,0.00000000E+0,3.91783047E+0,
633.00,-3.98390222E+0,1.99466286E+1,
634.00,4.04877472E+0,8.13392258E+0,
635.00,8.22941875E+0,-4.11434650E+0,
636.00,4.20003700E+0,0.00000000E+0,
637.00,-4.23984098E+0,8.54009914E+0,
638.00,8.61219120E+0,-8.70458412E+0,
639.00,4.36688900E+0,0.00000000E+0,
640.00,4.47979498E+0,4.47044230E+0,
641.00,4.52785587E+0,9.11584663E+0,
642.00,4.62324333E+0,0.00000000E+0,
643.00,0.00000000E+0,0.00000000E+0,
644.00,1.43265514E+1,0.00000000E+0,
645.00,9.75017262E+0,4.82845545E+0,
646.00,9.92443562E+0,9.85867405E+0,
647.00,0.00000000E+0,-1.00919971E+1,
648.00,0.00000000E+0,-5.15898466E+0,
649.00,0.00000000E+0,-5.25967598E+0,
650.00,5.30773258E+0,-5.33226824E+0,
651.00,0.00000000E+0,-5.40238619E+0,
652.00,0.00000000E+0,2.76311512E+1,
653.00,1.12491379E+1,1.12727489E+1,
654.00,0.00000000E+0,5.73876715E+0,
655.00,5.83607483E+0,5.85592699E+0,
656.00,0.00000000E+0,-5.97172499E+0,
657.00,6.09802580E+0,-6.08657694E+0,
658.00,6.20287895E+0,6.22919703E+0,
659.00,0.00000000E+0,-1.27009640E+1,
660.00,0.00000000E+0,-1.30395861E+1,
661.00,2.65448418E+1,-6.69352627E+0,
662.00,2.04640675E+1,-6.86088943E+0,
663.00,1.40478897E+1,-7.02997398E+0,
664.00,0.00000000E+0,7.28480005E+0,
665.00,0.00000000E+0,-1.51100950E+1,
666.00,-7.81052399E+0,0.00000000E+0,
667.00,7.95039225E+0,-1.59280510E+1,
668.00,-8.08159447E+0,8.10572720E+0,
669.00,3.26068001E+1,0.00000000E+0,
670.00,8.22201252E+0,0.00000000E+0,
671.00,-8.20881081E+0,-8.20519638E+0,
672.00,1.63584175E+1,-8.19811440E+0,
673.00,1.64793053E+1,-1.65436840E+1,
674.00,1.65832787E+1,-1.65233040E+1,
675.00,1.65749130E+1,8.29272461E+0,
676.00,5.00518341E+1,-1.67053947E+1,
677.00,3.37047234E+1,8.38072681E+0,
678.00,8.36298084E+0,-8.44337368E+0,
679.00,8.41485882E+0,0.00000000E+0,
680.00,3.45385666E+1,-1.72530422E+1,
681.00,2.60270214E+1,-1.73574715E+1,
682.00,2.59868050E+1,-8.75555897E+0,
683.00,3.49661636E+1,-8.83845234E+0,
684.00,3.52000656E+1,0.00000000E+0,
685.00,5.34019928E+1,0.00000000E+0,
686.00,8.01411209E+1,8.95785522E+0,
687.00,2.69438534E+1,-1.81502018E+1,
688.00,3.63020363E+1,-9.12809277E+0,
689.00,2.75323105E+1,9.19760323E+0,
690.00,9.19562912E+1,-1.86196117E+1,
691.00,9.31959763E+1,0.00000000E+0,
692.00,1.03510208E+2,0.00000000E+0,
693.00,3.83208084E+1,-1.91848621E+1,
694.00,5.80382919E+1,-1.93893757E+1,
695.00,5.84472427E+1,-1.95850410E+1,
696.00,1.08480377E+2,-1.98847580E+1,
697.00,4.02109833E+1,-2.01386299E+1,
698.00,6.10212822E+1,-2.03424187E+1,
699.00,8.26041336E+1,-1.03388882E+1,
700.00,1.25357971E+2,-2.09333172E+1,
701.00,1.26900085E+2,-1.06330347E+1,
702.00,8.58391495E+1,-1.08143034E+1,
703.00,6.57721329E+1,-1.08983507E+1,
704.00,5.54896736E+1,0.00000000E+0,
705.00,1.45976913E+2,-2.25355434E+1,
706.00,1.48106949E+2,-2.28189163E+1,
707.00,1.62040497E+2,-2.31958294E+1,
708.00,2.47725494E+2,-2.35942917E+1,
709.00,1.55958298E+2,-1.19748039E+1,
710.00,1.45883133E+2,-1.21861477E+1,
711.00,1.97016983E+2,-2.48080044E+1,
712.00,1.37689682E+2,-1.25587416E+1,
713.00,1.79011063E+2,-1.27989140E+1,
714.00,1.55285309E+2,0.00000000E+0,
715.00,1.97676788E+2,-2.63780098E+1,
716.00,2.14136703E+2,-2.68927631E+1,
717.00,2.04627441E+2,-2.74124241E+1,
718.00,1.39848663E+2,1.39573441E+1,
719.00,1.42109818E+2,-2.84609756E+1,
720.00,1.87033981E+2,-1.44787092E+1,
721.00,1.91118225E+2,-2.93629246E+1,
