0.01CR-58.97%
  QY = 58.97%
Labels,EmScan32,kongbai(Multi Scans),
Type,Emission Scan,Emission Scan,
Comment,,,
Start,425.00,425.00,
Stop,850.00,850.00,
Step,1.00,1.00,
Fixed/Offset,445.00,445.00,
Xaxis,Wavelength,Wavelength,
Yaxis,Counts,Counts,
Scan Corr. by File,True,True,
Corr. by Ref. Det.,True,True,
Fixed/Offset Corr. by File,False,False,
Repeats,1,1,
Dwell Time,0.10,0.10,
Lamp,Xenon,Xenon,
Temp,30.150,28.80,
Scan Polariser,None,None,
Scan Slit,0.19999765,0.19999765,
Fixed/Offset Polariser,None,None,
Fixed/Offset Slit,2.4000206,2.4000206,
Detector,Det 1,Det 1,

548.00,1.66842289E+1,2.28339672E+1,
549.00,4.60057020E+0,1.99326839E+1,
550.00,1.55293331E+1,1.39858809E+1,
551.00,7.80418062E+0,1.58084812E+1,
552.00,7.91331053E+0,1.57828856E+1,
553.00,1.58495846E+1,2.23819160E+1,
554.00,9.62031174E+0,1.61021671E+1,
555.00,1.45800886E+1,9.75030231E+0,
556.00,1.47382174E+1,1.63324432E+1,
557.00,1.15803308E+1,9.90377426E+0,
558.00,3.34503865E+0,2.33989677E+1,
559.00,1.17639542E+1,1.01353550E+1,
560.00,1.36376610E+1,2.22023811E+1,
561.00,5.15704489E+0,8.59659195E+0,
562.00,1.39010649E+1,1.21919174E+1,
563.00,8.74953270E+0,1.05528526E+1,
564.00,7.03902721E+0,1.77447593E+0,
565.00,8.91861153E+0,7.14992619E+0,
566.00,5.40396929E+0,9.03418636E+0,
567.00,1.64713898E+1,9.11704063E+0,
568.00,7.31878901E+0,1.28266230E+1,
569.00,3.71283770E+0,7.47166061E+0,
570.00,7.52658939E+0,1.50416622E+1,
571.00,1.89803672E+0,2.10190907E+1,
572.00,3.83220768E+0,7.67945671E+0,
573.00,3.88834953E+0,3.86984992E+0,
574.00,5.87487173E+0,1.17863846E+1,
575.00,1.97217965E+0,1.78373222E+1,
