Labels,F4-1500-1550-EX,
Type,Excitation Scan,
Comment,,
Start,250.00,
Stop,800.00,
Step,1.00,
Fixed/Offset,1550.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,True,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,4.0000019,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.9999912,
Detector,Det2,

460.00,2.82874268E+3,
461.00,2.81139209E+3,
462.00,2.66080225E+3,
463.00,2.66618359E+3,
464.00,2.67825195E+3,
465.00,2.48807788E+3,
466.00,2.62113794E+3,
467.00,2.64316895E+3,
468.00,2.57186548E+3,
469.00,2.63969287E+3,
470.00,2.66129492E+3,
471.00,2.64576636E+3,
472.00,2.65832178E+3,
473.00,2.59063184E+3,
474.00,2.64083740E+3,
475.00,2.71110205E+3,
476.00,2.68040454E+3,
477.00,2.62845581E+3,
478.00,2.57484155E+3,
479.00,2.57847632E+3,
480.00,2.47683887E+3,
481.00,2.48279590E+3,
482.00,2.42292651E+3,
483.00,2.33231958E+3,
484.00,2.33012671E+3,
485.00,2.22801733E+3,
486.00,2.14602710E+3,
487.00,2.04212305E+3,
488.00,2.04174683E+3,
489.00,1.83837109E+3,
490.00,1.76748901E+3,
491.00,1.66167029E+3,
492.00,1.66651123E+3,
493.00,1.55838245E+3,
494.00,1.41550452E+3,
495.00,1.36497058E+3,
496.00,1.28163416E+3,
497.00,1.19731189E+3,
498.00,1.10385046E+3,
499.00,1.04847461E+3,
500.00,9.54965698E+2,
501.00,8.37608093E+2,
502.00,8.20495056E+2,
503.00,7.44832092E+2,
504.00,6.80620239E+2,
505.00,6.49071716E+2,
506.00,5.81099487E+2,
507.00,4.56299469E+2,
508.00,4.89207245E+2,
509.00,4.58756561E+2,
510.00,3.78818451E+2,
511.00,3.60235138E+2,
512.00,2.85686523E+2,
513.00,3.38950836E+2,
514.00,2.34170898E+2,
515.00,2.85514801E+2,
516.00,1.81030945E+2,
517.00,1.57610229E+2,
518.00,1.82070145E+2,
519.00,2.14007034E+2,
520.00,1.00724289E+2,
521.00,1.34275711E+2,
522.00,9.22770844E+1,
523.00,1.18574043E+2,
524.00,1.26842484E+2,
525.00,1.05792999E+2,
526.00,1.29275848E+2,
527.00,1.50751511E+2,
528.00,1.64069016E+2,
529.00,6.66711044E+1,
530.00,1.75777603E+2,
531.00,9.98924866E+1,
532.00,6.40862427E+1,
533.00,1.49122574E+2,
534.00,6.36970329E+1,
535.00,1.37272736E+2,
536.00,1.22716423E+2,
537.00,5.49079666E+1,
538.00,8.99926834E+1,
539.00,1.03881798E+2,
540.00,9.52104111E+1,
541.00,1.30172485E+2,
542.00,1.23550354E+2,
543.00,1.58914856E+2,
544.00,1.10295830E+2,
545.00,1.81838058E+2,
546.00,5.86840630E+1,
547.00,-1.31248550E+1,
548.00,1.03010864E+2,
549.00,7.63604584E+1,
550.00,7.08158112E+1,
551.00,9.67521744E+1,
552.00,2.94355373E+1,
553.00,4.58065605E+1,
554.00,5.54092979E+1,
555.00,1.27591766E+2,
556.00,8.36584244E+1,
557.00,1.60724747E+2,
558.00,1.23828003E+2,
559.00,1.67567245E+2,
560.00,1.15449333E+2,
561.00,1.23089691E+2,
562.00,7.34958878E+1,
563.00,1.90502148E+1,
564.00,6.74438705E+1,
565.00,1.42168884E+2,
566.00,1.35537308E+2,
567.00,6.55949478E+1,
568.00,6.24191628E+1,
569.00,2.74961365E+2,
570.00,6.18326797E+1,
571.00,1.14620567E+2,
572.00,2.39989044E+2,
573.00,2.18115662E+2,
574.00,8.98004150E+1,
575.00,9.09900818E+1,
576.00,8.54256058E+1,
577.00,1.95268036E+2,
578.00,1.23007217E+2,
579.00,2.11250931E+2,
580.00,1.91035858E+2,
581.00,1.14127220E+2,
582.00,1.46586716E+2,
583.00,2.99274445E+2,
584.00,2.12967880E+2,
585.00,2.86096069E+2,
586.00,3.26530151E+2,
587.00,2.74018494E+2,
588.00,4.09086029E+2,
589.00,2.53023361E+2,
590.00,4.47431122E+2,
591.00,4.83805237E+2,
592.00,4.59952209E+2,
593.00,4.04919250E+2,
594.00,5.19029602E+2,
595.00,5.36495605E+2,
596.00,5.32060181E+2,
597.00,5.29985352E+2,
598.00,5.67761047E+2,
599.00,5.56343384E+2,
600.00,5.96296631E+2,
601.00,6.53972412E+2,
602.00,7.23380066E+2,
603.00,7.81977234E+2,
604.00,8.49445190E+2,
605.00,8.17369934E+2,
606.00,8.38374512E+2,
607.00,7.69203125E+2,
608.00,1.00974829E+3,
609.00,9.85230103E+2,
610.00,1.03776416E+3,
611.00,9.21147644E+2,
612.00,1.25798584E+3,
613.00,1.24219482E+3,
