Labels,F2-1500-1490-EX,
Type,Excitation Scan,
Comment,,
Start,250.00,
Stop,850.00,
Step,1.00,
Fixed/Offset,1490.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,True,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,4.0000019,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.9999912,
Detector,Det2,

250.00,1.04130195E+4,
251.00,1.00764463E+4,
252.00,1.10310645E+4,
253.00,8.65413574E+3,
254.00,9.86485156E+3,
255.00,8.04823047E+3,
256.00,1.23851484E+4,
257.00,1.20433711E+4,
258.00,1.19792207E+4,
259.00,9.04268457E+3,
260.00,1.03026553E+4,
261.00,1.16878018E+4,
262.00,1.05949277E+4,
263.00,1.32788574E+4,
264.00,1.08313955E+4,
265.00,1.21816201E+4,
266.00,9.01873340E+3,
267.00,1.15711338E+4,
268.00,9.34394141E+3,
269.00,8.99457910E+3,
270.00,1.12809736E+4,
271.00,9.33350684E+3,
272.00,1.01393438E+4,
273.00,8.84229102E+3,
274.00,1.00382871E+4,
275.00,9.52966211E+3,
276.00,8.67040723E+3,
277.00,9.68067188E+3,
278.00,8.42709668E+3,
279.00,7.76955371E+3,
280.00,7.75730518E+3,
281.00,7.70584424E+3,
282.00,7.88120996E+3,
283.00,7.62403369E+3,
284.00,7.91762158E+3,
285.00,7.40726514E+3,
286.00,7.00233154E+3,
287.00,6.46974072E+3,
288.00,7.12752539E+3,
289.00,6.89220166E+3,
290.00,6.43349463E+3,
291.00,6.32118994E+3,
292.00,6.61844092E+3,
293.00,6.54300000E+3,
294.00,6.51152539E+3,
295.00,6.04978076E+3,
296.00,6.35660205E+3,
297.00,5.75743506E+3,
298.00,5.49846826E+3,
299.00,5.74651416E+3,
300.00,5.79640723E+3,
301.00,5.70855908E+3,
302.00,5.53228271E+3,
303.00,5.82817383E+3,
304.00,5.47361035E+3,
305.00,5.10728467E+3,
306.00,5.20847998E+3,
307.00,5.43807275E+3,
308.00,5.16101660E+3,
309.00,5.17220020E+3,
310.00,4.82163135E+3,
311.00,4.90814355E+3,
312.00,5.07534717E+3,
313.00,4.83620410E+3,
314.00,4.66525879E+3,
315.00,4.45719775E+3,
316.00,4.42361328E+3,
317.00,4.64525635E+3,
318.00,4.46997266E+3,
319.00,4.14476318E+3,
320.00,4.25988916E+3,
321.00,4.05494019E+3,
322.00,4.04596802E+3,
323.00,4.07604712E+3,
324.00,4.06040918E+3,
325.00,3.82281641E+3,
326.00,3.74646729E+3,
327.00,3.63770117E+3,
328.00,3.66747314E+3,
329.00,3.59459082E+3,
330.00,3.53570239E+3,
331.00,3.46979907E+3,
332.00,3.45076270E+3,
333.00,3.31005005E+3,
334.00,3.25762598E+3,
335.00,3.13023804E+3,
336.00,3.24413623E+3,
337.00,2.96392603E+3,
338.00,2.93004126E+3,
339.00,2.80525122E+3,
340.00,2.77984424E+3,
341.00,2.74366455E+3,
342.00,2.70382129E+3,
343.00,2.48861743E+3,
344.00,2.48968286E+3,
345.00,2.40203735E+3,
346.00,2.41882007E+3,
347.00,2.40551416E+3,
348.00,2.34416382E+3,
349.00,2.27264844E+3,
350.00,2.18816846E+3,
351.00,2.10704468E+3,
352.00,2.14919458E+3,
353.00,2.11607275E+3,
354.00,2.01578076E+3,
355.00,2.05859814E+3,
356.00,2.02109558E+3,
357.00,2.03075781E+3,
358.00,1.99808398E+3,
359.00,1.99771460E+3,
360.00,1.97401843E+3,
361.00,2.08303223E+3,
362.00,2.13093066E+3,
363.00,2.09360571E+3,
364.00,2.20885083E+3,
365.00,2.24632861E+3,
366.00,2.26507129E+3,
367.00,2.33366626E+3,
368.00,2.38725854E+3,
369.00,2.51243921E+3,
370.00,2.65158813E+3,
371.00,2.68091455E+3,
372.00,2.79251440E+3,
373.00,3.08424341E+3,
374.00,3.22883765E+3,
375.00,3.44645874E+3,
376.00,3.57305664E+3,
377.00,3.72945557E+3,
378.00,3.99312109E+3,
379.00,4.28237842E+3,
380.00,4.55107910E+3,
381.00,4.90389844E+3,
382.00,5.28825195E+3,
383.00,5.58947070E+3,
384.00,6.04049219E+3,
385.00,6.53664551E+3,
386.00,6.92139453E+3,
387.00,7.23314063E+3,
388.00,7.83400342E+3,
389.00,8.43115137E+3,
390.00,8.96761621E+3,
391.00,9.36501172E+3,
392.00,9.95550781E+3,
393.00,1.04565605E+4,
394.00,1.10478105E+4,
395.00,1.15753730E+4,
396.00,1.20832656E+4,
397.00,1.25658154E+4,
398.00,1.31234014E+4,
399.00,1.34407734E+4,
400.00,1.38440488E+4,
401.00,1.40664424E+4,
402.00,1.44655840E+4,
403.00,1.48643271E+4,
404.00,1.47808809E+4,
405.00,1.52633096E+4,
406.00,1.52391396E+4,
407.00,1.53248135E+4,
408.00,1.52317266E+4,
409.00,1.53171846E+4,
410.00,1.53768428E+4,
411.00,1.52790439E+4,
412.00,1.52874531E+4,
413.00,1.52368262E+4,
414.00,1.51024385E+4,
415.00,1.49792041E+4,
416.00,1.48443760E+4,
417.00,1.48164814E+4,
418.00,1.46557246E+4,
419.00,1.42354326E+4,
420.00,1.42226357E+4,
421.00,1.39602783E+4,
422.00,1.36956338E+4,
423.00,1.33460996E+4,
424.00,1.32434893E+4,
425.00,1.26889229E+4,
426.00,1.22972773E+4,
427.00,1.17885596E+4,
428.00,1.14173467E+4,
429.00,1.09281240E+4,
430.00,1.04210273E+4,
431.00,9.79162891E+3,
432.00,9.41357031E+3,
433.00,8.96209863E+3,
434.00,8.42978418E+3,
435.00,7.87138965E+3,
436.00,7.55253955E+3,
437.00,6.91865137E+3,
438.00,6.59295947E+3,
439.00,6.13375342E+3,
440.00,5.68212744E+3,
441.00,5.39939014E+3,
442.00,4.77475537E+3,
443.00,4.47580566E+3,
444.00,4.14572656E+3,
445.00,3.83398364E+3,
446.00,3.58018896E+3,
447.00,3.27326685E+3,
448.00,2.99354834E+3,
449.00,2.81162646E+3,
450.00,2.61565771E+3,
451.00,2.41941602E+3,
452.00,2.27678979E+3,
453.00,2.12732886E+3,
