Labels,F3-1500-810-EX,
Type,Excitation Scan,
Comment,,
Start,250.00,
Stop,780.00,
Step,1.00,
Fixed/Offset,810.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,True,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,4.0000019,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.9999912,
Detector,Det2,

459.00,7.11125391E+3,
460.00,7.07173291E+3,
461.00,7.08368457E+3,
462.00,6.83219482E+3,
463.00,6.90759717E+3,
464.00,6.78468115E+3,
465.00,6.97861328E+3,
466.00,6.75179590E+3,
467.00,6.71140674E+3,
468.00,6.52567627E+3,
469.00,6.69691992E+3,
470.00,6.56429150E+3,
471.00,6.65800537E+3,
472.00,6.56712988E+3,
473.00,6.54254590E+3,
474.00,6.50669531E+3,
475.00,6.59076758E+3,
476.00,6.38650781E+3,
477.00,6.54871973E+3,
478.00,6.35046094E+3,
479.00,6.90406934E+3,
480.00,6.46028320E+3,
481.00,6.40222021E+3,
482.00,6.31485449E+3,
483.00,6.23120947E+3,
484.00,6.43387207E+3,
485.00,6.35328711E+3,
486.00,6.08133984E+3,
487.00,6.12094189E+3,
488.00,5.98414746E+3,
489.00,6.00113232E+3,
490.00,5.40917725E+3,
491.00,5.73686719E+3,
492.00,5.64123682E+3,
493.00,5.35800586E+3,
494.00,5.30484863E+3,
495.00,5.22527441E+3,
496.00,5.23663330E+3,
497.00,4.96497461E+3,
498.00,5.09880908E+3,
499.00,4.91579248E+3,
500.00,4.91871729E+3,
501.00,4.76493018E+3,
502.00,4.67314697E+3,
503.00,4.44684082E+3,
504.00,4.16382715E+3,
505.00,4.40034912E+3,
506.00,4.00276221E+3,
507.00,3.85771851E+3,
508.00,3.72910620E+3,
509.00,4.09150537E+3,
510.00,3.82909839E+3,
511.00,3.70532227E+3,
512.00,3.55588916E+3,
513.00,3.58269653E+3,
514.00,3.40741919E+3,
515.00,3.30068848E+3,
516.00,3.07361865E+3,
517.00,3.36314282E+3,
518.00,3.06437866E+3,
519.00,2.88651587E+3,
520.00,3.12836890E+3,
521.00,3.04199097E+3,
522.00,2.76421973E+3,
523.00,2.73278784E+3,
524.00,2.53596021E+3,
525.00,2.57079736E+3,
526.00,2.68423364E+3,
527.00,2.19711206E+3,
528.00,2.27524707E+3,
529.00,2.14585034E+3,
530.00,2.32160962E+3,
531.00,1.94594202E+3,
532.00,1.87584900E+3,
533.00,2.00381116E+3,
534.00,2.10893970E+3,
535.00,1.79150439E+3,
536.00,1.55802173E+3,
537.00,2.03990894E+3,
538.00,2.10065723E+3,
539.00,1.86339490E+3,
540.00,2.04064795E+3,
541.00,1.76178564E+3,
542.00,1.54022107E+3,
543.00,1.95185950E+3,
544.00,1.48170471E+3,
545.00,1.75592810E+3,
546.00,1.80965613E+3,
547.00,1.91522400E+3,
548.00,1.85728210E+3,
549.00,1.86810266E+3,
550.00,2.05885742E+3,
551.00,1.80743701E+3,
552.00,1.93544116E+3,
553.00,2.48525732E+3,
554.00,2.12211353E+3,
555.00,2.38729468E+3,
556.00,2.14075415E+3,
557.00,2.10008691E+3,
558.00,2.25312085E+3,
559.00,1.85398462E+3,
560.00,2.21879761E+3,
561.00,2.35203735E+3,
562.00,2.50491675E+3,
563.00,2.56561694E+3,
564.00,2.24831470E+3,
565.00,2.50714331E+3,
566.00,2.65551514E+3,
567.00,3.05332739E+3,
568.00,2.78163184E+3,
569.00,2.73055322E+3,
570.00,2.85281226E+3,
571.00,2.48794238E+3,
572.00,3.13079346E+3,
573.00,2.66730811E+3,
574.00,2.73313574E+3,
575.00,3.22287891E+3,
576.00,3.02890112E+3,
577.00,3.38175562E+3,
578.00,3.05349194E+3,
579.00,3.40140869E+3,
580.00,3.33743701E+3,
581.00,3.34550659E+3,
582.00,3.42501953E+3,
583.00,3.35808984E+3,
584.00,3.83910449E+3,
585.00,3.86192749E+3,
586.00,4.08416602E+3,
587.00,3.58822241E+3,
588.00,3.57146313E+3,
589.00,3.64503467E+3,
590.00,3.51561206E+3,
591.00,3.85548560E+3,
592.00,4.14520410E+3,
593.00,3.95896973E+3,
594.00,4.20832520E+3,
595.00,4.29431689E+3,
596.00,3.91224951E+3,
597.00,4.35587598E+3,
598.00,3.90606714E+3,
599.00,3.97245483E+3,
600.00,4.24302490E+3,
601.00,4.29028564E+3,
602.00,4.38610791E+3,
603.00,4.59228271E+3,
604.00,4.43949121E+3,
605.00,4.25388330E+3,
606.00,4.38771143E+3,
607.00,4.65567676E+3,
608.00,3.97915869E+3,
609.00,4.90616064E+3,
610.00,4.34064551E+3,
611.00,4.84388037E+3,
612.00,4.25419824E+3,
613.00,4.52300732E+3,
614.00,4.50237158E+3,
615.00,4.66717529E+3,
616.00,4.65331836E+3,
617.00,4.72232568E+3,
618.00,4.25884961E+3,
619.00,4.76668701E+3,
620.00,4.90103662E+3,
621.00,4.82654834E+3,
622.00,4.62662354E+3,
623.00,4.37901514E+3,
624.00,4.40229736E+3,
625.00,5.17655469E+3,
626.00,5.24937256E+3,
627.00,4.11132959E+3,
628.00,4.56027051E+3,
629.00,4.64763623E+3,
630.00,5.32783105E+3,
631.00,5.45588965E+3,
632.00,5.11511279E+3,
633.00,4.82137354E+3,
634.00,5.06977686E+3,
635.00,4.67975879E+3,
636.00,4.68414551E+3,
637.00,4.88571240E+3,
638.00,4.28104248E+3,
639.00,5.00823779E+3,
640.00,4.28994434E+3,
641.00,4.89162256E+3,
642.00,4.91843848E+3,
643.00,4.63553271E+3,
644.00,3.94998608E+3,
645.00,4.93834082E+3,
646.00,4.88143945E+3,
647.00,4.37418262E+3,
648.00,4.24622461E+3,
649.00,5.07928662E+3,
650.00,4.63288525E+3,
651.00,3.92907520E+3,
652.00,4.58029639E+3,
653.00,4.92973828E+3,
654.00,3.98702222E+3,
655.00,4.33790283E+3,
656.00,3.75092554E+3,
657.00,4.35919238E+3,
658.00,4.24258447E+3,
659.00,3.26726392E+3,
660.00,3.74692017E+3,
661.00,3.40047119E+3,
662.00,4.23660107E+3,
663.00,3.75712256E+3,
664.00,3.77010596E+3,
665.00,3.76790381E+3,
666.00,3.63573364E+3,
667.00,3.49662891E+3,
668.00,3.77332544E+3,
669.00,3.63283276E+3,
670.00,4.46351758E+3,
671.00,3.88383228E+3,
672.00,3.04658447E+3,
673.00,3.55617285E+3,
674.00,2.18744775E+3,
675.00,3.57728516E+3,
676.00,2.91668530E+3,
677.00,2.45329565E+3,
678.00,3.57466748E+3,
679.00,3.24612061E+3,
680.00,2.09647974E+3,
681.00,2.81411646E+3,
682.00,3.23626904E+3,
