Labels,F3-1500-1541-EX,
Type,Excitation Scan,
Comment,,
Start,250.00,
Stop,800.00,
Step,1.00,
Fixed/Offset,1541.000,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,True,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,4.0000019,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,2.9999912,
Detector,Det2,

250.00,9.93918066E+3,
251.00,2.83233716E+3,
252.00,8.01326367E+3,
253.00,3.72672314E+3,
254.00,9.45664941E+3,
255.00,7.30310449E+3,
256.00,4.48239111E+3,
257.00,4.67154150E+3,
258.00,5.66234619E+3,
259.00,7.31871533E+3,
260.00,7.05483887E+3,
261.00,6.88793945E+3,
262.00,5.74179150E+3,
263.00,6.69671094E+3,
264.00,6.62552148E+3,
265.00,5.91211475E+3,
266.00,6.75732422E+3,
267.00,6.67665137E+3,
268.00,6.59880762E+3,
269.00,8.45064844E+3,
270.00,7.80556543E+3,
271.00,6.78517773E+3,
272.00,7.37649414E+3,
273.00,7.43487988E+3,
274.00,7.44042236E+3,
275.00,7.02293994E+3,
276.00,6.86192139E+3,
277.00,7.21864795E+3,
278.00,6.97779248E+3,
279.00,6.85864209E+3,
280.00,7.22427490E+3,
281.00,6.64161670E+3,
282.00,6.96540332E+3,
283.00,7.38272900E+3,
284.00,7.00100391E+3,
285.00,6.64004492E+3,
286.00,6.96527832E+3,
287.00,6.59676465E+3,
288.00,6.60033984E+3,
289.00,6.30298828E+3,
290.00,6.27521582E+3,
291.00,6.36604639E+3,
292.00,6.23369336E+3,
293.00,5.75420215E+3,
294.00,5.65853271E+3,
295.00,5.62683105E+3,
296.00,5.31525488E+3,
297.00,4.79491016E+3,
298.00,5.04988623E+3,
299.00,4.52883203E+3,
300.00,4.21420068E+3,
301.00,4.00081152E+3,
302.00,3.64465039E+3,
303.00,3.71330615E+3,
304.00,3.69138257E+3,
305.00,3.50813110E+3,
306.00,2.82338843E+3,
307.00,2.75289331E+3,
308.00,2.52532251E+3,
309.00,2.19041479E+3,
310.00,2.22931177E+3,
311.00,1.82133643E+3,
312.00,1.76667749E+3,
313.00,1.52129663E+3,
314.00,1.38802673E+3,
315.00,1.46930481E+3,
316.00,1.26765930E+3,
317.00,1.16188513E+3,
318.00,1.02066364E+3,
319.00,8.04626770E+2,
320.00,9.72689575E+2,
321.00,9.40941223E+2,
322.00,8.46717896E+2,
323.00,7.36469604E+2,
324.00,6.56832947E+2,
325.00,6.42837036E+2,
326.00,7.02314026E+2,
327.00,4.81427338E+2,
328.00,4.42829681E+2,
329.00,4.97691833E+2,
330.00,4.92731842E+2,
331.00,4.22725952E+2,
332.00,4.86400238E+2,
333.00,3.65393402E+2,
334.00,3.22653259E+2,
335.00,3.40664520E+2,
336.00,3.93665039E+2,
337.00,2.95839630E+2,
338.00,3.36691681E+2,
339.00,3.41940338E+2,
340.00,3.39629364E+2,
341.00,2.69595459E+2,
342.00,2.71775543E+2,
343.00,2.39342056E+2,
344.00,2.28053162E+2,
345.00,2.65651764E+2,
346.00,2.59367371E+2,
347.00,2.54069138E+2,
348.00,2.21263565E+2,
349.00,1.79477524E+2,
350.00,1.47714386E+2,
351.00,1.96809311E+2,
352.00,2.88758423E+2,
353.00,3.08760132E+2,
354.00,2.23260513E+2,
355.00,3.01901306E+2,
356.00,2.95531219E+2,
357.00,4.02620697E+2,
358.00,3.19333618E+2,
359.00,3.49409119E+2,
360.00,3.53957123E+2,
361.00,4.50351837E+2,
362.00,4.30156708E+2,
363.00,4.78125824E+2,
364.00,5.76636047E+2,
365.00,5.89308716E+2,
366.00,5.93598816E+2,
367.00,7.06148865E+2,
368.00,8.57872986E+2,
369.00,8.03029785E+2,
370.00,9.75511536E+2,
371.00,1.18261194E+3,
372.00,1.30967163E+3,
373.00,1.50153210E+3,
374.00,1.69116846E+3,
375.00,1.90963525E+3,
376.00,2.21373804E+3,
377.00,2.47880371E+3,
378.00,2.70882007E+3,
379.00,3.05484399E+3,
380.00,3.50681055E+3,
381.00,3.83257446E+3,
382.00,4.22426416E+3,
383.00,4.71785840E+3,
384.00,5.23992090E+3,
385.00,5.71870264E+3,
386.00,6.19578516E+3,
387.00,6.92379492E+3,
388.00,7.27066064E+3,
389.00,8.06019385E+3,
390.00,8.60690234E+3,
391.00,9.25114453E+3,
392.00,9.72563086E+3,
393.00,1.04569346E+4,
394.00,1.11132002E+4,
395.00,1.15404307E+4,
396.00,1.22874395E+4,
397.00,1.28267617E+4,
398.00,1.33419551E+4,
399.00,1.39474600E+4,
400.00,1.45437998E+4,
401.00,1.48914336E+4,
402.00,1.57005664E+4,
403.00,1.58924189E+4,
404.00,1.65428223E+4,
405.00,1.67038574E+4,
406.00,1.73359727E+4,
407.00,1.77027305E+4,
408.00,1.77234629E+4,
409.00,1.83142109E+4,
410.00,1.83497324E+4,
411.00,1.87443613E+4,
412.00,1.87916816E+4,
413.00,1.92023320E+4,
414.00,1.93429805E+4,
415.00,1.95180176E+4,
416.00,1.97303828E+4,
417.00,1.98423672E+4,
418.00,2.02659473E+4,
419.00,2.02849883E+4,
420.00,2.03248008E+4,
421.00,2.07253887E+4,
422.00,2.07953789E+4,
423.00,2.09087949E+4,
424.00,2.10390566E+4,
425.00,2.14588008E+4,
426.00,2.13078320E+4,
427.00,2.12676836E+4,
428.00,2.14799375E+4,
429.00,2.15682715E+4,
430.00,2.15030156E+4,
431.00,2.15812070E+4,
432.00,2.15944648E+4,
433.00,2.17254961E+4,
434.00,2.21570039E+4,
435.00,2.14771211E+4,
436.00,2.17326523E+4,
437.00,2.16461211E+4,
438.00,2.14813086E+4,
439.00,2.16022441E+4,
440.00,2.16304648E+4,
441.00,2.14863789E+4,
442.00,2.14611953E+4,
443.00,2.14530371E+4,
444.00,2.13733086E+4,
445.00,2.11509863E+4,
446.00,2.11829902E+4,
447.00,2.12424219E+4,
448.00,2.11338184E+4,
449.00,2.08104805E+4,
450.00,2.07838457E+4,
451.00,2.08088809E+4,
452.00,2.06186387E+4,
453.00,2.08264570E+4,
