0.002cr-fitted-136.66%
  QY = 136.66%
Labels,EmScan16,kongbai,
Type,Emission Scan,Emission Scan,
Comment,,,
Start,425.00,425.00,
Stop,850.00,850.00,
Step,1.00,1.00,
Fixed/Offset,445.00,445.00,
Xaxis,Wavelength,Wavelength,
Yaxis,Counts,Counts,
Scan Corr. by File,True,True,
Corr. by Ref. Det.,True,True,
Fixed/Offset Corr. by File,False,False,
Repeats,1,1,
Dwell Time,0.10,0.10,
Lamp,Xenon,Xenon,
Temp,28.90,28.80,
Scan Polariser,None,None,
Scan Slit,0.19999765,0.19999765,
Fixed/Offset Polariser,None,None,
Fixed/Offset Slit,2.4000206,2.4000206,
Detector,Det 1,Det 1,

548.00,1.52005911E+1,2.28339672E+1,
549.00,1.21951284E+1,1.99326839E+1,
550.00,2.15605812E+1,1.39858809E+1,
551.00,2.97595329E+1,1.58084812E+1,
552.00,2.05235844E+1,1.57828856E+1,
553.00,1.75283813E+1,2.23819160E+1,
554.00,2.08061790E+1,1.61021671E+1,
555.00,9.74036026E+0,9.75030231E+0,
556.00,2.12251244E+1,1.63324432E+1,
557.00,1.32099400E+1,9.90377426E+0,
558.00,1.16568527E+1,2.33989677E+1,
559.00,1.84905472E+1,1.01353550E+1,
560.00,1.69621716E+1,2.22023811E+1,
561.00,1.70896130E+1,8.59659195E+0,
562.00,2.24269619E+1,1.21919174E+1,
563.00,8.72408009E+0,1.05528526E+1,
564.00,2.10952873E+1,1.77447593E+0,
565.00,1.07476435E+1,7.14992619E+0,
566.00,9.00238895E+0,9.03418636E+0,
567.00,1.27388783E+1,9.11704063E+0,
568.00,1.83477325E+1,1.28266230E+1,
569.00,1.47837973E+1,7.47166061E+0,
570.00,7.47376633E+0,1.50416622E+1,
571.00,1.51697245E+1,2.10190907E+1,
572.00,1.33753958E+1,7.67945671E+0,
573.00,2.51994133E+1,3.86984992E+0,
574.00,9.75405121E+0,1.17863846E+1,
575.00,2.16495342E+1,1.78373222E+1,
576.00,1.77970810E+1,1.19949188E+1,
577.00,1.80516033E+1,8.13036728E+0,
578.00,1.82856903E+1,1.42912760E+1,
579.00,1.02810497E+1,8.25390434E+0,
580.00,6.24587774E+0,6.26589870E+0,
581.00,1.47204580E+1,1.27052517E+1,
582.00,1.68953056E+1,8.52427197E+0,
583.00,1.50138884E+1,1.07819767E+1,
584.00,1.08097496E+1,1.09270363E+1,
585.00,1.31054125E+1,1.10059366E+1,
586.00,1.10303488E+1,2.22697759E+0,
587.00,8.90526009E+0,1.79947605E+1,
588.00,1.35933475E+1,1.35043488E+1,
589.00,1.14029427E+1,9.10214329E+0,
590.00,1.84076385E+1,1.38582315E+1,
591.00,1.40159111E+1,9.36912441E+0,
592.00,1.17326155E+1,0.00000000E+0,
593.00,7.12107325E+0,2.39458394E+0,
594.00,7.19067907E+0,1.69310017E+1,
595.00,7.25210667E+0,2.67279453E+1,
596.00,7.33348703E+0,9.80982208E+0,
597.00,2.48341217E+1,-4.96667910E+0,
598.00,5.01322031E+0,1.25124788E+1,
599.00,1.26247578E+1,7.63617706E+0,
600.00,1.02456007E+1,5.16596985E+0,
601.00,2.58301086E+1,5.19834900E+0,
602.00,1.30891171E+1,7.86745739E+0,
603.00,5.31409883E+0,5.29805088E+0,
604.00,1.34118767E+1,5.36842680E+0,
605.00,1.08879042E+1,1.63024254E+1,
606.00,1.36940985E+1,2.75867653E+0,
607.00,2.22378597E+1,5.56790543E+0,
608.00,2.24513874E+1,2.54877777E+1,
609.00,1.13689919E+1,-2.84920025E+0,
610.00,1.44276781E+1,-2.88573313E+0,
611.00,5.82563400E+0,8.79519463E+0,
612.00,5.90702438E+0,0.00000000E+0,
613.00,1.79389763E+1,2.99219656E+0,
614.00,6.04917145E+0,0.00000000E+0,
615.00,6.14623976E+0,6.14768314E+0,
616.00,9.31795979E+0,-3.11339569E+0,
617.00,2.52824821E+1,0.00000000E+0,
618.00,3.18922472E+0,1.59802217E+1,
619.00,6.48795128E+0,3.24826264E+0,
620.00,6.59683323E+0,9.84860611E+0,
621.00,1.66262627E+1,9.99554348E+0,
622.00,6.74235916E+0,1.01829138E+1,
623.00,6.85017157E+0,1.37185555E+1,
624.00,1.03793955E+1,6.99665976E+0,
625.00,7.05178213E+0,-7.10995293E+0,
626.00,2.15309887E+1,3.58846307E+0,
627.00,1.08931665E+1,-3.64486647E+0,
628.00,1.47296162E+1,-3.70253372E+0,
629.00,3.34659119E+1,7.49518633E+0,
630.00,0.00000000E+0,-3.79987812E+0,
631.00,1.93237476E+1,3.85587788E+0,
632.00,7.87088156E+0,3.91783047E+0,
633.00,3.97833824E+0,1.99466286E+1,
634.00,1.20980253E+1,8.13392258E+0,
635.00,8.17300701E+0,-4.11434650E+0,
636.00,8.32206059E+0,0.00000000E+0,
637.00,1.68981037E+1,8.54009914E+0,
638.00,8.61202335E+0,-8.70458412E+0,
639.00,4.37003851E+0,0.00000000E+0,
640.00,0.00000000E+0,4.47044230E+0,
641.00,0.00000000E+0,9.11584663E+0,
642.00,9.22831154E+0,0.00000000E+0,
643.00,1.40416937E+1,0.00000000E+0,
644.00,1.43223448E+1,0.00000000E+0,
645.00,4.84585476E+0,4.82845545E+0,
646.00,4.94124746E+0,9.85867405E+0,
647.00,5.04041147E+0,-1.00919971E+1,
648.00,5.11011648E+0,-5.15898466E+0,
649.00,2.08953133E+1,-5.25967598E+0,
650.00,3.19694500E+1,-5.33226824E+0,
651.00,3.23426361E+1,-5.40238619E+0,
652.00,1.10634127E+1,2.76311512E+1,
653.00,1.12450657E+1,1.12727489E+1,
654.00,1.70724678E+1,5.73876715E+0,
655.00,3.49195595E+1,5.85592699E+0,
656.00,1.18688097E+1,-5.97172499E+0,
657.00,6.05219221E+0,-6.08657694E+0,
658.00,2.49571381E+1,6.22919703E+0,
659.00,1.27029514E+1,-1.27009640E+1,
660.00,1.94324474E+1,-1.30395861E+1,
661.00,1.98791962E+1,-6.69352627E+0,
662.00,3.41467323E+1,-6.86088943E+0,
663.00,2.13239136E+1,-7.02997398E+0,
664.00,1.46309938E+1,7.28480005E+0,
665.00,0.00000000E+0,-1.51100950E+1,
666.00,3.11285191E+1,0.00000000E+0,
667.00,5.55316162E+1,-1.59280510E+1,
668.00,2.42141933E+1,8.10572720E+0,
669.00,2.43953762E+1,0.00000000E+0,
670.00,4.07852402E+1,0.00000000E+0,
671.00,2.47375774E+1,-8.20519638E+0,
672.00,8.20003414E+0,-8.19811440E+0,
673.00,1.64553318E+1,-1.65436840E+1,
674.00,2.47387695E+1,-1.65233040E+1,
675.00,2.48560543E+1,8.29272461E+0,
676.00,3.31156769E+1,-1.67053947E+1,
677.00,4.99731369E+1,8.38072681E+0,
678.00,1.67088642E+1,-8.44337368E+0,
679.00,5.92378044E+1,0.00000000E+0,
680.00,8.61293507E+0,-1.72530422E+1,
681.00,2.58345356E+1,-1.73574715E+1,
682.00,7.81932373E+1,-8.75555897E+0,
683.00,3.49480934E+1,-8.83845234E+0,
684.00,6.19135475E+1,0.00000000E+0,
685.00,4.44367790E+1,0.00000000E+0,
686.00,3.57893562E+1,8.95785522E+0,
687.00,5.42891884E+1,-1.81502018E+1,
688.00,7.26721878E+1,-9.12809277E+0,
689.00,5.48766251E+1,9.19760323E+0,
690.00,9.22548447E+1,-1.86196117E+1,
691.00,7.46346359E+1,0.00000000E+0,
