Labels,800-EX,
Type,Excitation Scan,
Comment,,
Start,250.00,
Stop,780.00,
Step,1.00,
Fixed/Offset,800.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,True,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,29.050,
Scan Polariser,None,
Scan Slit,4.0000019,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,3.9999883,
Detector,Det2,

460.00,4.37394766E+4,
461.00,4.30864375E+4,
462.00,4.30994141E+4,
463.00,4.28079297E+4,
464.00,4.22502344E+4,
465.00,4.22921953E+4,
466.00,4.23454336E+4,
467.00,4.23474961E+4,
468.00,4.19234102E+4,
469.00,4.18289805E+4,
470.00,4.16727461E+4,
471.00,4.11443633E+4,
472.00,4.09907578E+4,
473.00,4.07153477E+4,
474.00,4.05835039E+4,
475.00,4.08501875E+4,
476.00,4.04043359E+4,
477.00,3.97531016E+4,
478.00,3.98723320E+4,
479.00,3.95794023E+4,
480.00,3.83962305E+4,
481.00,3.83572109E+4,
482.00,3.79771992E+4,
483.00,3.69872070E+4,
484.00,3.68100430E+4,
485.00,3.71259141E+4,
486.00,3.67105313E+4,
487.00,3.58008555E+4,
488.00,3.51716719E+4,
489.00,3.47480664E+4,
490.00,3.42545547E+4,
491.00,3.35098984E+4,
492.00,3.25986230E+4,
493.00,3.28420039E+4,
494.00,3.22718672E+4,
495.00,3.18656484E+4,
496.00,3.07726172E+4,
497.00,3.06195195E+4,
498.00,3.00516504E+4,
499.00,2.88467969E+4,
500.00,2.84160879E+4,
501.00,2.78206328E+4,
502.00,2.77661934E+4,
503.00,2.71536230E+4,
504.00,2.57666875E+4,
505.00,2.48055625E+4,
506.00,2.47118008E+4,
507.00,2.38985566E+4,
508.00,2.29161211E+4,
509.00,2.29335449E+4,
510.00,2.13741699E+4,
511.00,2.10247246E+4,
512.00,2.08056445E+4,
513.00,1.98026465E+4,
514.00,1.96626387E+4,
515.00,1.86469727E+4,
516.00,1.78681992E+4,
517.00,1.77339023E+4,
518.00,1.66507754E+4,
519.00,1.60703154E+4,
520.00,1.55208867E+4,
521.00,1.48449414E+4,
522.00,1.42563027E+4,
523.00,1.39098145E+4,
524.00,1.33020439E+4,
525.00,1.32547275E+4,
526.00,1.28198828E+4,
527.00,1.20820957E+4,
528.00,1.19703320E+4,
529.00,1.14574980E+4,
530.00,1.20904805E+4,
531.00,1.07464775E+4,
532.00,1.06926074E+4,
533.00,1.07795879E+4,
534.00,1.00039346E+4,
535.00,1.01329150E+4,
536.00,9.93339844E+3,
537.00,9.82592383E+3,
538.00,9.69590234E+3,
539.00,9.82333984E+3,
540.00,9.45248145E+3,
541.00,9.29673828E+3,
542.00,9.29012207E+3,
543.00,9.41891895E+3,
544.00,9.03304395E+3,
545.00,9.28642480E+3,
546.00,9.06912305E+3,
547.00,8.92347754E+3,
548.00,9.36736621E+3,
549.00,9.56436035E+3,
550.00,9.62885059E+3,
551.00,9.75864551E+3,
552.00,1.03895088E+4,
553.00,1.02027725E+4,
554.00,1.00055078E+4,
555.00,1.04904248E+4,
556.00,1.10620615E+4,
557.00,1.12087441E+4,
558.00,1.07810566E+4,
559.00,1.12281953E+4,
560.00,1.18380273E+4,
561.00,1.14357520E+4,
562.00,1.27383516E+4,
563.00,1.28367617E+4,
564.00,1.29920186E+4,
565.00,1.33829766E+4,
566.00,1.35047871E+4,
567.00,1.35798506E+4,
568.00,1.43593291E+4,
569.00,1.43058779E+4,
570.00,1.46810742E+4,
571.00,1.51675215E+4,
572.00,1.53702969E+4,
573.00,1.59779551E+4,
574.00,1.63722764E+4,
575.00,1.70437813E+4,
576.00,1.69755605E+4,
577.00,1.72175527E+4,
578.00,1.73198965E+4,
579.00,1.76108027E+4,
580.00,1.86627871E+4,
581.00,1.90923516E+4,
582.00,1.87954473E+4,
583.00,1.95577148E+4,
584.00,1.91115742E+4,
585.00,2.00942266E+4,
586.00,2.04298320E+4,
587.00,2.08656133E+4,
588.00,2.07367695E+4,
589.00,2.14097344E+4,
590.00,2.12980469E+4,
591.00,2.18470273E+4,
592.00,2.22682168E+4,
593.00,2.27047031E+4,
594.00,2.28994902E+4,
595.00,2.31140117E+4,
596.00,2.26678262E+4,
597.00,2.34690898E+4,
598.00,2.39285195E+4,
599.00,2.46996113E+4,
600.00,2.47093438E+4,
601.00,2.40276680E+4,
602.00,2.51434727E+4,
603.00,2.48290234E+4,
604.00,2.59983418E+4,
605.00,2.47226699E+4,
606.00,2.51338906E+4,
607.00,2.58868496E+4,
608.00,2.56928594E+4,
609.00,2.59454453E+4,
610.00,2.65555039E+4,
611.00,2.61090918E+4,
612.00,2.63917676E+4,
613.00,2.69015254E+4,
614.00,2.71147559E+4,
615.00,2.68967285E+4,
616.00,2.66019609E+4,
617.00,2.60018848E+4,
618.00,2.81169805E+4,
619.00,2.74212266E+4,
620.00,2.73856543E+4,
621.00,2.79856289E+4,
622.00,2.73569414E+4,
623.00,2.68449336E+4,
624.00,2.68196270E+4,
625.00,2.75285332E+4,
