Labels,1530-EX,
Type,Excitation Scan,
Comment,,
Start,250.00,
Stop,1000.00,
Step,1.00,
Fixed/Offset,1530.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,True,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,29.050,
Scan Polariser,None,
Scan Slit,4.0000019,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,3.9999883,
Detector,Det2,

460.00,2.83970723E+4,
461.00,2.81947715E+4,
462.00,2.79607324E+4,
463.00,2.80052715E+4,
464.00,2.80640742E+4,
465.00,2.77952871E+4,
466.00,2.75951680E+4,
467.00,2.75336738E+4,
468.00,2.75770254E+4,
469.00,2.74693984E+4,
470.00,2.72513105E+4,
471.00,2.70214180E+4,
472.00,2.67341855E+4,
473.00,2.65077793E+4,
474.00,2.65792246E+4,
475.00,2.64027441E+4,
476.00,2.60003926E+4,
477.00,2.57381816E+4,
478.00,2.53463574E+4,
479.00,2.54634531E+4,
480.00,2.49661250E+4,
481.00,2.49444551E+4,
482.00,2.46342773E+4,
483.00,2.43981602E+4,
484.00,2.39358125E+4,
485.00,2.39608965E+4,
486.00,2.37206992E+4,
487.00,2.33051895E+4,
488.00,2.25978223E+4,
489.00,2.24302969E+4,
490.00,2.18961035E+4,
491.00,2.15344180E+4,
492.00,2.14400020E+4,
493.00,2.09776152E+4,
494.00,2.06668809E+4,
495.00,2.03181992E+4,
496.00,1.98200254E+4,
497.00,1.93389473E+4,
498.00,1.88996836E+4,
499.00,1.84449570E+4,
500.00,1.80975234E+4,
501.00,1.77233184E+4,
502.00,1.72161816E+4,
503.00,1.67476543E+4,
504.00,1.61510195E+4,
505.00,1.58036172E+4,
506.00,1.54054307E+4,
507.00,1.48502256E+4,
508.00,1.46114082E+4,
509.00,1.44806963E+4,
510.00,1.37240576E+4,
511.00,1.34038779E+4,
512.00,1.28916289E+4,
513.00,1.25512686E+4,
514.00,1.21962451E+4,
515.00,1.15638242E+4,
516.00,1.14016934E+4,
517.00,1.11327354E+4,
518.00,1.06822432E+4,
519.00,1.06450156E+4,
520.00,1.01631680E+4,
521.00,9.75539551E+3,
522.00,9.60154199E+3,
523.00,9.24655469E+3,
524.00,8.99583203E+3,
525.00,8.65295508E+3,
526.00,8.43385059E+3,
527.00,8.14610742E+3,
528.00,7.91489551E+3,
529.00,7.86912402E+3,
530.00,7.69611816E+3,
531.00,7.41720215E+3,
532.00,7.17929980E+3,
533.00,7.19054004E+3,
534.00,6.99656592E+3,
535.00,6.89640039E+3,
536.00,6.93178418E+3,
537.00,6.88630615E+3,
538.00,6.67326709E+3,
539.00,6.47502393E+3,
540.00,6.44337891E+3,
541.00,6.44756543E+3,
542.00,6.64323828E+3,
543.00,6.59350879E+3,
544.00,6.47209229E+3,
545.00,6.56636816E+3,
546.00,6.58197852E+3,
547.00,6.55698877E+3,
548.00,6.50022559E+3,
549.00,6.78934717E+3,
550.00,6.74022314E+3,
551.00,6.78624902E+3,
552.00,7.08253223E+3,
553.00,7.19022656E+3,
554.00,7.35833545E+3,
555.00,7.56636816E+3,
556.00,7.78176123E+3,
557.00,7.99127637E+3,
558.00,7.98143555E+3,
559.00,8.19460938E+3,
560.00,8.26828223E+3,
561.00,8.47805273E+3,
562.00,8.70140137E+3,
563.00,8.98542773E+3,
564.00,9.15794141E+3,
565.00,9.39879199E+3,
566.00,9.63383984E+3,
567.00,9.87432031E+3,
568.00,1.00841768E+4,
569.00,1.01701035E+4,
570.00,1.05776172E+4,
571.00,1.09514170E+4,
572.00,1.10059248E+4,
573.00,1.10898242E+4,
574.00,1.15657871E+4,
575.00,1.16584453E+4,
576.00,1.18102148E+4,
577.00,1.21127295E+4,
578.00,1.21946455E+4,
579.00,1.26780146E+4,
580.00,1.29246201E+4,
581.00,1.30186846E+4,
582.00,1.32706563E+4,
583.00,1.33883018E+4,
584.00,1.37343760E+4,
585.00,1.40596680E+4,
586.00,1.39950859E+4,
587.00,1.42958584E+4,
588.00,1.45462412E+4,
589.00,1.47626719E+4,
590.00,1.52744561E+4,
591.00,1.50856621E+4,
592.00,1.52467012E+4,
593.00,1.55377637E+4,
594.00,1.55939209E+4,
595.00,1.58687158E+4,
596.00,1.61998613E+4,
597.00,1.61366504E+4,
598.00,1.60572871E+4,
599.00,1.64271621E+4,
600.00,1.66032988E+4,
601.00,1.67098203E+4,
602.00,1.67388438E+4,
603.00,1.68907031E+4,
604.00,1.71017383E+4,
605.00,1.72706777E+4,
606.00,1.75409805E+4,
607.00,1.77672090E+4,
608.00,1.74648008E+4,
609.00,1.76884805E+4,
610.00,1.81091699E+4,
611.00,1.80731641E+4,
612.00,1.84115801E+4,
613.00,1.81884004E+4,
614.00,1.79364023E+4,
615.00,1.84949980E+4,
616.00,1.84639258E+4,
617.00,1.83882441E+4,
618.00,1.87686348E+4,
619.00,1.91005176E+4,
620.00,1.90454609E+4,
621.00,1.91938164E+4,
622.00,1.87430293E+4,
623.00,1.93657305E+4,
624.00,1.92617129E+4,
625.00,1.92120078E+4,
626.00,1.91186953E+4,
627.00,1.93948945E+4,
628.00,1.96024961E+4,
629.00,1.94901973E+4,
630.00,1.99039512E+4,
631.00,1.95298164E+4,
632.00,1.97804258E+4,
