0.005cr-fitted
  QY = 126.54%
Labels,EmScan6,KONGBAI,
Type,Emission Scan,Emission Scan,
Comment,,,
Start,425.00,425.00,
Stop,850.00,850.00,
Step,1.00,1.00,
Fixed/Offset,445.00,445.00,
Xaxis,Wavelength,Wavelength,
Yaxis,Counts,Counts,
Scan Corr. by File,True,True,
Corr. by Ref. Det.,True,True,
Fixed/Offset Corr. by File,False,False,
Repeats,1,1,
Dwell Time,0.10,0.10,
Lamp,Xenon,Xenon,
Temp,27.70,27.450,
Scan Polariser,None,None,
Scan Slit,0.200,0.19999765,
Fixed/Offset Polariser,None,None,
Fixed/Offset Slit,2.40,2.4000206,
Detector,Det 1,Det 1,

548.00,1.98351364E+1,6.07482481E+0,
549.00,1.22635059E+1,7.64845085E+0,
550.00,1.69073448E+1,1.69516888E+1,
551.00,1.86428547E+1,2.01368160E+1,
552.00,1.57195740E+1,1.10192966E+1,
553.00,2.84961834E+1,4.78694391E+0,
554.00,1.45066204E+1,2.24235020E+1,
555.00,9.69189453E+0,1.44921732E+1,
556.00,1.14475842E+1,4.90370846E+0,
557.00,1.15831680E+1,1.97924538E+1,
558.00,1.33235502E+1,6.64787579E+0,
559.00,1.84766483E+1,2.68982315E+1,
560.00,1.35684137E+1,1.52992725E+1,
561.00,3.08024387E+1,2.74565907E+1,
562.00,1.21168022E+1,1.21048450E+1,
563.00,1.22237358E+1,8.70462132E+0,
564.00,1.58271675E+1,2.28732719E+1,
565.00,7.14957571E+0,2.49162998E+1,
566.00,9.03294468E+0,1.43851166E+1,
567.00,1.27106457E+1,7.29084396E+0,
568.00,1.28762388E+1,1.83003616E+1,
569.00,1.30225840E+1,7.40343618E+0,
570.00,1.49504471E+1,2.23894367E+1,
571.00,2.27008038E+1,9.42690182E+0,
572.00,9.57498646E+0,2.28995075E+1,
573.00,1.74109135E+1,1.54698591E+1,
574.00,1.95136299E+1,1.16568041E+1,
575.00,2.16611557E+1,5.91815901E+0,
576.00,1.00109825E+1,1.39111300E+1,
577.00,4.02109909E+0,8.02145004E+0,
578.00,1.42190104E+1,1.63085651E+1,
579.00,1.64614334E+1,6.16645908E+0,
580.00,4.13671207E+0,1.03619604E+1,
581.00,1.46588745E+1,1.88714161E+1,
582.00,1.27724915E+1,1.69120865E+1,
583.00,1.92709732E+1,1.49628305E+1,
584.00,1.08184052E+1,8.66259289E+0,
585.00,1.74674053E+1,8.74402618E+0,
586.00,2.87653694E+1,4.42882347E+0,
587.00,6.67660141E+0,2.43881607E+1,
588.00,6.78714132E+0,4.52831411E+0,
589.00,2.26639996E+1,2.28615713E+0,
590.00,4.59012222E+0,1.14753065E+1,
591.00,1.39402866E+1,1.16145258E+1,
592.00,1.41034775E+1,1.40985203E+1,
593.00,1.18677616E+1,2.37910128E+0,
594.00,7.20473337E+0,1.19815435E+1,
595.00,1.20681639E+1,9.68163776E+0,
596.00,1.22632370E+1,0.00000000E+0,
597.00,4.93918276E+0,9.95364952E+0,
598.00,2.24492016E+1,2.49819970E+0,
599.00,1.00998058E+1,1.01236820E+1,
600.00,2.29899063E+1,5.11799765E+0,
601.00,2.32925053E+1,1.03474760E+1,
602.00,1.56613483E+1,7.81051397E+0,
603.00,5.28359222E+0,-2.64625812E+0,
604.00,8.08151436E+0,1.33876486E+1,
605.00,1.63116913E+1,2.70705032E+0,
606.00,1.37185841E+1,0.00000000E+0,
607.00,8.37326241E+0,2.78250813E+0,
608.00,8.45307636E+0,8.42954826E+0,
609.00,1.13747644E+1,-5.71002150E+0,
610.00,2.01681461E+1,0.00000000E+0,
611.00,2.93421078E+0,-2.91153812E+0,
612.00,1.48239136E+1,5.88579893E+0,
613.00,5.98474455E+0,2.98123908E+0,
614.00,6.09130239E+0,0.00000000E+0,
615.00,1.84464779E+1,-6.11209965E+0,
616.00,1.24517565E+1,6.20628357E+0,
617.00,2.21052933E+1,6.33848763E+0,
618.00,6.42401552E+0,-9.62601089E+0,
619.00,6.48345089E+0,1.62349567E+1,
620.00,9.87356281E+0,9.82788754E+0,
621.00,0.00000000E+0,1.66716156E+1,
622.00,6.76186705E+0,3.37012839E+0,
623.00,1.02954588E+1,3.41901135E+0,
624.00,3.47455907E+0,1.73707600E+1,
625.00,1.40696354E+1,1.06482630E+1,
626.00,1.43267775E+1,7.16156864E+0,
627.00,1.09029627E+1,-1.45786085E+1,
628.00,3.68661427E+0,0.00000000E+0,
629.00,0.00000000E+0,7.46791649E+0,
630.00,7.63161850E+0,-3.80792022E+0,
631.00,0.00000000E+0,1.54086113E+1,
632.00,3.93598175E+0,-3.90159154E+0,
633.00,4.00163126E+0,0.00000000E+0,
634.00,-4.05012226E+0,0.00000000E+0,
635.00,0.00000000E+0,-8.20812321E+0,
636.00,-4.15414810E+0,8.35332012E+0,
637.00,1.27146759E+1,8.47512627E+0,
638.00,3.89079666E+1,0.00000000E+0,
639.00,1.31533203E+1,8.75988674E+0,
640.00,8.91641426E+0,1.78053303E+1,
641.00,3.16826229E+1,4.51446342E+0,
642.00,1.38320503E+1,1.38236752E+1,
643.00,1.40374479E+1,0.00000000E+0,
644.00,1.43144989E+1,4.75582123E+0,
645.00,4.83777618E+0,-4.86228418E+0,
646.00,4.93039560E+0,-4.93854189E+0,
647.00,1.00485249E+1,-1.50982990E+1,
648.00,2.05450859E+1,0.00000000E+0,
649.00,1.56370306E+1,1.55998383E+1,
650.00,3.19246788E+1,-5.31136465E+0,
651.00,2.16036396E+1,1.62225246E+1,
