0.07cr-fitted-13.18%
  QY = 13.07%
Labels,EmScan14,KONGBAI,
Type,Emission Scan,Emission Scan,
Comment,,,
Start,425.00,425.00,
Stop,850.00,850.00,
Step,1.00,1.00,
Fixed/Offset,445.00,445.00,
Xaxis,Wavelength,Wavelength,
Yaxis,Counts,Counts,
Scan Corr. by File,True,True,
Corr. by Ref. Det.,True,True,
Fixed/Offset Corr. by File,False,False,
Repeats,1,1,
Dwell Time,0.10,0.10,
Lamp,Xenon,Xenon,
Temp,28.750,27.450,
Scan Polariser,None,None,
Scan Slit,0.19999765,0.19999765,
Fixed/Offset Polariser,None,None,
Fixed/Offset Slit,2.4000206,2.4000206,
Detector,Det 1,Det 1,

425.00,-1.65741837E+0,2.47579026E+0,
426.00,0.00000000E+0,-3.30663085E+0,
427.00,-8.22974443E-1,-2.46517086E+0,
428.00,-8.24653804E-1,0.00000000E+0,
429.00,-8.23020935E-1,-1.64390290E+0,
430.00,-1.65208340E+0,0.00000000E+0,
431.00,-1.64310908E+0,1.63791573E+0,
432.00,-8.23689938E-1,1.64636660E+0,
433.00,8.25747013E-1,0.00000000E+0,
434.00,1.64929497E+0,8.25477839E-1,
435.00,-8.28443766E-1,4.11714697E+0,
436.00,-8.24401259E-1,2.47346926E+0,
437.00,8.26855004E-1,-3.30716181E+0,
438.00,7.50865841E+0,1.66333561E+1,
439.00,1.25602798E+1,4.34351082E+1,
440.00,3.84687119E+1,9.07595062E+1,
441.00,7.36759949E+1,1.92004440E+2,
442.00,1.47275452E+2,3.54654358E+2,
443.00,5.54673340E+2,1.51114661E+3,
444.00,1.69800977E+4,4.00612734E+4,
445.00,4.08999609E+4,9.09411563E+4,
446.00,4.41196328E+4,9.46420000E+4,
447.00,2.14845723E+4,4.34801523E+4,
448.00,1.53845117E+3,2.58828516E+3,
449.00,1.61599319E+2,4.00991089E+2,
450.00,1.22145203E+2,2.02957840E+2,
451.00,7.66254654E+1,1.27203957E+2,
452.00,3.78295288E+1,9.72105560E+1,
453.00,3.26186676E+1,4.96420212E+1,
454.00,1.08344860E+1,2.66877556E+1,
455.00,5.88498402E+0,1.56620493E+1,
456.00,2.93917799E+0,1.16780596E+1,
457.00,6.75532722E+0,1.63601265E+1,
458.00,9.50725675E-1,1.13747492E+1,
459.00,3.77328658E+0,1.98919792E+1,
460.00,4.65893650E+0,1.48916798E+1,
461.00,4.58079147E+0,1.46563911E+1,
462.00,2.72738862E+0,9.13161659E+0,
463.00,5.43672371E+0,1.16943674E+1,
464.00,6.22961426E+0,2.67752819E+1,
465.00,1.77089047E+0,1.76563301E+1,
466.00,3.52834201E+0,1.50177927E+1,
467.00,3.50961065E+0,1.31036215E+1,
468.00,5.23595524E+0,1.48919172E+1,
469.00,1.13219261E+1,1.91894417E+1,
470.00,6.98221922E+0,1.99680309E+1,
471.00,1.12917080E+1,2.34442101E+1,
472.00,4.34703732E+0,2.59516087E+1,
473.00,1.21659660E+1,2.09394836E+1,
474.00,5.21175480E+0,2.01476765E+1,
475.00,8.77021503E+0,2.35363827E+1,
476.00,6.10236168E+0,2.96729889E+1,
477.00,8.81769562E+0,2.28378754E+1,
478.00,1.05447397E+1,3.15969257E+1,
479.00,1.41439314E+1,2.37337646E+1,
480.00,5.32249165E+0,2.84831524E+1,
481.00,1.16000109E+1,2.68185425E+1,
482.00,9.87221527E+0,2.68370380E+1,
483.00,9.01924992E+0,2.61126366E+1,
484.00,4.51391172E+0,2.80359669E+1,
485.00,6.36649799E+0,2.09336033E+1,
486.00,9.18976402E+0,1.82989273E+1,
487.00,1.29450455E+1,2.48815079E+1,
488.00,1.02397709E+1,2.42374115E+1,
489.00,3.75731587E+0,2.74021950E+1,
490.00,7.57279682E+0,3.22344208E+1,
491.00,5.73425388E+0,2.19358139E+1,
492.00,1.44169607E+1,1.44111910E+1,
493.00,6.78538895E+0,3.48346443E+1,
494.00,1.17150078E+1,3.03533516E+1,
495.00,7.89306927E+0,3.34471474E+1,
496.00,5.94018364E+0,2.07959270E+1,
497.00,6.99275970E+0,2.19992085E+1,
498.00,8.06548595E+0,2.50924416E+1,
499.00,9.13823414E+0,2.63250408E+1,
500.00,1.12513571E+1,1.42381687E+1,
501.00,1.54403248E+1,2.56250668E+1,
502.00,4.14015436E+0,2.89420719E+1,
503.00,1.76658916E+1,2.40580482E+1,
504.00,1.16231308E+1,2.10547638E+1,
505.00,3.18128133E+0,2.21866741E+1,
506.00,7.45842457E+0,2.45813084E+1,
507.00,1.17848034E+1,1.92428455E+1,
508.00,7.62168789E+0,2.16907063E+1,
509.00,1.31567335E+1,2.62316971E+1,
510.00,6.62241316E+0,2.20874691E+1,
511.00,1.66019382E+1,2.89226151E+1,
512.00,7.83500242E+0,3.47100792E+1,
513.00,8.96152401E+0,1.91862507E+1,
514.00,9.07736397E+0,2.15387821E+1,
515.00,1.48956795E+1,2.40286713E+1,
516.00,6.93564415E+0,2.98492165E+1,
517.00,1.05103254E+1,2.43565311E+1,
518.00,1.28623686E+1,2.58055878E+1,
519.00,9.50541687E+0,1.78127003E+1,
520.00,1.79169846E+1,3.10221386E+1,
521.00,1.32185345E+1,1.92622929E+1,
522.00,6.08582067E+0,1.94355679E+1,
523.00,1.46047907E+1,2.08323154E+1,
524.00,7.38446236E+0,2.71313972E+1,
525.00,9.94537544E+0,1.98664951E+1,
526.00,1.00394821E+1,2.75391102E+1,
527.00,1.13879652E+1,1.89334774E+1,
528.00,7.66990805E+0,2.92736912E+1,
529.00,7.72221661E+0,2.57422333E+1,
530.00,7.79431057E+0,2.46424236E+1,
531.00,9.21340370E+0,2.35572453E+1,
532.00,7.90328074E+0,2.65325336E+1,
533.00,9.36236095E+0,2.26065388E+1,
534.00,9.37646389E+0,2.01183262E+1,
535.00,5.40147686E+0,2.17857647E+1,
536.00,1.77486095E+1,3.00149956E+1,
537.00,8.25105190E+0,2.62520542E+1,
538.00,1.24710226E+1,1.25123720E+1,
539.00,4.21303415E+0,2.24955120E+1,
540.00,1.55608854E+1,2.11847954E+1,
541.00,2.86170959E+0,2.56994534E+1,
542.00,2.88916111E+0,1.00505342E+1,
543.00,2.17566471E+1,1.73785038E+1,
544.00,8.81632900E+0,1.90762348E+1,
545.00,5.90507793E+0,3.09965153E+1,
546.00,1.03971872E+1,1.63663216E+1,
547.00,1.05852718E+1,1.65416851E+1,
548.00,1.51744471E+1,6.07482481E+0,
549.00,1.07259493E+1,7.64845085E+0,
550.00,4.65655804E+0,1.69516888E+1,
551.00,4.67336464E+0,2.01368160E+1,
