0.05cr-fitted
  QY = 34.16%
Labels,EmScan13,KONGBAI,
Type,Emission Scan,Emission Scan,
Comment,,,
Start,425.00,425.00,
Stop,850.00,850.00,
Step,1.00,1.00,
Fixed/Offset,445.00,445.00,
Xaxis,Wavelength,Wavelength,
Yaxis,Counts,Counts,
Scan Corr. by File,True,True,
Corr. by Ref. Det.,True,True,
Fixed/Offset Corr. by File,False,False,
Repeats,1,1,
Dwell Time,0.10,0.10,
Lamp,Xenon,Xenon,
Temp,28.650,27.450,
Scan Polariser,None,None,
Scan Slit,0.19999765,0.19999765,
Fixed/Offset Polariser,None,None,
Fixed/Offset Slit,2.4000206,2.4000206,
Detector,Det 1,Det 1,

548.00,1.37260818E+1,6.07482481E+0,
549.00,1.22597866E+1,7.64845085E+0,
550.00,3.09856009E+0,1.69516888E+1,
551.00,7.80463839E+0,2.01368160E+1,
552.00,2.04678078E+1,1.10192966E+1,
553.00,3.16920614E+0,4.78694391E+0,
554.00,1.28016787E+1,2.24235020E+1,
555.00,8.12469387E+0,1.44921732E+1,
556.00,8.18220901E+0,4.90370846E+0,
557.00,1.15345535E+1,1.97924538E+1,
558.00,1.17343445E+1,6.64787579E+0,
559.00,6.71471786E+0,2.68982315E+1,
560.00,1.52666998E+1,1.52992725E+1,
561.00,6.83897829E+0,2.74565907E+1,
562.00,1.38010731E+1,1.21048450E+1,
563.00,5.25774956E+0,8.70462132E+0,
564.00,1.59180279E+1,2.28732719E+1,
565.00,8.94872284E+0,2.49162998E+1,
566.00,3.61875153E+0,1.43851166E+1,
567.00,3.62654996E+0,7.29084396E+0,
568.00,1.28751049E+1,1.83003616E+1,
569.00,3.71189356E+0,7.40343618E+0,
570.00,9.35588741E+0,2.23894367E+1,
571.00,7.53997993E+0,9.42690182E+0,
572.00,0.00000000E+0,2.28995075E+1,
573.00,3.86723757E+0,1.54698591E+1,
574.00,1.36631460E+1,1.16568041E+1,
575.00,1.98383465E+1,5.91815901E+0,
576.00,9.96780968E+0,1.39111300E+1,
577.00,0.00000000E+0,8.02145004E+0,
578.00,6.09838629E+0,1.63085651E+1,
579.00,4.11955166E+0,6.16645908E+0,
580.00,4.14943933E+0,1.03619604E+1,
581.00,4.20720434E+0,1.88714161E+1,
582.00,6.37624264E+0,1.69120865E+1,
583.00,8.62982178E+0,1.49628305E+1,
584.00,4.34326792E+0,8.66259289E+0,
585.00,1.95896664E+1,8.74402618E+0,
