0.07CR-FITTED

Labels,Decay11 on Em1,Decay11 on Em1F2,Decay11 on Em1F2R,
Type,Time Scan,Exponential Fit Time Scan,Weighted Residuals Time Scan,
Comment,,,,
Start,0.00,1.14E05,1.14E05,
Stop,1.999E006,1.999E006,1.999E006,
Step,1000.00,1000.00,1000.00,
Fixed/Offset, , , ,
XAxis,Time(ns),Time,Time,
YAxis,Counts,Counts,Counts,
Chi2,,0.9825150,,
dt,,,,
dtErr,,,,
A,,123.25900,,
Tau1,,23.981117,,
Tau2,,45.318932,,
Tau3,,,,
Tau4,,,,
B1,,7132.491700,,
B2,,933.354550,,
B3,,,,
B4,,,,
Tau1Err,,0.58074123,,
Tau2Err,,4.309270,,
Tau3Err,,,,
Tau4Err,,,,
B1Err,,332.459750,,
B2Err,,349.8100,,
B3Err,,,,
B4Err,,,,
TauAvInt,,28.211662,,
TauAvAmp,,26.450262,,
TauAvIntErr,,1.7813082,,
TauAvAmpErr,,1.0919647,,

0.00,1.23000000E+2, , ,
1000.00,1.24000000E+2, , ,
2000.00,1.11000000E+2, , ,
3000.00,1.41000000E+2, , ,
4000.00,1.12000000E+2, , ,
5000.00,1.23000000E+2, , ,
6000.00,1.25000000E+2, , ,
7000.00,1.23000000E+2, , ,
8000.00,1.32000000E+2, , ,
9000.00,1.31000000E+2, , ,
1E04,1.28000000E+2, , ,
1.1E04,1.05000000E+2, , ,
1.2E04,1.09000000E+2, , ,
1.3E04,1.05000000E+2, , ,
1.4E04,1.14000000E+2, , ,
1.5E04,1.21000000E+2, , ,
1.6E04,1.26000000E+2, , ,
1.7E04,1.14000000E+2, , ,
1.8E04,1.32000000E+2, , ,
1.9E04,1.40000000E+2, , ,
2E04,1.06000000E+2, , ,
2.1E04,1.31000000E+2, , ,
2.2E04,1.34000000E+2, , ,
2.3E04,1.08000000E+2, , ,
2.4E04,1.21000000E+2, , ,
2.5E04,9.90000000E+1, , ,
2.6E04,1.42000000E+2, , ,
2.7E04,1.10000000E+2, , ,
2.8E04,1.44000000E+2, , ,
2.9E04,1.10000000E+2, , ,
3E04,1.10000000E+2, , ,
3.1E04,1.23000000E+2, , ,
3.2E04,1.25000000E+2, , ,
3.3E04,1.37000000E+2, , ,
3.4E04,1.18000000E+2, , ,
3.5E04,1.15000000E+2, , ,
3.6E04,1.14000000E+2, , ,
