0.01CR-FITTED

Labels,Decay7 on Em1,Decay7 on Em1F2,Decay7 on Em1F2R,
Type,Time Scan,Exponential Fit Time Scan,Weighted Residuals Time Scan,
Comment,,,,
Start,0.00,1.15E05,1.15E05,
Stop,1.999E006,1.999E006,1.999E006,
Step,1000.00,1000.00,1000.00,
Fixed/Offset, , , ,
XAxis,Time(ns),Time,Time,
YAxis,Counts,Counts,Counts,
Chi2,,0.96821034,,
dt,,,,
dtErr,,,,
A,,187.78200,,
Tau1,,52.048923,,
Tau2,,119.614320,,
Tau3,,,,
Tau4,,,,
B1,,6702.918500,,
B2,,1589.054600,,
B3,,,,
B4,,,,
Tau1Err,,0.67801160,,
Tau2Err,,3.0517836,,
Tau3Err,,,,
Tau4Err,,,,
B1Err,,112.557800,,
B2Err,,122.09600,,
B3Err,,,,
B4Err,,,,
TauAvInt,,75.877335,,
TauAvAmp,,64.9970,,
TauAvIntErr,,1.9206053,,
TauAvAmpErr,,1.1489488,,

0.00,1.98000000E+2, , ,
1000.00,1.78000000E+2, , ,
2000.00,1.98000000E+2, , ,
3000.00,2.06000000E+2, , ,
4000.00,1.77000000E+2, , ,
5000.00,1.91000000E+2, , ,
6000.00,1.84000000E+2, , ,
7000.00,1.78000000E+2, , ,
8000.00,1.92000000E+2, , ,
9000.00,2.34000000E+2, , ,
1E04,2.16000000E+2, , ,
1.1E04,1.77000000E+2, , ,
1.2E04,1.77000000E+2, , ,
1.3E04,1.80000000E+2, , ,
1.4E04,1.90000000E+2, , ,
1.5E04,1.88000000E+2, , ,
1.6E04,1.78000000E+2, , ,
1.7E04,1.86000000E+2, , ,
1.8E04,1.95000000E+2, , ,
1.9E04,1.89000000E+2, , ,
2E04,1.85000000E+2, , ,
2.1E04,1.94000000E+2, , ,
2.2E04,1.81000000E+2, , ,
2.3E04,2.00000000E+2, , ,
2.4E04,1.98000000E+2, , ,
2.5E04,1.85000000E+2, , ,
2.6E04,1.81000000E+2, , ,
2.7E04,1.68000000E+2, , ,
2.8E04,1.74000000E+2, , ,
2.9E04,1.91000000E+2, , ,
3E04,1.78000000E+2, , ,
3.1E04,1.76000000E+2, , ,
3.2E04,1.83000000E+2, , ,
3.3E04,1.73000000E+2, , ,
3.4E04,1.79000000E+2, , ,
3.5E04,2.00000000E+2, , ,
3.6E04,1.74000000E+2, , ,
