0.005CR-FITTED

Labels,Decay5 on Em1,Decay5 on Em1F2,Decay5 on Em1F2R,
Type,Time Scan,Exponential Fit Time Scan,Weighted Residuals Time Scan,
Comment,,,,
Start,0.00,1.17E05,1.17E05,
Stop,1.999E006,1.999E006,1.999E006,
Step,1000.00,1000.00,1000.00,
Fixed/Offset, , , ,
XAxis,Time(ns),Time,Time,
YAxis,Counts,Counts,Counts,
Chi2,,1.038910,,
dt,,,,
dtErr,,,,
A,,292.452390,,
Tau1,,51.503010,,
Tau2,,127.392360,,
Tau3,,,,
Tau4,,,,
B1,,5968.581500,,
B2,,1922.515300,,
B3,,,,
B4,,,,
Tau1Err,,0.73115939,,
Tau2Err,,2.6080375,,
Tau3Err,,,,
Tau4Err,,,,
B1Err,,98.383751,,
B2Err,,107.346740,,
B3Err,,,,
B4Err,,,,
TauAvInt,,85.154808,,
TauAvAmp,,69.9920,,
TauAvIntErr,,1.8921591,,
TauAvAmpErr,,1.1715072,,

0.00,2.81000000E+2, , ,
1000.00,3.35000000E+2, , ,
2000.00,3.01000000E+2, , ,
3000.00,3.40000000E+2, , ,
4000.00,2.93000000E+2, , ,
5000.00,2.99000000E+2, , ,
6000.00,3.06000000E+2, , ,
7000.00,3.17000000E+2, , ,
8000.00,3.05000000E+2, , ,
9000.00,2.99000000E+2, , ,
1E04,2.98000000E+2, , ,
1.1E04,3.02000000E+2, , ,
1.2E04,2.96000000E+2, , ,
1.3E04,2.91000000E+2, , ,
1.4E04,2.76000000E+2, , ,
1.5E04,2.90000000E+2, , ,
1.6E04,2.79000000E+2, , ,
1.7E04,2.84000000E+2, , ,
1.8E04,2.93000000E+2, , ,
1.9E04,2.89000000E+2, , ,
2E04,2.78000000E+2, , ,
2.1E04,2.80000000E+2, , ,
2.2E04,2.95000000E+2, , ,
2.3E04,2.81000000E+2, , ,
2.4E04,2.92000000E+2, , ,
2.5E04,3.05000000E+2, , ,
2.6E04,2.64000000E+2, , ,
2.7E04,3.03000000E+2, , ,
2.8E04,2.74000000E+2, , ,
2.9E04,3.01000000E+2, , ,
3E04,2.99000000E+2, , ,
3.1E04,2.98000000E+2, , ,
3.2E04,2.68000000E+2, , ,
3.3E04,2.66000000E+2, , ,
3.4E04,3.06000000E+2, , ,
3.5E04,2.96000000E+2, , ,
3.6E04,2.85000000E+2, , ,
