0.02CR-FITTED

Labels,Decay8 on Em1,Decay8 on Em1F2,Decay8 on Em1F2R,
Type,Time Scan,Exponential Fit Time Scan,Weighted Residuals Time Scan,
Comment,,,,
Start,0.00,1.16E05,1.16E05,
Stop,1.999E006,1.999E006,1.999E006,
Step,1000.00,1000.00,1000.00,
Fixed/Offset, , , ,
XAxis,Time(ns),Time,Time,
YAxis,Counts,Counts,Counts,
Chi2,,1.0429692,,
dt,,,,
dtErr,,,,
A,,152.907810,,
Tau1,,44.570545,,
Tau2,,89.202843,,
Tau3,,,,
Tau4,,,,
B1,,6428.77000,,
B2,,1846.72000,,
B3,,,,
B4,,,,
Tau1Err,,0.84277183,,
Tau2Err,,2.9708071,,
Tau3Err,,,,
Tau4Err,,,,
B1Err,,209.592330,,
B2Err,,221.637160,,
B3Err,,,,
B4Err,,,,
TauAvInt,,60.863358,,
TauAvAmp,,54.530479,,
TauAvIntErr,,1.9526047,,
TauAvAmpErr,,1.3394346,,

0.00,1.63000000E+2, , ,
1000.00,1.36000000E+2, , ,
2000.00,1.56000000E+2, , ,
3000.00,1.75000000E+2, , ,
4000.00,1.70000000E+2, , ,
5000.00,1.57000000E+2, , ,
6000.00,1.49000000E+2, , ,
7000.00,1.56000000E+2, , ,
8000.00,1.54000000E+2, , ,
9000.00,1.39000000E+2, , ,
1E04,1.61000000E+2, , ,
1.1E04,1.44000000E+2, , ,
1.2E04,1.31000000E+2, , ,
1.3E04,1.51000000E+2, , ,
1.4E04,1.44000000E+2, , ,
1.5E04,1.63000000E+2, , ,
1.6E04,1.42000000E+2, , ,
1.7E04,1.56000000E+2, , ,
1.8E04,1.55000000E+2, , ,
1.9E04,1.33000000E+2, , ,
2E04,1.40000000E+2, , ,
2.1E04,1.58000000E+2, , ,
2.2E04,1.28000000E+2, , ,
2.3E04,1.45000000E+2, , ,
2.4E04,1.73000000E+2, , ,
2.5E04,1.63000000E+2, , ,
2.6E04,1.86000000E+2, , ,
2.7E04,1.56000000E+2, , ,
2.8E04,1.66000000E+2, , ,
2.9E04,1.73000000E+2, , ,
3E04,1.41000000E+2, , ,
3.1E04,1.42000000E+2, , ,
3.2E04,1.60000000E+2, , ,
3.3E04,1.63000000E+2, , ,
3.4E04,1.47000000E+2, , ,
3.5E04,1.51000000E+2, , ,
3.6E04,1.56000000E+2, , ,
