0.03CR-FITTED

Labels,Decay9 on Em1,Decay9 on Em1F2,Decay9 on Em1F2R,
Type,Time Scan,Exponential Fit Time Scan,Weighted Residuals Time Scan,
Comment,,,,
Start,0.00,1.16E05,1.16E05,
Stop,1.999E006,1.999E006,1.999E006,
Step,1000.00,1000.00,1000.00,
Fixed/Offset, , , ,
XAxis,Time(ns),Time,Time,
YAxis,Counts,Counts,Counts,
Chi2,,1.0145968,,
dt,,,,
dtErr,,,,
A,,139.62500,,
Tau1,,38.778133,,
Tau2,,71.294220,,
Tau3,,,,
Tau4,,,,
B1,,6231.708500,,
B2,,2000.714000,,
B3,,,,
B4,,,,
Tau1Err,,0.99053973,,
Tau2Err,,3.058170,,
Tau3Err,,,,
Tau4Err,,,,
B1Err,,335.706760,,
B2Err,,349.616120,,
B3Err,,,,
B4Err,,,,
TauAvInt,,50.847229,,
TauAvAmp,,46.680466,,
TauAvIntErr,,2.0599909,,
TauAvAmpErr,,1.5202281,,

0.00,1.21000000E+2, , ,
1000.00,1.33000000E+2, , ,
2000.00,1.35000000E+2, , ,
3000.00,1.26000000E+2, , ,
4000.00,1.52000000E+2, , ,
5000.00,1.37000000E+2, , ,
6000.00,1.30000000E+2, , ,
7000.00,1.43000000E+2, , ,
8000.00,1.42000000E+2, , ,
9000.00,1.44000000E+2, , ,
1E04,1.53000000E+2, , ,
1.1E04,1.30000000E+2, , ,
1.2E04,1.32000000E+2, , ,
1.3E04,1.30000000E+2, , ,
1.4E04,1.36000000E+2, , ,
1.5E04,1.36000000E+2, , ,
1.6E04,1.46000000E+2, , ,
1.7E04,1.27000000E+2, , ,
1.8E04,1.19000000E+2, , ,
1.9E04,1.36000000E+2, , ,
2E04,1.36000000E+2, , ,
2.1E04,1.57000000E+2, , ,
2.2E04,1.38000000E+2, , ,
2.3E04,1.24000000E+2, , ,
2.4E04,1.40000000E+2, , ,
2.5E04,1.31000000E+2, , ,
2.6E04,1.27000000E+2, , ,
2.7E04,1.53000000E+2, , ,
2.8E04,1.53000000E+2, , ,
2.9E04,1.60000000E+2, , ,
3E04,1.26000000E+2, , ,
3.1E04,1.31000000E+2, , ,
3.2E04,1.33000000E+2, , ,
3.3E04,1.35000000E+2, , ,
3.4E04,1.44000000E+2, , ,
3.5E04,1.28000000E+2, , ,
3.6E04,1.40000000E+2, , ,
