Labels,810-EX,
Type,Excitation Scan,
Comment,,
Start,250.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,810.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,True,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,4.0000019,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,4.9999852,
Detector,Det2,

460.00,2.05283359E+5,
461.00,2.04887953E+5,
462.00,2.04313656E+5,
463.00,2.03172781E+5,
464.00,2.01736609E+5,
465.00,1.99489813E+5,
466.00,2.02328359E+5,
467.00,2.00848281E+5,
468.00,2.00009188E+5,
469.00,1.98603578E+5,
470.00,1.97692891E+5,
471.00,1.95193844E+5,
472.00,1.93562672E+5,
473.00,1.90777328E+5,
474.00,1.89980781E+5,
475.00,1.89763969E+5,
476.00,1.86912516E+5,
477.00,1.85557391E+5,
478.00,1.84046984E+5,
479.00,1.82801969E+5,
480.00,1.81491516E+5,
481.00,1.79071906E+5,
482.00,1.77922250E+5,
483.00,1.76257313E+5,
484.00,1.73727938E+5,
485.00,1.70335969E+5,
486.00,1.68657219E+5,
487.00,1.67040000E+5,
488.00,1.64433688E+5,
489.00,1.62951375E+5,
490.00,1.61666359E+5,
491.00,1.60197953E+5,
492.00,1.57490641E+5,
493.00,1.54869219E+5,
494.00,1.53484813E+5,
495.00,1.50407047E+5,
496.00,1.47685766E+5,
497.00,1.44165422E+5,
498.00,1.41987719E+5,
499.00,1.39790078E+5,
500.00,1.35510969E+5,
501.00,1.33817031E+5,
502.00,1.30613047E+5,
503.00,1.27992289E+5,
504.00,1.23562016E+5,
505.00,1.19770148E+5,
506.00,1.18255164E+5,
507.00,1.16503406E+5,
508.00,1.12279594E+5,
509.00,1.09868742E+5,
510.00,1.06573516E+5,
511.00,1.03080875E+5,
512.00,1.01037305E+5,
513.00,9.70610781E+4,
514.00,9.47683750E+4,
515.00,9.14337656E+4,
516.00,8.88740078E+4,
517.00,8.62507031E+4,
518.00,8.31520156E+4,
519.00,8.15775313E+4,
520.00,7.88990625E+4,
521.00,7.74947813E+4,
522.00,7.46638594E+4,
523.00,7.13772656E+4,
524.00,7.01708984E+4,
525.00,6.81398828E+4,
526.00,6.68130313E+4,
527.00,6.55838594E+4,
528.00,6.26282031E+4,
529.00,6.18157617E+4,
530.00,5.96167266E+4,
531.00,5.86782461E+4,
532.00,5.81232266E+4,
533.00,5.53904883E+4,
534.00,5.47613867E+4,
535.00,5.47564258E+4,
536.00,5.34085195E+4,
537.00,5.34246641E+4,
538.00,5.33799336E+4,
539.00,5.23680938E+4,
540.00,5.09845234E+4,
541.00,5.26968203E+4,
542.00,5.16030273E+4,
543.00,5.16185078E+4,
544.00,5.17751172E+4,
545.00,5.19021523E+4,
546.00,5.32421211E+4,
547.00,5.34018047E+4,
548.00,5.34805625E+4,
549.00,5.46930781E+4,
550.00,5.56094102E+4,
551.00,5.64178125E+4,
552.00,5.90092109E+4,
553.00,5.82393867E+4,
554.00,5.96259531E+4,
555.00,6.17989258E+4,
556.00,6.23267188E+4,
557.00,6.30143125E+4,
558.00,6.51187227E+4,
559.00,6.61420547E+4,
560.00,6.69832266E+4,
561.00,6.89880391E+4,
562.00,7.06436016E+4,
563.00,7.28670547E+4,
564.00,7.43333672E+4,
565.00,7.63413047E+4,
566.00,7.66242188E+4,
567.00,8.06621250E+4,
568.00,8.15127031E+4,
569.00,8.33866719E+4,
570.00,8.53427422E+4,
571.00,8.75406953E+4,
572.00,8.99502266E+4,
573.00,9.08231953E+4,
574.00,9.28849453E+4,
575.00,9.42154844E+4,
576.00,9.56490859E+4,
577.00,9.69343984E+4,
578.00,9.90933438E+4,
579.00,1.02074594E+5,
580.00,1.03465211E+5,
581.00,1.05758984E+5,
582.00,1.05213797E+5,
583.00,1.07753531E+5,
584.00,1.10469844E+5,
585.00,1.11318563E+5,
586.00,1.13099125E+5,
587.00,1.15643484E+5,
588.00,1.15594406E+5,
589.00,1.16189625E+5,
590.00,1.18987000E+5,
591.00,1.20724992E+5,
592.00,1.22406930E+5,
593.00,1.22674305E+5,
594.00,1.23650438E+5,
595.00,1.26033227E+5,
596.00,1.26421539E+5,
597.00,1.27305289E+5,
598.00,1.29323125E+5,
599.00,1.32333563E+5,
