Labels,50-450-EM,
Type,Emission Scan,
Comment,,
Start,700.00,
Stop,1100.00,
Step,1.00,
Fixed/Offset,450.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,4.9999852,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,4.0000019,
Detector,Det2,

700.00,3.10730449E+4,
701.00,3.36939883E+4,
702.00,3.56219766E+4,
703.00,3.81607188E+4,
704.00,4.03729453E+4,
705.00,4.22049609E+4,
706.00,4.37522891E+4,
707.00,4.66545586E+4,
708.00,4.98068164E+4,
709.00,5.18552695E+4,
710.00,5.43590039E+4,
711.00,5.71149219E+4,
712.00,6.04755391E+4,
713.00,6.33063750E+4,
714.00,6.53142031E+4,
715.00,6.81411797E+4,
716.00,7.07199531E+4,
717.00,7.33090234E+4,
718.00,7.59727266E+4,
719.00,7.74498672E+4,
720.00,8.04438750E+4,
721.00,8.18567188E+4,
722.00,8.48702500E+4,
723.00,8.62460234E+4,
724.00,9.01003359E+4,
725.00,9.25124609E+4,
726.00,9.37558594E+4,
727.00,9.75099531E+4,
728.00,9.97914453E+4,
729.00,1.02647203E+5,
730.00,1.05249016E+5,
731.00,1.07941742E+5,
732.00,1.10795914E+5,
733.00,1.13392570E+5,
734.00,1.14975313E+5,
735.00,1.17333102E+5,
736.00,1.20029070E+5,
737.00,1.22768805E+5,
738.00,1.24951969E+5,
739.00,1.27819016E+5,
740.00,1.29176008E+5,
741.00,1.32159969E+5,
742.00,1.35441766E+5,
743.00,1.38262172E+5,
744.00,1.40386016E+5,
745.00,1.42775781E+5,
746.00,1.44528094E+5,
747.00,1.46555547E+5,
748.00,1.49768922E+5,
749.00,1.51904141E+5,
750.00,1.54328109E+5,
751.00,1.55832703E+5,
752.00,1.59900969E+5,
753.00,1.61443406E+5,
754.00,1.63423719E+5,
755.00,1.67130719E+5,
756.00,1.68819703E+5,
757.00,1.71420172E+5,
758.00,1.73725438E+5,
759.00,1.74344625E+5,
760.00,1.74395531E+5,
761.00,1.77087828E+5,
762.00,1.79845375E+5,
763.00,1.82583219E+5,
764.00,1.84987594E+5,
765.00,1.87983469E+5,
766.00,1.88721109E+5,
767.00,1.90606969E+5,
768.00,1.91909500E+5,
769.00,1.94981891E+5,
770.00,1.95003297E+5,
771.00,1.96523922E+5,
772.00,1.97220922E+5,
773.00,1.98938734E+5,
774.00,2.02028078E+5,
775.00,2.02618578E+5,
776.00,2.03512266E+5,
777.00,2.05312594E+5,
778.00,2.06257797E+5,
779.00,2.07769891E+5,
780.00,2.10687266E+5,
781.00,2.11004875E+5,
782.00,2.11560797E+5,
783.00,2.12943984E+5,
784.00,2.13453734E+5,
785.00,2.14357438E+5,
786.00,2.14726938E+5,
787.00,2.13951734E+5,
788.00,2.15843828E+5,
789.00,2.18287484E+5,
790.00,2.17532688E+5,
791.00,2.18376641E+5,
792.00,2.19714266E+5,
793.00,2.20620203E+5,
794.00,2.19965344E+5,
795.00,2.19996609E+5,
796.00,2.20501703E+5,
797.00,2.20687047E+5,
798.00,2.20380891E+5,
799.00,2.22122438E+5,
800.00,2.21619406E+5,
801.00,2.22250391E+5,
802.00,2.22552719E+5,
803.00,2.21611547E+5,
804.00,2.23020844E+5,
805.00,2.21646156E+5,
806.00,2.22327734E+5,
807.00,2.21950016E+5,
808.00,2.22812688E+5,
809.00,2.24219313E+5,
810.00,2.22162844E+5,
811.00,2.22501672E+5,
812.00,2.21261422E+5,
813.00,2.20647641E+5,
814.00,2.20048141E+5,
815.00,2.21038172E+5,
816.00,2.21884641E+5,
817.00,2.21506547E+5,
818.00,2.20503719E+5,
819.00,2.21167391E+5,
820.00,2.19496844E+5,
821.00,2.20363781E+5,
822.00,2.18042672E+5,
823.00,2.18053813E+5,
824.00,2.17373141E+5,
825.00,2.16991313E+5,
826.00,2.16832891E+5,
827.00,2.15170859E+5,
828.00,2.15011016E+5,
829.00,2.13961109E+5,
830.00,2.13921750E+5,
831.00,2.11186281E+5,
832.00,2.11523641E+5,
833.00,2.12042922E+5,
834.00,2.10435766E+5,
835.00,2.07903188E+5,
836.00,2.07727250E+5,
837.00,2.07931438E+5,
838.00,2.06571750E+5,
839.00,2.02970594E+5,
840.00,2.04993734E+5,
841.00,2.04399703E+5,
842.00,2.02609641E+5,
843.00,2.01651813E+5,
844.00,1.99944281E+5,
845.00,1.99227625E+5,
846.00,1.98515266E+5,
847.00,1.96778203E+5,
848.00,1.95841219E+5,
849.00,1.94812922E+5,
850.00,1.92740031E+5,
851.00,1.91708453E+5,
852.00,1.91250625E+5,
853.00,1.90243609E+5,
854.00,1.89987703E+5,
855.00,1.88641313E+5,
856.00,1.87993375E+5,
857.00,1.86648391E+5,
858.00,1.85021094E+5,
859.00,1.83694438E+5,
860.00,1.83152297E+5,
861.00,1.81374391E+5,
862.00,1.81947969E+5,
863.00,1.79069266E+5,
864.00,1.76987578E+5,
865.00,1.76865531E+5,
866.00,1.74171688E+5,
867.00,1.73999125E+5,
868.00,1.72620766E+5,
869.00,1.70941344E+5,
870.00,1.70131313E+5,
871.00,1.68817063E+5,
872.00,1.67478438E+5,
873.00,1.65878375E+5,
874.00,1.64195906E+5,
875.00,1.63320656E+5,
876.00,1.59696469E+5,
877.00,1.59069781E+5,
878.00,1.57179922E+5,
879.00,1.56529203E+5,
880.00,1.55488266E+5,
881.00,1.53960813E+5,
882.00,1.52906219E+5,
883.00,1.51377797E+5,
884.00,1.49797094E+5,
885.00,1.48236297E+5,
886.00,1.47674438E+5,
887.00,1.46691563E+5,
888.00,1.45742750E+5,
889.00,1.44676594E+5,
890.00,1.42854484E+5,
891.00,1.41053359E+5,
892.00,1.39720500E+5,
893.00,1.39252063E+5,
894.00,1.38328234E+5,
895.00,1.35274203E+5,
896.00,1.34003797E+5,
897.00,1.34137516E+5,
898.00,1.32674531E+5,
899.00,1.32042297E+5,
900.00,1.30296664E+5,
901.00,1.29937469E+5,
902.00,1.28506570E+5,
903.00,1.27826438E+5,
904.00,1.25277703E+5,
905.00,1.24530836E+5,
906.00,1.23386430E+5,
907.00,1.22365609E+5,
908.00,1.21008047E+5,
909.00,1.20079063E+5,
910.00,1.19509594E+5,
911.00,1.18452469E+5,
912.00,1.16636992E+5,
913.00,1.16557094E+5,
914.00,1.14927617E+5,
915.00,1.13404773E+5,
916.00,1.12579945E+5,
917.00,1.11893711E+5,
918.00,1.10460906E+5,
919.00,1.09396227E+5,
920.00,1.07565398E+5,
921.00,1.07583195E+5,
922.00,1.06503016E+5,
923.00,1.05083438E+5,
924.00,1.03547852E+5,
925.00,1.02532211E+5,
926.00,1.01962711E+5,
927.00,1.00579984E+5,
928.00,9.93271250E+4,
929.00,9.84181406E+4,
930.00,9.74330703E+4,
931.00,9.55501719E+4,
932.00,9.43629219E+4,
933.00,9.33718047E+4,
934.00,9.26230547E+4,
935.00,9.14067813E+4,
936.00,9.06400547E+4,
937.00,8.97331719E+4,
938.00,8.85293516E+4,
939.00,8.77464453E+4,
940.00,8.62099141E+4,
941.00,8.53580156E+4,
942.00,8.42401953E+4,
943.00,8.33299297E+4,
944.00,8.25418125E+4,
945.00,8.09998125E+4,
946.00,8.10980078E+4,
947.00,7.92276250E+4,
948.00,7.87191875E+4,
949.00,7.80850391E+4,
950.00,7.65138828E+4,
951.00,7.57498281E+4,
952.00,7.54393047E+4,
953.00,7.40611484E+4,
954.00,7.33315391E+4,
955.00,7.25834375E+4,
956.00,7.11677344E+4,
957.00,7.04567109E+4,
958.00,6.96972578E+4,
959.00,6.87884219E+4,
960.00,6.80672656E+4,
961.00,6.72369219E+4,
962.00,6.64299609E+4,
963.00,6.58204219E+4,
964.00,6.45673516E+4,
965.00,6.40045391E+4,
966.00,6.30543125E+4,
967.00,6.28466055E+4,
968.00,6.20251797E+4,
969.00,6.16027930E+4,
970.00,6.08815781E+4,
971.00,5.97524219E+4,
972.00,5.91893867E+4,
973.00,5.90021992E+4,
974.00,5.81076797E+4,
975.00,5.75008672E+4,
976.00,5.67468789E+4,
977.00,5.63864766E+4,
978.00,5.52701484E+4,
979.00,5.51131289E+4,
980.00,5.44784883E+4,
981.00,5.36552969E+4,
982.00,5.29691094E+4,
983.00,5.21995703E+4,
984.00,5.17079414E+4,
985.00,5.11481641E+4,
986.00,5.03691914E+4,
987.00,4.96636602E+4,
988.00,4.92206719E+4,
989.00,4.84819961E+4,
990.00,4.79051484E+4,
991.00,4.77780742E+4,
992.00,4.68775781E+4,
993.00,4.61909180E+4,
994.00,4.55905313E+4,
995.00,4.46547930E+4,
996.00,4.40928867E+4,
997.00,4.37546484E+4,
998.00,4.33064688E+4,
999.00,4.27084883E+4,
1000.00,4.21842539E+4,
1001.000,4.16034180E+4,
1002.000,4.09328320E+4,
1003.000,4.05439805E+4,
1004.000,3.95955195E+4,
1005.000,3.92259844E+4,
1006.000,3.87064727E+4,
1007.000,3.80906992E+4,
1008.000,3.76086719E+4,
1009.000,3.72236992E+4,
1010.00,3.63841367E+4,
1011.000,3.61165313E+4,
1012.000,3.53689180E+4,
1013.000,3.51259375E+4,
1014.000,3.47373945E+4,
1015.000,3.42330781E+4,
1016.000,3.38498398E+4,
1017.000,3.34329766E+4,
1018.000,3.30929336E+4,
1019.000,3.25574414E+4,
1020.00,3.19041445E+4,
1021.000,3.14929570E+4,
1022.000,3.09623008E+4,
1023.000,3.04756465E+4,
1024.000,3.02416445E+4,
1025.000,2.97711895E+4,
1026.000,2.94516895E+4,
1027.000,2.91132930E+4,
1028.000,2.87588672E+4,
1029.000,2.81981367E+4,
1030.00,2.80689570E+4,
1031.000,2.76782129E+4,
1032.000,2.71372695E+4,
1033.000,2.68097168E+4,
1034.000,2.65296875E+4,
1035.000,2.59065508E+4,
1036.000,2.56369023E+4,
1037.000,2.49864160E+4,
1038.000,2.50230449E+4,
1039.000,2.45556816E+4,
1040.00,2.43295059E+4,
1041.000,2.38684297E+4,
1042.000,2.35706973E+4,
1043.000,2.32525742E+4,
1044.000,2.28931563E+4,
1045.000,2.26054414E+4,
1046.000,2.22636484E+4,
1047.000,2.20305000E+4,
1048.000,2.17191758E+4,
1049.000,2.14074297E+4,
1050.00,2.11445605E+4,
1051.000,2.05967988E+4,
1052.000,2.04809395E+4,
1053.000,2.03113691E+4,
1054.000,1.99151914E+4,
1055.000,1.96691895E+4,
1056.000,1.91368281E+4,
1057.000,1.91550605E+4,
1058.000,1.87144980E+4,
1059.000,1.85245586E+4,
1060.00,1.81395352E+4,
1061.000,1.79514844E+4,
1062.000,1.77071914E+4,
1063.000,1.75389219E+4,
1064.000,1.73105469E+4,
1065.000,1.70053359E+4,
1066.000,1.68240430E+4,
1067.000,1.64618320E+4,
1068.000,1.61969258E+4,
1069.000,1.61642529E+4,
1070.00,1.60102471E+4,
1071.000,1.54930820E+4,
1072.000,1.52194023E+4,
1073.000,1.51548076E+4,
1074.000,1.49873027E+4,
1075.000,1.46707217E+4,
1076.000,1.46146592E+4,
1077.000,1.43782900E+4,
1078.000,1.41438887E+4,
1079.000,1.40316455E+4,
1080.00,1.37981162E+4,
1081.000,1.34897041E+4,
1082.000,1.33352529E+4,
1083.000,1.31587510E+4,
1084.000,1.28758418E+4,
1085.000,1.27912354E+4,
1086.000,1.26277451E+4,
1087.000,1.24529238E+4,
1088.000,1.22621787E+4,
1089.000,1.22130938E+4,
1090.00,1.19859170E+4,
1091.000,1.17696279E+4,
1092.000,1.14355137E+4,
1093.000,1.12928350E+4,
1094.000,1.12892939E+4,
1095.000,1.12133896E+4,
1096.000,1.08505811E+4,
1097.000,1.07923066E+4,
1098.000,1.06739795E+4,
1099.000,1.04221182E+4,
1100.00,1.02343184E+4,
